condition,steps,fid,fid_mean_component,fid_covariance_component,sfid,inception_score,full_forward_equivalents,noise_sha256,label_sha256
ordinary_ig,32,40.9122318284,7.8470139503,33.0652178780,68.8750342434,37.8544502258,80000.0,3c14e4f593e957f4bf5d62fa105568e822c6617a2a5eb9eb232e5d31d9d1cbb3,8670e9841318fe9dd1939e399ad2808e7c9a669b21142495f9f0e13daf524172
projected_pfr,27,37.5299196917,5.8926177025,31.6373019892,68.9554593209,40.8773880005,80696.25,3c14e4f593e957f4bf5d62fa105568e822c6617a2a5eb9eb232e5d31d9d1cbb3,8670e9841318fe9dd1939e399ad2808e7c9a669b21142495f9f0e13daf524172
ou_d1_common_first,25,37.2123022254,5.9054150581,31.3068871672,67.5400165434,40.9180755615,79117.5,3c14e4f593e957f4bf5d62fa105568e822c6617a2a5eb9eb232e5d31d9d1cbb3,8670e9841318fe9dd1939e399ad2808e7c9a669b21142495f9f0e13daf524172
ou_d1_strong_common_first,22,37.0839720840,5.9277634621,31.1562086220,67.5428783934,41.1874542236,79991.25,3c14e4f593e957f4bf5d62fa105568e822c6617a2a5eb9eb232e5d31d9d1cbb3,8670e9841318fe9dd1939e399ad2808e7c9a669b21142495f9f0e13daf524172
ou_d1_energy_adaptive,23,37.3210527126,5.8770751953,31.4439775173,67.3601613978,40.6592903137,79982.5,3c14e4f593e957f4bf5d62fa105568e822c6617a2a5eb9eb232e5d31d9d1cbb3,8670e9841318fe9dd1939e399ad2808e7c9a669b21142495f9f0e13daf524172
