condition,kind,steps,full_calls,prefix_calls,full_query_calls,full_forward_equivalents,integration_seconds,integration_samples_per_second,fid,fid_mean_component,fid_covariance_component,sfid,inception_score,noise_sha256,label_sha256
pfr_ou_d1_common_direction_raw_norm_first_heun_n25,ou_d1_common_direction_raw_norm_first,25,6250,4250,0,7911.75,42.40696491021663,23.58103208086654,62.640833214259374,5.786604404449463,56.85422880980991,205.01540720788807,37.732357025146484,60c696d3a05410418335a0be4f7be33c26130b757af3981d1fa60c2a65830389,b26ebd40678f4839bfc1fefee98fe43b8ea0b03fb1f2d9be33333e2ae80efcfc
pfr_ou_d1_common_first_heun_n25,ou_d1_common_first,25,6250,4250,0,7911.75,41.69593739556149,23.98315189590748,62.595974545141075,5.860076904296875,56.7358976408442,204.9097054370427,37.604854583740234,60c696d3a05410418335a0be4f7be33c26130b757af3981d1fa60c2a65830389,b26ebd40678f4839bfc1fefee98fe43b8ea0b03fb1f2d9be33333e2ae80efcfc
pfr_ou_d1_common_norm_raw_direction_first_heun_n25,ou_d1_common_norm_raw_direction_first,25,6250,4250,0,7911.75,41.1619609168265,24.294275047309817,63.052005088339115,5.970525741577148,57.08147934676197,204.62714885734567,37.7864990234375,60c696d3a05410418335a0be4f7be33c26130b757af3981d1fa60c2a65830389,b26ebd40678f4839bfc1fefee98fe43b8ea0b03fb1f2d9be33333e2ae80efcfc
pfr_time_only_heun_n25,time_only,25,6250,2875,0,7374.125,40.727111301384866,24.553668749052587,63.03351726404202,5.883498191833496,57.15001907220852,204.47867164492186,38.323883056640625,60c696d3a05410418335a0be4f7be33c26130b757af3981d1fa60c2a65830389,b26ebd40678f4839bfc1fefee98fe43b8ea0b03fb1f2d9be33333e2ae80efcfc
