seed,steps,fid,fid_mean_component,fid_covariance_component,sfid,inception_score,full_forward_equivalents,noise_sha256,label_sha256
20260904,32,61.8406897012,5.6445713043,56.1961183969,204.8013779545,38.0445899963,11030.25,60c696d3a05410418335a0be4f7be33c26130b757af3981d1fa60c2a65830389,b26ebd40678f4839bfc1fefee98fe43b8ea0b03fb1f2d9be33333e2ae80efcfc
20260905,32,62.0642631042,5.6852974892,56.3789656150,205.0502934683,37.7133178711,11030.25,9ef3b01f7e58fee4b9fbb2c28d74c59ee44c4014668ee3685f7d4c52989f8d07,2766311f377b86f3fdb52382ae071c375bc0ff46808eebd68c5ae8f436723699
20260904,23,62.4926479963,5.8072648048,56.6853831914,205.2632683188,37.8392066956,7998.25,60c696d3a05410418335a0be4f7be33c26130b757af3981d1fa60c2a65830389,b26ebd40678f4839bfc1fefee98fe43b8ea0b03fb1f2d9be33333e2ae80efcfc
20260905,23,62.3313141012,5.7261190414,56.6051950597,205.1322074716,37.7262840271,7998.25,9ef3b01f7e58fee4b9fbb2c28d74c59ee44c4014668ee3685f7d4c52989f8d07,2766311f377b86f3fdb52382ae071c375bc0ff46808eebd68c5ae8f436723699
