condition,kind,steps,full_calls,prefix_calls,full_query_calls,full_forward_equivalents,integration_seconds,integration_samples_per_second,fid,fid_mean_component,fid_covariance_component,sfid,inception_score,noise_sha256,label_sha256
pfr_ou_d1_common_direction_raw_norm_first_heun_n25,ou_d1_common_direction_raw_norm_first,25,62500,42500,0,79117.5,408.8284245720133,12.23006938726021,37.21133601880592,5.835550308227539,31.375785710578384,67.59779373164531,40.59127426147461,3c14e4f593e957f4bf5d62fa105568e822c6617a2a5eb9eb232e5d31d9d1cbb3,8670e9841318fe9dd1939e399ad2808e7c9a669b21142495f9f0e13daf524172
pfr_ou_d1_common_first_heun_n25,ou_d1_common_first,25,62500,42500,0,79117.5,403.77639335766435,12.383091439352695,37.208168043000455,5.904784202575684,31.30338384042477,67.54128784706279,40.91847610473633,3c14e4f593e957f4bf5d62fa105568e822c6617a2a5eb9eb232e5d31d9d1cbb3,8670e9841318fe9dd1939e399ad2808e7c9a669b21142495f9f0e13daf524172
pfr_ou_d1_common_norm_raw_direction_first_heun_n25,ou_d1_common_norm_raw_direction_first,25,62500,42500,0,79117.5,406.93920889729634,12.286847496334286,37.6575971377585,5.968722343444824,31.688874794313676,68.50435575550591,40.97783660888672,3c14e4f593e957f4bf5d62fa105568e822c6617a2a5eb9eb232e5d31d9d1cbb3,8670e9841318fe9dd1939e399ad2808e7c9a669b21142495f9f0e13daf524172
pfr_time_only_heun_n25,time_only,25,62500,28750,0,73741.25,370.04184827161953,13.511985261542312,37.727890238102304,5.900127410888672,31.827762827213633,68.84092340231587,40.9134407043457,3c14e4f593e957f4bf5d62fa105568e822c6617a2a5eb9eb232e5d31d9d1cbb3,8670e9841318fe9dd1939e399ad2808e7c9a669b21142495f9f0e13daf524172
