time_low,time_high,count,native_mse,residual_mse,residual_minus_native,relative_percent,ci95_low,ci95_high,residual_win_fraction
0.0,0.1,499,0.6452953826,0.6442945250,-0.0010008575,-0.1551006828,-0.0018467521,-0.0001549630,0.5671342685
0.1,0.3,1057,0.6597458485,0.6589106979,-0.0008351506,-0.1265867230,-0.0012502716,-0.0004200297,0.5619678335
0.3,0.5,977,0.7801505941,0.7809291087,0.0007785145,0.0997902896,0.0003865483,0.0011704808,0.4616171955
0.5,0.7,992,0.8979428710,0.9005962694,0.0026533984,0.2954974661,0.0022443500,0.0030624468,0.3397177419
0.7,0.9,970,0.9782750909,0.9790607385,0.0007856475,0.0803094692,0.0003767530,0.0011945421,0.4804123711
0.9,1.0,505,1.0307430958,1.0285520105,-0.0021910853,-0.2125733640,-0.0025646595,-0.0018175110,0.7603960396
