method,w1,w2,mean_error,std_error
static,0.037458590551808196,0.04364040650179381,0.01789375061272594,0.00141107576397137
local-risk,0.01615610057629959,0.01953158804779875,0.013533043491402434,0.002223694288222111
soft-bellman,0.0021390683114370476,0.003977174305436851,0.0020912851204151622,0.00028870128774616255
exact-semigroup,0.0021097145528700106,0.002198411809815786,0.0021097145528699845,9.775516919052762e-06
