method,seed,horizon,fid,sfid,inception_score,noise_sha256,label_sha256
old_oblique_best,0,0.02734375,36.504419115479436,69.07381038440212,40.01798629760742,0ea1ae6701039845f0596ad3387b7f35480ce9c79f3907437804ef679ffd2636,57849a94ad38e74bda68272bd08e273a7de143b43b6c5979dddc9e10bade8feb
old_oblique_best,1,0.02734375,36.496252506030714,69.0560449778485,40.02512741088867,255a20ae36953f03db7de9717748d1a0f50974074b52b02ba0c4750234ddab23,a478940abd1f0d9b2d09cf0687a504312835c3c69b227710619cc9d0b8f6a9bc
projected_future_reference_ig,0,0.03125,36.35096052313952,70.2253565503537,40.64845657348633,0ea1ae6701039845f0596ad3387b7f35480ce9c79f3907437804ef679ffd2636,57849a94ad38e74bda68272bd08e273a7de143b43b6c5979dddc9e10bade8feb
projected_future_reference_ig,1,0.03125,36.34309670876269,70.21626148535233,40.689605712890625,255a20ae36953f03db7de9717748d1a0f50974074b52b02ba0c4750234ddab23,a478940abd1f0d9b2d09cf0687a504312835c3c69b227710619cc9d0b8f6a9bc
