last_step,context_mean,observations
100,0.9277615368366241,100
200,0.8141634464263916,100
300,0.7379903894662857,100
400,0.6755997854471206,100
500,0.6320590800046921,100
600,0.5875518545508385,100
700,0.5492738673090934,100
800,0.5308066374063491,100
900,0.5119577378034592,100
1000,0.47797616362571715,100
1100,0.4681239911913872,100
1200,0.4572454509139061,100
1300,0.44078589528799056,100
1400,0.4226271438598633,100
1500,0.40770294547080993,100
1600,0.3869628980755806,100
1700,0.40384592086076737,100
1800,0.3870762914419174,100
1900,0.37165485352277755,100
2000,0.3626560002565384,100
2100,0.36746776789426805,100
2200,0.351739644408226,100
2300,0.33943933933973314,100
2400,0.34394955456256865,100
2500,0.3394651272892952,100
2600,0.33068053022027016,100
2700,0.31838438123464585,100
2800,0.3175708842277527,100
2900,0.32507145166397095,100
3000,0.30478316232562064,100
3100,0.31341074436903,100
3200,0.3130549319088459,100
3300,0.30351266026496887,100
3400,0.3001324377954006,100
3500,0.3202524971961975,100
3600,0.3078428775072098,100
3700,0.2942273312807083,100
3800,0.2959968039393425,100
3900,0.2924758176505566,100
4000,0.28175895154476166,100
4100,0.27208038344979285,100
4200,0.28686738103628157,100
4300,0.27757411152124406,100
4400,0.27530937135219574,100
4500,0.280025270730257,100
4600,0.266347736120224,100
4700,0.2813262267410755,100
4800,0.26891759783029556,100
4900,0.25637955754995345,100
5000,0.2768444988131523,100
5100,0.26585240244865416,100
5200,0.2625411503016949,100
5300,0.26889447048306464,100
5400,0.2586110320687294,100
5500,0.25649228140711783,100
5600,0.25231742233037946,100
5700,0.26481819748878477,100
5800,0.26453739911317825,100
5900,0.2698884528875351,100
6000,0.2551513294875622,100
6100,0.2572986644506454,100
6200,0.26342018723487853,100
6300,0.26887014538049697,100
6400,0.2584360288083553,100
6500,0.2569482760131359,100
6600,0.2568149442970753,100
6700,0.24297199010849,100
6800,0.25215517476201055,100
6900,0.2753071032464504,100
7000,0.26118979036808015,100
7100,0.2466769751906395,100
7200,0.24492136850953103,100
7300,0.25420651361346247,100
7400,0.2488468298316002,100
7500,0.23718038439750672,100
7600,0.25440189316868783,100
7700,0.23744102984666823,100
7800,0.2521853092312813,100
7900,0.2471188113093376,100
8000,0.242145561426878,100
8100,0.24096760600805284,100
8200,0.24017342820763588,100
8300,0.25476826936006547,100
8400,0.2521099537611008,100
8500,0.24616138353943826,100
8600,0.2551864014565945,100
8700,0.2407427689433098,100
8800,0.24851019456982612,100
8900,0.24891482397913933,100
9000,0.2412325131893158,100
9100,0.24559834986925125,100
9200,0.23814684763550759,100
9300,0.2587598936259747,100
9400,0.2345289881527424,100
9500,0.24018926665186882,100
9600,0.23542579829692842,100
9700,0.24184089332818984,100
9800,0.2500349771976471,100
9900,0.24597847178578378,100
10000,0.24425168439745903,100
10100,0.23766653083264827,100
10200,0.23353966116905212,100
10300,0.2540634410083294,100
10400,0.23841697573661805,100
10500,0.24099849835038184,100
10600,0.239206872433424,100
10700,0.23459210112690926,100
10800,0.23479610770940781,100
10900,0.2307103105634451,100
11000,0.23497311428189277,100
11100,0.24770700946450233,100
11200,0.23587346121668815,100
11300,0.2291296875476837,100
11400,0.24249237015843392,100
11500,0.239393480271101,100
11600,0.23303260087966918,100
11700,0.24247501902282237,100
11800,0.24489864736795425,100
11900,0.24537120386958122,100
12000,0.2436911754310131,100
12100,0.2322712554037571,100
12200,0.23005368791520595,100
12300,0.23363935172557831,100
12400,0.23224785432219505,100
12500,0.22489107862114907,100
12600,0.24855167135596276,100
12700,0.24275444746017455,100
12800,0.24748705208301544,100
12900,0.2344624926149845,100
13000,0.24508990436792374,100
13100,0.24007128685712814,100
13200,0.22820470005273819,100
13300,0.24812982752919197,100
13400,0.22527047693729402,100
13500,0.2276534481346607,100
13600,0.23236634582281113,100
13700,0.22874439433217048,100
13800,0.24020803362131118,100
13900,0.24140496097505093,100
14000,0.25418590992689133,100
14100,0.23535972014069556,100
14200,0.22917430028319358,100
14300,0.23403361156582833,100
14400,0.23596472948789596,100
14500,0.24113961890339852,100
14600,0.23725411906838417,100
14700,0.22889905817806722,100
14800,0.23160146072506904,100
14900,0.22233703270554542,100
15000,0.23683482334017752,100
15100,0.2807349829375744,100
15200,0.2264165076613426,100
15300,0.21882973223924637,100
15400,0.23173099994659424,100
15500,0.24623892530798913,100
15600,0.23481388598680497,100
15700,0.22540736436843872,100
15800,0.24103557601571082,100
15900,0.22759095162153245,100
16000,0.2368614509701729,100
16100,0.23312151923775673,100
16200,0.23777527391910552,100
16300,0.23478915825486182,100
16400,0.23124253556132315,100
16500,0.22946448341012002,100
16600,0.22089105382561683,100
16700,0.24781365483999251,100
16800,0.23113881528377533,100
16900,0.23942264273762703,100
17000,0.24923455849289894,100
17100,0.2272689201682806,100
17200,0.22944122582674026,100
17300,0.2281230491399765,100
17400,0.23950696527957915,100
17500,0.23251159265637397,100
17600,0.22346586391329765,100
17700,0.23318653628230096,100
17800,0.22699220657348632,100
17900,0.24409477934241294,100
18000,0.22684722855687142,100
18100,0.23465874850749968,100
18200,0.2273573225736618,100
18300,0.21799408197402953,100
18400,0.22078076779842376,100
18500,0.2286405937373638,100
18600,0.2226714964210987,100
18700,0.22255643725395202,100
18800,0.24132895722985268,100
18900,0.24448885455727576,100
19000,0.2286186170578003,100
19100,0.2301451264321804,100
19200,0.23505251958966256,100
19300,0.22707710057497024,100
19400,0.2390451468527317,100
19500,0.22248586192727088,100
19600,0.2249046377837658,100
19700,0.22255938857793808,100
19800,0.23783071130514144,100
19900,0.2258731471002102,100
20000,0.22754519835114478,100
