step,local,context
1,1.0018930435180664,1.0018930435180664
2,0.9713292121887207,0.9744355082511902
3,1.025823712348938,1.0263712406158447
4,0.9750975370407104,0.9804570078849792
5,0.9960218667984009,1.0005091428756714
6,0.9259949326515198,0.9362205862998962
7,1.229472041130066,1.235612392425537
8,1.1934473514556885,1.1969023942947388
9,0.9986419677734375,1.0040132999420166
10,1.0312488079071045,1.0336778163909912
11,1.0110136270523071,1.0230841636657715
12,0.9455926418304443,0.9655686020851135
13,0.9580675959587097,0.9782117605209351
14,0.9149549603462219,0.9227828979492188
15,0.9821986556053162,0.9975824356079102
16,1.0297425985336304,1.039193034172058
17,1.0602480173110962,1.0622758865356445
18,0.9345983266830444,0.952133059501648
19,0.9443304538726807,0.9592603445053101
20,0.9106442928314209,0.9330960512161255
21,0.9514361619949341,0.9698041677474976
22,0.9473133087158203,0.960750937461853
23,0.979811429977417,1.0056086778640747
24,0.9837775826454163,0.9964441657066345
25,0.9913169145584106,1.0220438241958618
26,0.8667837381362915,0.8860448598861694
27,0.9122689962387085,0.9322992563247681
28,0.979503870010376,1.0050737857818604
29,1.014721155166626,1.03670334815979
30,0.9049686193466187,0.9432306289672852
31,0.8736737966537476,0.8972012400627136
32,0.992905855178833,1.007697582244873
33,0.8875681161880493,0.9087626934051514
34,0.8938083648681641,0.9124658107757568
35,0.844758152961731,0.8311464786529541
36,0.9476194977760315,0.9607505202293396
37,0.9145896434783936,0.9454983472824097
38,0.9612722396850586,1.018644094467163
39,1.0044225454330444,1.0227558612823486
40,0.8791221976280212,0.9052063822746277
41,0.8951976895332336,0.9509949684143066
42,0.9928103089332581,0.9950298070907593
43,0.8261728286743164,0.8345792889595032
44,0.8879991769790649,0.8909817934036255
45,0.8331005573272705,0.8446537256240845
46,0.9544044733047485,0.9802674055099487
47,1.0056596994400024,1.0623410940170288
48,0.9450176954269409,0.9961204528808594
49,0.955600380897522,0.9740678071975708
50,0.7838757038116455,0.8068086504936218
51,0.8046734929084778,0.8319191932678223
52,0.7959147095680237,0.8508882522583008
53,0.9140260815620422,0.9242183566093445
54,0.8648282885551453,0.9032768607139587
55,0.8242999315261841,0.8661638498306274
56,0.845623254776001,0.8698036670684814
57,0.8695579767227173,0.8545128107070923
58,0.944330632686615,0.9295581579208374
59,0.9977743625640869,1.0050861835479736
60,0.8191536664962769,0.8197908401489258
61,0.8666760325431824,0.8899765610694885
62,0.8940412998199463,0.9191311001777649
63,0.8827972412109375,0.8650473356246948
64,0.8111887574195862,0.8654463887214661
65,0.9447482824325562,0.9661654233932495
66,0.9653840065002441,0.9856671094894409
67,0.8765832185745239,0.8790544867515564
68,0.8269215226173401,0.8527986407279968
69,0.8775871396064758,0.9480042457580566
70,0.8413755893707275,0.9044394493103027
71,0.9215505123138428,0.9052350521087646
72,0.8873277902603149,0.8783997297286987
73,0.8813086152076721,0.9290068745613098
74,0.8687196373939514,0.8497537970542908
75,1.0397039651870728,1.079848289489746
76,0.8485816717147827,0.8799883127212524
77,0.8268133401870728,0.8596735000610352
78,0.9284931421279907,1.0042815208435059
79,0.877942681312561,0.8699657917022705
80,0.7402167320251465,0.789060652256012
81,0.7949060797691345,0.8152381181716919
