index,noise_time,correction_active,future_time,current_gap_rms,future_gap_rms,pullback_rms,pullback_gain,pullback_raw_cosine,pullback_current_cosine,future_current_cosine,pullback_fallback,future_fallback,selected_direction_rms,selected_current_cosine,selected_current_norm_ratio,zero_current_gap
0,1.0,True,0.96875,0.08997550210164439,0.16703866761658462,0.3399237774973435,1.9758324315471034,0.8055332620297709,0.08205832721643909,0.13130588418308406,0.0,0.0,0.08997550240207103,0.08205832748036858,1.0000000105750175,0.0
1,0.9987389445304871,True,0.9674889445304871,0.08457470775371598,0.17180819755360002,0.3406456792727113,1.918259350522872,0.7949387046598619,0.09317209487011086,0.15133693731097023,0.0,0.0,0.08457470782882263,0.0931720945241508,1.0000000067295567,0.0
2,0.9974554777145386,True,0.9662054777145386,0.08142289185836431,0.17619354181712674,0.3524377825519731,1.9306186913482604,0.7879058883315132,0.10796699594192755,0.1743086107420705,0.0,0.0,0.08142289143776701,0.10796699652165707,0.9999999978369282,0.0
3,0.996148943901062,True,0.964898943901062,0.08039575275934992,0.18020722450267884,0.3621902158183436,1.9395225807543723,0.7830564534712222,0.1280675778191747,0.20163730953654815,0.0,0.0,0.08039575266922193,0.1280675774830724,1.0000000016823891,0.0
4,0.9948186874389648,True,0.9635686874389648,0.08177188518006474,0.18385221752067726,0.3701862555237547,1.946791308060769,0.7776829316731422,0.1544227517560132,0.23311481872693665,0.0,0.0,0.08177188584100335,0.1544227519679548,1.000000013939796,0.0
5,0.9934640526771545,True,0.9622140526771545,0.08554520292748366,0.18727846696011483,0.37523212007457213,1.9431452751159668,0.7744617269885156,0.1896456650676769,0.2676461216310159,0.0,0.0,0.08554520280731301,0.18964566454215606,1.0000000036051195,0.0
6,0.9920844435691833,True,0.9608344435691833,0.09219389206038849,0.1905247901356028,0.3716753023646532,1.9058655399468638,0.7763111688677342,0.23131634310055,0.3044215696563403,0.0,0.0,0.09219389206038849,0.2313163445975196,1.0000000072102393,0.0
7,0.9906790852546692,True,0.9594290852546692,0.09978588690019903,0.19351923132255192,0.37163803960767483,1.886413489618609,0.7767870259140769,0.27251739298263866,0.34056231358479105,0.0,0.0,0.0997858864645804,0.2725173913265368,0.9999999987982935,0.0
8,0.9892473220825195,True,0.9579973220825195,0.10826218909313602,0.196150453671092,0.3669004560478272,1.8444134828544432,0.781886755218429,0.3181485429278485,0.37653706204747,0.0,0.0,0.10826218925837067,0.31814854756192934,1.0000000091329697,0.0
9,0.9877883195877075,True,0.9565383195877075,0.11745134575833235,0.1990402522046239,0.3621978230413891,1.7991430956509806,0.7894594672346308,0.35974292660642776,0.4085250141760034,0.0,0.0,0.1174513453978204,0.3597429237936834,1.0000000040858024,0.0
10,0.9863013625144958,True,0.9550513625144958,0.12690637966678028,0.20144023055270796,0.35663846435566104,1.7518763426811463,0.8000025864570371,0.3976884475841577,0.4399660000757825,0.0,0.0,0.12690637966678028,0.3976884505621368,1.000000006969898,0.0
