ambient_dim,hidden_dim,time,condition,seeds,rollout_bayes_velocity_mse_mean,state_swd_2d_mean,state_intrinsic_swd_mean,state_off_subspace_rms_mean,true_off_subspace_rms_mean,gate_mean_mean,gate_std_mean,rollout_bayes_velocity_mse_std,state_swd_2d_std,state_intrinsic_swd_std,state_off_subspace_rms_std,true_off_subspace_rms_std,gate_mean_std,gate_std_std
2,128,0.01,B0_v_ind,3,0.0030368411292632006,0.0250817914045771,0.0250817914045771,5.338894482065371e-08,5.35774127286004e-08,,,0.0012935488868057532,0.0038634903518666107,0.0038634903518666107,5.141637521997077e-09,4.6281109689918865e-09,0.0,0.0
2,128,0.01,B1_x_ind,3,0.00011233040034610001,0.025051674969580936,0.025051674969580936,5.274211408353343e-08,5.35774127286004e-08,,,1.0697952745399707e-05,0.0038075827166753787,0.0038075827166753787,5.071108237997423e-09,4.6281109689918865e-09,0.0,0.0
2,128,0.01,B2_eps_ind,3,18.815491994222004,0.14672016796034226,0.14672016796034226,4.551855425916074e-08,5.35774127286004e-08,,,2.5554221332830505,0.02911754330430462,0.02911754330430462,5.256327333401158e-09,4.6281109689918865e-09,0.0,0.0
2,128,0.01,Bayes_exact,3,0.0,0.025053463901910867,0.025053463901910867,5.3558667426993147e-08,5.35774127286004e-08,,,0.0,0.0038048350928607502,0.0038048350928607502,4.8608602647210684e-09,4.6281109689918865e-09,0.0,0.0
2,128,0.01,D0_eps_shared,3,7.320296923319499,0.138686978277097,0.138686978277097,4.311511977069434e-08,5.35774127286004e-08,,,2.5088441975290694,0.025821909962134133,0.025821909962134133,4.592097792757571e-09,4.6281109689918865e-09,0.0,0.0
2,128,0.01,D0_fixed_x_eps,3,0.0007674794760532,0.025049438508461735,0.025049438508461735,5.3142007535219214e-08,5.35774127286004e-08,1.0,0.0,0.00033436512799495506,0.003818255493887825,0.003818255493887825,5.216399772827417e-09,4.6281109689918865e-09,0.0,0.0
2,128,0.01,D0_safe_schedule,3,0.0018208808032795,0.025041744177176698,0.025041744177176698,5.373464991483464e-08,5.35774127286004e-08,0.9900000095367432,0.0,0.0007368430894073291,0.0038439325723173905,0.0038439325723173905,5.794426369514915e-09,4.6281109689918865e-09,0.0,0.0
2,128,0.01,D0_x_shared,3,0.0007674794760532,0.025049438508461735,0.025049438508461735,5.3142007535219214e-08,5.35774127286004e-08,,,0.00033436512799495506,0.003818255493887825,0.003818255493887825,5.216399772827417e-09,4.6281109689918865e-09,0.0,0.0
2,128,0.01,D1_scaled_gate,3,0.04494312374542153,0.025109565444163196,0.025109565444163196,5.261214989597344e-08,5.35774127286004e-08,0.9394523104031881,0.04178553074598307,0.043925943840729516,0.00385814238342428,0.00385814238342428,4.632613276317902e-09,4.6281109689918865e-09,0.014553997965666907,0.00860250644082955
2,128,0.01,D2_velocity_gate,3,0.0022480463570293666,0.025043847258053,0.025043847258053,5.35165109264805e-08,5.35774127286004e-08,0.9980745514233907,0.0016955828953844334,0.0012457583349596755,0.003868452135310298,0.003868452135310298,4.8345535406502145e-09,4.6281109689918865e-09,0.0012330297402414338,0.0006600516633625575
2,128,0.01,D3_oracle_bayes_gate,3,0.0005858220392837666,0.0250509336608123,0.0250509336608123,5.415932472866795e-08,5.35774127286004e-08,0.9964125752449036,0.006998674788822667,0.0002610596111064257,0.0038196808798835647,0.0038196808798835647,5.50297401512065e-09,4.6281109689918865e-09,0.002871995636232196,0.002016943226264181
2,128,0.01,D4_safe_velocity_gate,3,0.0005223915892808,0.02506305785767503,0.02506305785767503,5.290451928393244e-08,5.35774127286004e-08,0.9983488122622172,0.0004965372305983667,0.0001280792639438801,0.0038058667244045296,0.0038058667244045296,4.9365736116189176e-09,4.6281109689918865e-09,0.000776186959082866,0.00018442747430305698
2,128,0.01,S0_xv_switch,3,0.0022997024158636333,0.025069015172830934,0.025069015172830934,5.3499642641933555e-08,5.35774127286004e-08,1.0,0.0,0.0007181364237925655,0.0038171212062933506,0.0038171212062933506,5.235658304724538e-09,4.6281109689918865e-09,0.0,0.0
