seed,ambient_dim,hidden_dim,time,condition,paired_velocity_mse,bayes_velocity_mse,irreducible_velocity_mse,gate_mean,gate_std,x_amplification_mean,epsilon_amplification_mean
20260831,2,128,0.01,D0_x_shared,1.0250520706176758,0.0003433742676861,1.0247446298599243,,,,
20260831,2,128,0.01,D0_eps_shared,8.34249496459961,7.391378879547119,1.0247446298599243,,,,
20260831,2,128,0.01,D3_oracle_bayes_gate,1.0248554944992063,0.0002686143270693,1.0247446298599243,0.9978538155555724,0.0086146211251616,1.0079330205917358,0.2146199345588684
20260831,2,128,0.03,D0_x_shared,1.0322279930114746,0.0002940230187959,1.0319026708602903,,,,
20260831,2,128,0.03,D0_eps_shared,1.804175853729248,0.7489728927612305,1.0319026708602903,,,,
20260831,2,128,0.03,D3_oracle_bayes_gate,1.0322129726409912,0.0001919226924655,1.0319026708602903,0.9933676719665528,0.0146815944463014,1.0240904092788696,0.221076488494873
20260831,2,128,0.1,D0_x_shared,1.2300467491149902,0.0002812454476952,1.2298293113708496,,,,
20260831,2,128,0.1,D0_eps_shared,1.2825822830200195,0.0433840341866016,1.2298293113708496,,,,
20260831,2,128,0.1,D3_oracle_bayes_gate,1.2300539016723633,0.0002115640090778,1.2298293113708496,0.96289724111557,0.0907611325383186,1.0698858499526978,0.3710277676582336
20260831,2,128,0.3,D0_x_shared,1.7066373825073242,0.0007482044165953,1.7057660818099976,,,,
20260831,2,128,0.3,D0_eps_shared,1.7080848217010498,0.0047702956944704,1.7057660818099976,,,,
20260831,2,128,0.3,D3_oracle_bayes_gate,1.7052280902862549,0.000289797259029,1.7057660818099976,0.7902487516403198,0.3073804676532745,1.1289267539978027,0.6991708874702454
20260831,2,128,0.5,D0_x_shared,1.9375929832458496,0.0014912362676113,1.9374258518218996,,,,
20260831,2,128,0.5,D0_eps_shared,1.94295072555542,0.003638457506895,1.9374258518218996,,,,
20260831,2,128,0.5,D3_oracle_bayes_gate,1.9383327960968015,0.0009249071008525,1.9374258518218996,0.5876911282539368,0.3502788841724396,1.1753822565078735,0.8246177434921265
20260831,2,128,0.7,D0_x_shared,1.5530166625976562,0.009087773039937,1.5407081842422483,,,,
20260831,2,128,0.7,D0_eps_shared,1.5471066236495972,0.0054419450461864,1.5407081842422483,,,,
20260831,2,128,0.7,D3_oracle_bayes_gate,1.5442054271697998,0.0023443573154509,1.5407081842422483,0.3821397721767425,0.3408059775829315,1.273799180984497,0.882657527923584
20260831,2,128,0.9,D0_x_shared,0.7964016795158386,0.1392884105443954,0.6525723338127136,,,,
20260831,2,128,0.9,D0_eps_shared,0.6813100576400757,0.0252988412976264,0.6525723338127136,,,,
20260831,2,128,0.9,D3_oracle_bayes_gate,0.6734203100204468,0.0172947719693183,0.6525723338127136,0.1327567845582962,0.2224415987730026,1.3275678157806396,0.9636036157608032
20260831,2,128,0.97,D0_x_shared,2.297870635986328,1.482153296470642,0.8278717994689941,,,,
20260831,2,128,0.97,D0_eps_shared,0.8611180186271667,0.0365678444504737,0.8278717994689941,,,,
20260831,2,128,0.97,D3_oracle_bayes_gate,0.843337893486023,0.0156575590372085,0.8278717994689941,0.109116718173027,0.157486692070961,3.6372241973876953,0.9184362888336182
20260831,2,128,0.99,D0_x_shared,15.187847137451172,14.031076431274414,0.9733789563179016,,,,
20260831,2,128,0.99,D0_eps_shared,0.9855401515960692,0.0105456570163369,0.9733789563179016,,,,
20260831,2,128,0.99,D3_oracle_bayes_gate,0.985358953475952,0.0092735048383474,0.9733789563179016,0.0108075141906738,0.0425400100648403,1.0807514190673828,0.999184250831604
20260831,2,128,0.01,D1_x_own,1.0253016948699951,0.0002957875258289,1.0247446298599243,,,,
20260831,2,128,0.01,D1_eps_own,8.027364730834961,7.10595703125,1.0247446298599243,,,,
20260831,2,128,0.01,D1_gate_on_D0,1.0351886749267578,0.0088917128741741,1.0247446298599243,0.9544512629508972,0.0342315658926963,0.9640921354293824,4.554872989654541
20260831,2,128,0.01,D2_x_own,1.025191307067871,0.0008891844772733,1.0247446298599243,,,,
20260831,2,128,0.01,D2_eps_own,13.339126586914062,12.452542304992676,1.0247446298599243,,,,
20260831,2,128,0.01,D2_gate_on_D0,1.0250487327575684,0.0004126917629037,1.0247446298599243,0.99824857711792,0.0018432579236105,1.0083318948745728,0.1751390397548675
20260831,2,128,0.01,D4_x_own,1.0251957178115845,0.0004132925532758,1.0247446298599243,,,,
20260831,2,128,0.01,D4_eps_own,14.786824226379396,13.91261386871338,1.0247446298599243,,,,
20260831,2,128,0.01,D4_gate_on_D0,1.025050401687622,0.0003539308090694,1.0247446298599243,0.9991737604141236,0.0003790348418988,1.009266376495361,0.0826212093234062
20260831,2,128,0.03,D1_x_own,1.032185435295105,0.0003119315369985,1.0319026708602903,,,,
20260831,2,128,0.03,D1_eps_own,1.7553489208221436,0.7081119418144226,1.0319026708602903,,,,
20260831,2,128,0.03,D1_gate_on_D0,1.035351037979126,0.0023362289648503,1.0319026708602903,0.9375956654548644,0.045029804110527,0.9665934443473816,2.080143928527832
20260831,2,128,0.03,D2_x_own,1.0333993434906006,0.0008013342157937,1.0319026708602903,,,,
20260831,2,128,0.03,D2_eps_own,1.7237443923950195,0.6681991219520569,1.0319026708602903,,,,
20260831,2,128,0.03,D2_gate_on_D0,1.032413125038147,0.0003318354429211,1.0319026708602903,0.9939212799072266,0.0059401993639767,1.0246610641479492,0.2026251554489135
20260831,2,128,0.03,D4_x_own,1.0327985286712646,0.0004560681118164,1.0319026708602903,,,,
20260831,2,128,0.03,D4_eps_own,1.7995526790618896,0.7678556442260742,1.0319026708602903,,,,
20260831,2,128,0.03,D4_gate_on_D0,1.0323050022125244,0.0003042727475985,1.0319026708602903,0.9964956045150756,0.0015819645486772,1.0273149013519287,0.1168133094906807
20260831,2,128,0.1,D1_x_own,1.2301175594329834,0.0002939467667602,1.2298293113708496,,,,
20260831,2,128,0.1,D1_eps_own,1.2783265113830566,0.0419302731752395,1.2298293113708496,,,,
20260831,2,128,0.1,D1_gate_on_D0,1.2308192253112793,0.0004842227208428,1.2298293113708496,0.92264324426651,0.0518187135457992,1.025159239768982,0.7735671997070312
20260831,2,128,0.1,D2_x_own,1.231123685836792,0.0006881131557747,1.2298293113708496,,,,
20260831,2,128,0.1,D2_eps_own,1.2974926233291626,0.0599195137619972,1.2298293113708496,,,,
20260831,2,128,0.1,D2_gate_on_D0,1.2303794622421265,0.0003561748308129,1.2298293113708496,0.9653855562210084,0.0344351902604103,1.072650671005249,0.3461449742317199
20260831,2,128,0.1,D4_x_own,1.2306172847747805,0.0003041165764443,1.2298293113708496,,,,
20260831,2,128,0.1,D4_eps_own,1.2994747161865234,0.0604658052325248,1.2298293113708496,,,,
20260831,2,128,0.1,D4_gate_on_D0,1.2302027940750122,0.0002866391732823,1.2298293113708496,0.9831397533416748,0.0073368218727409,1.092377543449402,0.1686025857925415
20260831,2,128,0.3,D1_x_own,1.7064497470855713,0.0006784545257687,1.7057660818099976,,,,
20260831,2,128,0.3,D1_eps_own,1.7091729640960691,0.0046594585292041,1.7057660818099976,,,,
20260831,2,128,0.3,D1_gate_on_D0,1.7064459323883057,0.0007764982292428,1.7057660818099976,0.8586324453353882,0.0655920952558517,1.2266178131103516,0.47122523188591
20260831,2,128,0.3,D2_x_own,1.708258867263794,0.0013986672274768,1.7057660818099976,,,,
20260831,2,128,0.3,D2_eps_own,1.7120370864868164,0.0079366974532604,1.7057660818099976,,,,
20260831,2,128,0.3,D2_gate_on_D0,1.7065331935882568,0.0007543668616563,1.7057660818099976,0.929358720779419,0.0425135679543018,1.32765531539917,0.2354710549116134
20260831,2,128,0.3,D4_x_own,1.7070060968399048,0.0006125075742602,1.7057660818099976,,,,
20260831,2,128,0.3,D4_eps_own,1.7110159397125244,0.0056955539621412,1.7057660818099976,,,,
20260831,2,128,0.3,D4_gate_on_D0,1.706453561782837,0.0007155440980568,1.7057660818099976,0.895587146282196,0.0344759114086627,1.2794102430343628,0.3480428457260132
20260831,2,128,0.5,D1_x_own,1.9370757341384888,0.0014538101386278,1.9374258518218996,,,,
20260831,2,128,0.5,D1_eps_own,1.9421486854553225,0.0034471023827791,1.9374258518218996,,,,
20260831,2,128,0.5,D1_gate_on_D0,1.9386684894561768,0.0013041219208389,1.9374258518218996,0.6202574968338013,0.0778635963797569,1.2405149936676023,0.7594850063323975
20260831,2,128,0.5,D2_x_own,1.9372830390930176,0.0018932825187221,1.9374258518218996,,,,
20260831,2,128,0.5,D2_eps_own,1.941362380981445,0.0083125168457627,1.9374258518218996,,,,
20260831,2,128,0.5,D2_gate_on_D0,1.9385733604431152,0.0012798475800082,1.9374258518218996,0.7028403282165527,0.1020310148596763,1.4056806564331057,0.5943194031715393
20260831,2,128,0.5,D4_x_own,1.936772584915161,0.001272575231269,1.9374258518218996,,,,
