seed,ambient_dim,hidden_dim,parameter,clean_grad_norm,epsilon_grad_norm,cosine
20260831,2,128,net.0.weight,0.0337367132306098,0.122939258813858,0.0181774608790874
20260831,2,128,net.0.bias,0.0050626103766262,0.0243526566773653,-0.114944115281105
20260831,2,128,net.2.weight,0.0123884351924061,0.0484719090163707,0.114818125963211
20260831,2,128,net.2.bias,0.0035505900159478,0.0095712170004844,0.170352354645729
20260831,2,128,net.4.weight,0.0156662482768297,0.1010446548461914,0.1073156148195266
20260831,2,128,net.4.bias,0.0028000797610729,0.0075505068525671,0.0595898106694221
20260831,2,128,net.6.weight,0.0384792722761631,0.2821707129478454,0.0907691270112991
20260831,2,128,net.6.bias,0.0033221351914107,0.0090516041964292,0.0824311450123786
20260831,2,128,ALL_TRUNK,0.0554512254893779,0.328812301158905,0.0710315704345703
20260831,512,128,net.0.weight,0.1144183874130249,0.0244392175227403,0.0337485000491142
20260831,512,128,net.0.bias,0.0067406254820525,0.0016074746381491,0.0470712035894393
20260831,512,128,net.2.weight,0.1364821940660476,0.0282268580049276,0.0061468090862035
20260831,512,128,net.2.bias,0.0092817954719066,0.0013196161016821,0.1165197640657424
20260831,512,128,net.4.weight,0.1690840423107147,0.029060648754239,0.1092067211866378
20260831,512,128,net.4.bias,0.0087618371471762,0.0012362435227259,0.1415945887565612
20260831,512,128,net.6.weight,0.1064049303531646,0.0206052456051111,0.0522135198116302
20260831,512,128,net.6.bias,0.0054712323471903,0.0009305557468906,0.0596143491566181
20260831,512,128,ALL_TRUNK,0.2680833339691162,0.0516705736517906,0.0557977780699729
20260901,2,128,net.0.weight,0.0364233590662479,0.1268465965986251,-0.0381214693188667
20260901,2,128,net.0.bias,0.006198055576533,0.0237126108258962,0.2562334835529327
20260901,2,128,net.2.weight,0.0137736666947603,0.0626805052161216,-0.0361708849668502
20260901,2,128,net.2.bias,0.0032825679518282,0.0128132719546556,-0.0250165928155183
20260901,2,128,net.4.weight,0.019939737394452,0.1076186001300811,0.0182616934180259
20260901,2,128,net.4.bias,0.0023718068841844,0.0065840557217597,-0.0786817669868469
20260901,2,128,net.6.weight,0.0522546954452991,0.3339364528656006,-0.0134171983227133
20260901,2,128,net.6.bias,0.0024447764735668,0.0093761747702956,-0.1040012836456298
20260901,2,128,ALL_TRUNK,0.0685952976346015,0.3794363439083099,-0.0141888409852981
20260901,512,128,net.0.weight,0.0757747963070869,0.0258403811603784,0.0591989159584045
20260901,512,128,net.0.bias,0.0026335602160543,0.0015741954557597,-0.0510301068425178
20260901,512,128,net.2.weight,0.0832322090864181,0.0296646356582641,0.0342490710318088
20260901,512,128,net.2.bias,0.0050009563565254,0.0014222280588001,0.0342895612120628
20260901,512,128,net.4.weight,0.1022001951932907,0.0299665462225675,0.0269933529198169
20260901,512,128,net.4.bias,0.0054378490895032,0.0012996864970773,0.0165948793292045
20260901,512,128,net.6.weight,0.0672999247908592,0.0206347908824682,-0.0278145857155323
20260901,512,128,net.6.bias,0.0038229331839829,0.0010172233451157,-0.034867774695158
20260901,512,128,ALL_TRUNK,0.1664923727512359,0.0536537915468215,0.0273743942379951
20260902,2,128,net.0.weight,0.0325073450803756,0.1399313360452652,-0.1370317637920379
20260902,2,128,net.0.bias,0.0059513202868402,0.0250896792858839,-0.6454910039901733
20260902,2,128,net.2.weight,0.0135589577257633,0.0667958483099937,-0.1945157945156097
20260902,2,128,net.2.bias,0.0035072423052042,0.0075399000197649,-0.3180619478225708
20260902,2,128,net.4.weight,0.0250590089708566,0.1085311919450759,-0.0420128181576728
20260902,2,128,net.4.bias,0.003182002576068,0.0071180216036736,-0.0161815583705902
20260902,2,128,net.6.weight,0.068385474383831,0.2948094606399536,0.0851598978042602
20260902,2,128,net.6.bias,0.0035354064311832,0.0104722697287797,0.0731385797262191
20260902,2,128,ALL_TRUNK,0.0813353732228279,0.351540595293045,0.0245051831007003
20260902,512,128,net.0.weight,0.074396938085556,0.0195405669510364,0.0178188476711511
20260902,512,128,net.0.bias,0.0039790547452867,0.0014456686330959,0.0052871000953018
20260902,512,128,net.2.weight,0.093125931918621,0.0236113723367452,-0.0442219786345958
20260902,512,128,net.2.bias,0.0063734999857842,0.0012428949121385,0.0001781992614269
20260902,512,128,net.4.weight,0.1461022347211837,0.0247450396418571,0.0012867596233263
20260902,512,128,net.4.bias,0.0076531684026122,0.0011830358998849,-0.0077653862535953
20260902,512,128,net.6.weight,0.08330799639225,0.0184830613434314,0.0310429334640502
20260902,512,128,net.6.bias,0.0042338278144598,0.0009327584411948,0.0378223806619644
20260902,512,128,ALL_TRUNK,0.2064615786075592,0.0435795299708843,-0.0020861295051872
