seed,ambient_dim,hidden_dim,condition,time,rollout_bayes_velocity_mse,state_swd_2d,state_intrinsic_swd,state_off_subspace_rms,true_off_subspace_rms,gate_mean,gate_std
20260831,2,128,D0_x_shared,0.01,0.0003824438317678,0.0292553667618599,0.0292553667618599,5.447632744903786e-08,5.482566933778799e-08,,
20260831,2,128,D0_x_shared,0.03,0.0002873210178222,0.0310717553499746,0.0310717553499746,5.397832580911199e-08,5.3512387410137314e-08,,
20260831,2,128,D0_x_shared,0.1,0.0002992661611642,0.023603872676044,0.023603872676044,4.9893213116547486e-08,4.8166953092732e-08,,
20260831,2,128,D0_x_shared,0.3,0.0007309482898563,0.0231835842104693,0.0231835842104693,4.169389455910277e-08,3.9727964917801735e-08,,
20260831,2,128,D0_x_shared,0.5,0.0013592622708529,0.0196963563230405,0.0196963563230405,3.8659614176594914e-08,3.732086995000827e-08,,
20260831,2,128,D0_x_shared,0.7,0.009047171100974,0.0183116441450998,0.0183116441450998,4.2886110662720967e-08,4.2173606829010175e-08,,
20260831,2,128,D0_x_shared,0.9,0.2380139827728271,0.0216995176312482,0.0216995176312482,5.12610220937404e-08,5.2573049913462455e-08,,
20260831,2,128,D0_x_shared,0.97,0.91880202293396,0.0240411233014087,0.0240411233014087,5.6595236941348055e-08,5.5274526289395e-08,,
20260831,2,128,D0_x_shared,0.99,5.825307846069336,0.0381307702972881,0.0381307702972881,5.7856269108924614e-08,5.650083778618865e-08,,
20260831,2,128,D0_eps_shared,0.01,4.4904632568359375,0.1636678228108885,0.1636678228108885,4.2353800466798936e-08,5.482566933778799e-08,,
20260831,2,128,D0_eps_shared,0.03,0.349164068698883,0.1723257639052912,0.1723257639052912,4.2581245196515745e-08,5.3512387410137314e-08,,
20260831,2,128,D0_eps_shared,0.1,0.0268100053071975,0.1546576736147469,0.1546576736147469,4.048845880788576e-08,4.8166953092732e-08,,
20260831,2,128,D0_eps_shared,0.3,0.0029663676396012,0.1365967018134661,0.1365967018134661,3.378989887892203e-08,3.9727964917801735e-08,,
20260831,2,128,D0_eps_shared,0.5,0.0019620116800069,0.1144783522922147,0.1144783522922147,3.209093080158709e-08,3.732086995000827e-08,,
20260831,2,128,D0_eps_shared,0.7,0.0056241126731038,0.1026613621610193,0.1026613621610193,3.721164532066723e-08,4.2173606829010175e-08,,
20260831,2,128,D0_eps_shared,0.9,0.1249024420976638,0.1090272213403584,0.1090272213403584,4.4938481380540907e-08,5.2573049913462455e-08,,
20260831,2,128,D0_eps_shared,0.97,0.305156409740448,0.1152710790892389,0.1152710790892389,5.003924030688722e-08,5.5274526289395e-08,,
20260831,2,128,D0_eps_shared,0.99,0.0747720673680305,0.1192983264607536,0.1192983264607536,5.127773761159916e-08,5.650083778618865e-08,,
20260831,2,128,D3_oracle_bayes_gate,0.01,0.0002875135396607,0.0292615005339756,0.0292615005339756,5.4322448761467974e-08,5.482566933778799e-08,0.9980313181877136,0.0058758598752319
20260831,2,128,D3_oracle_bayes_gate,0.03,0.000201905349968,0.0311063539767482,0.0311063539767482,5.28471773009187e-08,5.3512387410137314e-08,0.99271422624588,0.0163071006536483
20260831,2,128,D3_oracle_bayes_gate,0.1,0.0002245512150693,0.0236756105668509,0.0236756105668509,5.0695422970648e-08,4.8166953092732e-08,0.961616277694702,0.0960656479001045
20260831,2,128,D3_oracle_bayes_gate,0.3,0.0003021248849108,0.0235118385977737,0.0235118385977737,4.098699690757712e-08,3.9727964917801735e-08,0.7882877588272095,0.3111843466758728
20260831,2,128,D3_oracle_bayes_gate,0.5,0.0008080283878371,0.0200749025000977,0.0200749025000977,3.9444991273285275e-08,3.732086995000827e-08,0.5746742486953735,0.3522554039955139
20260831,2,128,D3_oracle_bayes_gate,0.7,0.0023422087542712,0.0184266866723852,0.0184266866723852,4.279883114577388e-08,4.2173606829010175e-08,0.3887749314308166,0.3404932618141174
20260831,2,128,D3_oracle_bayes_gate,0.9,0.0764930248260498,0.0183650029668392,0.0183650029668392,5.1282633251048544e-08,5.2573049913462455e-08,0.1425442844629287,0.2391157299280166
