index,noise_time,radial_energy_fraction,relative_radius_ratio,cosine,degenerate_reference,degenerate_ordinary,zero_depth_direction
0,1.0,0.10022724221718668,1.0577469261123333,0.9884382089641877,0.0,0.0,0.0
1,0.9987389445304871,0.07488604067558711,1.0443114332340193,0.9896694686564151,0.0,0.0,0.0
2,0.9974554777145386,0.05688366103616254,1.0345316432164982,0.9904120222921483,0.0,0.0,0.0
3,0.996148943901062,0.04708872510749668,1.02841144613293,0.9907740276311524,0.0,0.0,0.0
4,0.9948186874389648,0.04180956801933517,1.024723584735766,0.9906878956605215,0.0,0.0,0.0
5,0.9934640526771545,0.04285720625154332,1.025078640327789,0.9902612246810458,0.0,0.0,0.0
6,0.9920844435691833,0.045675766629986174,1.0277907276891638,0.9895476569742896,0.0,0.0,0.0
7,0.9906790852546692,0.04900750254590112,1.0315668392218649,0.9887662497756537,0.0,0.0,0.0
8,0.9892473220825195,0.052472374460251096,1.03584336607554,0.987986463832669,0.0,0.0,0.0
9,0.9877883195877075,0.0552299789264267,1.0399044304194394,0.987271043400513,0.0,0.0,0.0
10,0.9863013625144958,0.059209239535137265,1.0448205896869767,0.9866454253215343,0.0,0.0,0.0
11,0.9847856163978577,0.06189255017899147,1.0490195454689675,0.9859845940857195,0.0,0.0,0.0
12,0.9832402467727661,0.06472604286748554,1.053046482432168,0.9853798580365255,0.0,0.0,0.0
13,0.9816642999649048,0.06836241384165306,1.0571419706498273,0.9848845626732801,0.0,0.0,0.0
14,0.9800570011138916,0.0707254323499457,1.060426165761426,0.984344321330078,0.0,0.0,0.0
15,0.9784172773361206,0.07253072622169411,1.0632899522457737,0.9838793469364755,0.0,0.0,0.0
16,0.9767442345619202,0.0743463059707011,1.0660120437715668,0.9834083314579911,0.0,0.0,0.0
17,0.9750366806983948,0.0766694382964807,1.0687234012614935,0.9830365351494401,0.0,0.0,0.0
18,0.9732937812805176,0.07793968382123237,1.0708745541719253,0.9826513947984203,0.0,0.0,0.0
19,0.9715142250061035,0.07956575004529715,1.0729970449272077,0.9823279768105131,0.0,0.0,0.0
20,0.9696969985961914,0.08110999189112134,1.0748715159539133,0.9820685736378655,0.0,0.0,0.0
21,0.9678407311439514,0.08239951044842998,1.0764906957931817,0.9818699082399253,0.0,0.0,0.0
22,0.9659442901611328,0.08362120710811022,1.0779098984359299,0.9817004085397347,0.0,0.0,0.0
23,0.964006245136261,0.08474756170830675,1.0791452920164448,0.9815572330697905,0.0,0.0,0.0
24,0.9620253443717957,0.0859760361046212,1.0803573880926707,0.9814254907574504,0.0,0.0,0.0
25,0.9599999785423279,0.0866362149191084,1.0811248691808433,0.9813252119438257,0.0,0.0,0.0
26,0.9579287767410278,0.08707340810487328,1.0817472891435027,0.9812417095401325,0.0,0.0,0.0
27,0.9558101296424866,0.08749854041620084,1.0823500138218514,0.981165575203253,0.0,0.0,0.0
28,0.9536424279212952,0.08765394308296137,1.0826939371558837,0.981123663702514,0.0,0.0,0.0
29,0.9514237642288208,0.08745813847954607,1.0828656103040557,0.9810893145105801,0.0,0.0,0.0
30,0.9491525292396545,0.0871018225498108,1.0828998411262873,0.9810614008530975,0.0,0.0,0.0
31,0.9468267560005188,0.08702321031713235,1.0829932107061613,0.9810538734032307,0.0,0.0,0.0
32,0.9444444179534912,0.08721513848918566,1.0831335975001566,0.9810740727859083,0.0,0.0,0.0
33,0.9420035481452942,0.08664896900109968,1.0829305742229336,0.9810900420488324,0.0,0.0,0.0
34,0.9395017623901367,0.08684466203719929,1.0829559386309702,0.9811400204868987,0.0,0.0,0.0
35,0.9369369745254517,0.08695059980726387,1.0829195626208092,0.9811971027380787,0.0,0.0,0.0
36,0.9343065619468689,0.08639000161410886,1.0826345108593813,0.9812317624450662,0.0,0.0,0.0
37,0.9316081404685974,0.08619390417867918,1.0824704341820908,0.9812807254111394,0.0,0.0,0.0
38,0.9288389086723328,0.08603672942582766,1.0822842378872446,0.9813452764085959,0.0,0.0,0.0
39,0.9259962439537048,0.08545775561171162,1.0819143037309404,0.9814002655392978,0.0,0.0,0.0
40,0.9230769276618958,0.08529395210595653,1.0816645214392338,0.981478721810272,0.0,0.0,0.0
