arm,scale,guidance_high,samples,fid,independent_fid,mean_term,covariance_term,inception_score,full_per_image,prefix8_per_image,inference_gpu_seconds,noise_sha256,label_sha256,pixel_sha256
ordinary115,1.35,1.0,1000,42.02390678019583,42.02393475638814,1.2139154607740381,40.8100192956141,48.11076889038086,115,0,1014.9698992189951,4728cd46e047b4307bc8f09f455b31aa15997146167194a698f0a745a980180d,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,ccbc97842a8bde222b4eed972f275337893e841b609db0b40d241ffe3ec93460
pfr,1.35,1.0,1000,40.56542686774952,40.565452313801124,0.7282897490935012,39.837162564707626,52.141122817993164,100,50,1014.9882946875878,4728cd46e047b4307bc8f09f455b31aa15997146167194a698f0a745a980180d,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,4a3729ccbb74b85c9beac8e6446394fd6af51fb068852785fee53b40c65aa44e
ig140_all,1.4,1.0,1000,41.32022904219144,41.320256634406576,0.9980551223678717,40.3222015120387,48.148568344116214,115,0,1020.1360096009448,4728cd46e047b4307bc8f09f455b31aa15997146167194a698f0a745a980180d,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,0b925a5e1bdaca4d961327ed44175c7edef0caecc37709d93351124af9efb427
ig150_all,1.5,1.0,1000,40.492864879051865,40.492892113673285,0.7276156280656126,39.76527648560767,49.24908103942871,115,0,1025.2453457964584,4728cd46e047b4307bc8f09f455b31aa15997146167194a698f0a745a980180d,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,16e5fc7c1c240855949a171788dc76920b368ed81f88e9818fed802264031297
ig175_all,1.75,1.0,1000,39.27349181963996,39.2735183438163,0.3514844580244543,38.92203388579185,52.6382869720459,115,0,1025.267542193178,4728cd46e047b4307bc8f09f455b31aa15997146167194a698f0a745a980180d,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,6f0bc69b89c6359d94cbacb6e6d72b5e308a07efbedcbd48a5ebadea37006986
ig140_lig,1.4,0.7,1000,42.31480000224428,42.31482768129054,1.3945105168181298,40.92031716447241,47.00605659484863,115,0,1025.789242521394,4728cd46e047b4307bc8f09f455b31aa15997146167194a698f0a745a980180d,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,7229cf386ae952afb25e35fb81d8d9703a1fd27b3131359c6069395afc290324
