arm,method,scale,sampler,vae,fid,inception_score,precision,recall,kid_u_statistic,target_top1,target_top5,target_probability,feature_reextract_max_error
ordinary135,ordinary,1.35,euler,mse,42.02390678019583,48.11076889038086,0.734,0.7876,0.0019381547595318516,0.8,0.932,0.5478718585759634,0.0
ordinary140,ordinary,1.4,euler,mse,41.32022904219144,48.148568344116214,0.732,0.7879,0.001527185231971373,0.803,0.933,0.5539073160515254,0.0
ordinary150,ordinary,1.5,euler,mse,40.492864879051865,49.24908103942871,0.747,0.7925,0.0010216536191505199,0.813,0.94,0.564620851177664,0.0
ordinary175,ordinary,1.75,euler,mse,39.27349181963996,52.6382869720459,0.764,0.8031,0.00032871146386126426,0.833,0.947,0.586311960593739,0.0
ordinary200,ordinary,2.0,euler,mse,38.315902155614594,55.158059692382814,0.783,0.8074,0.0001786148125120235,0.844,0.962,0.6061387102318404,0.0
ordinary250,ordinary,2.5,euler,mse,38.18548153881869,56.39754981994629,0.829,0.8038,0.00039402764198781526,0.871,0.97,0.6333982332884334,0.0
time135,time_only,1.35,euler,mse,40.56542686774952,52.141122817993164,0.787,0.7901,0.0009734470790210281,0.839,0.95,0.5715850021447623,0.0
time140,time_only,1.4,euler,mse,40.405041041148024,52.601097869873044,0.78,0.7887,0.0008311924763102496,0.839,0.95,0.5791999128004099,0.0
time150,time_only,1.5,euler,mse,39.746317845661906,54.19598922729492,0.79,0.7939,0.0007007623576069655,0.858,0.96,0.5937786877916514,0.0
time175,time_only,1.75,euler,mse,38.83823187051411,57.583193969726565,0.825,0.7994,0.0007893234530409465,0.866,0.971,0.6099101815242175,0.0
time200,time_only,2.0,euler,mse,38.637821556587255,58.17766189575195,0.833,0.7949,0.0012715468042570066,0.883,0.969,0.6311382949145191,0.0
time250,time_only,2.5,euler,mse,39.01736119057961,61.277621841430665,0.846,0.8018,0.0023410737641031965,0.903,0.976,0.6576030913767463,0.0
projected135,projected,1.35,euler,mse,40.602144676235355,52.10347442626953,0.787,0.7889,0.000966705636990195,0.837,0.949,0.5700024163094204,0.0
projected140,projected,1.4,euler,mse,40.34867064730662,52.65020904541016,0.781,0.7898,0.0008252738150589245,0.841,0.95,0.5791189934672875,0.0
projected150,projected,1.5,euler,mse,39.7232990246481,54.341168594360354,0.79,0.7937,0.0006868328763354192,0.857,0.959,0.5934990651297413,0.0
projected175,projected,1.75,euler,mse,38.7733879020667,57.43829498291016,0.822,0.7976,0.000773291133016496,0.871,0.971,0.611043226042486,0.0
projected200,projected,2.0,euler,mse,38.489649906688896,58.84817619323731,0.845,0.7993,0.0012176871896953934,0.886,0.973,0.6314143298669369,0.0
projected250,projected,2.5,euler,mse,38.928565630998946,61.49898834228516,0.852,0.7999,0.0023081147352663756,0.905,0.977,0.6589612152993904,0.0
native_sde250_ema,native,1.4,sde,ema,38.052806123092466,60.734178161621095,0.805,0.8238,0.00010227778258320441,0.902,0.984,0.6555590287486557,0.0
native_sde250_mse,native,1.4,sde,mse,38.21555175379939,59.64388198852539,0.813,0.8242,0.00012393389306808444,0.901,0.984,0.6511621724786819,0.0
