arm,vae,samples,fid,independent_fid,mean_term,covariance_term,inception_score,cfg_scale,ig_scale,cfg_high,full_per_image,block_evaluations_per_image,trajectory_gpu_seconds,decode_gpu_seconds,inference_gpu_seconds,pixel_sha256,vae_state_sha256
native_sde250_ema,ema,1000,38.052806123092466,38.05283115615089,0.23248515145246432,37.82034600469842,60.734178161621095,1.35,1.4,0.7,422,11816,3519.8555317809805,16.34817211702466,3536.203703898005,7ad3fc513b76f1dab9940e3f82904da3b07560d63b1e2b771db54d1272aa2fcf,680ceaa6293a96a08eb70516cd45a1b135461c71c6741c1d1d707b6a71af2e49
native_sde250_mse,mse,1000,38.21555175379939,38.215576785997186,0.24913050250528057,37.966446283491905,59.64388198852539,1.35,1.4,0.7,422,11816,3519.8555317809805,15.923838021233678,3535.779369802214,949f4567f4722139fc73fee22f485cae454c0dad5ab02fa9c5c5ca7d80dc98e8,06cadd8a76b98c867937d4f30991c85b34cfafb7dfd9efd07fee640e9a809178
