index,noise_time,correction_active,future_time,current_gap_rms,future_gap_rms,pullback_rms,pullback_gain,pullback_raw_cosine,pullback_current_cosine,future_current_cosine,pullback_fallback,future_fallback,selected_direction_rms,selected_current_cosine,selected_current_norm_ratio,zero_current_gap
0,1.0,True,0.96875,0.08997819672524929,0.16444204597175122,0.3190272303521633,1.8681207871437073,0.8116930526643992,0.08676412665574754,0.13048781574112944,0.0,0.0,0.08997819694876671,0.0867641263803962,1.0000000093579293,0.0
1,0.9987389445304871,True,0.9674889445304871,0.08446479434520006,0.16925219344347717,0.3282598032280803,1.8686099367141724,0.8020615889579058,0.09863354924704162,0.1506642707081046,0.0,0.0,0.08446479431167245,0.09863354961600362,1.0000000039935113,0.0
2,0.9974554777145386,True,0.9662054777145386,0.08111538096144795,0.17342454189062118,0.3396181509420276,1.8868840965032578,0.7954039619266987,0.11549363601404183,0.1741672621141188,0.0,0.0,0.08111538068950176,0.11549363643251126,1.0,0.0
3,0.996148943901062,True,0.964898943901062,0.07988114984706045,0.1770692722350359,0.34609728583693505,1.888914793729782,0.7906317571103573,0.13886070316936822,0.20339989842940123,0.0,0.0,0.07988114985451102,0.1388607029953273,1.000000003874302,0.0
4,0.9948186874389648,True,0.9635686874389648,0.08108177407458425,0.18038378484547138,0.3479941067993641,1.8748484539985657,0.7882255331873894,0.16786082821758463,0.2361926048733294,0.0,0.0,0.0810817742086947,0.16786082786275075,1.000000006020069,0.0
5,0.9934640526771545,True,0.9622140526771545,0.08479719669744372,0.18362135314196348,0.35329353219270704,1.8763091753721237,0.7858024567365647,0.20247513983395715,0.2712768006818369,0.0,0.0,0.0847971967458725,0.20247513917859486,1.0000000062584877,0.0
6,0.9920844435691833,True,0.9608344435691833,0.09080560011789203,0.1866842663511634,0.3530614899247885,1.8512496707439423,0.7855657742321491,0.24157448926754296,0.3074618012011051,0.0,0.0,0.09080560005828739,0.24157449008489493,1.000000005722046,0.0
7,0.9906790852546692,True,0.9594290852546692,0.0980306592695415,0.18959734132885933,0.3545601880848408,1.8353234124183655,0.7864827326834202,0.2801835485561751,0.3419896285757422,0.0,0.0,0.09803065917640924,0.2801835479255533,1.0000000037550927,0.0
8,0.9892473220825195,True,0.9579973220825195,0.10628442038595677,0.19235533690452575,0.3557708624601364,1.8169171397686004,0.7892601895928383,0.31972697971574965,0.3751396383568645,0.0,0.0,0.10628442050889135,0.3197269803043455,1.0000000076293944,0.0
9,0.9877883195877075,True,0.9565383195877075,0.1148956116065383,0.19522981894761324,0.3512534761428833,1.7716268682479859,0.7964939819127321,0.35851771650649605,0.4063305739313364,0.0,0.0,0.11489561145007611,0.35851771565247326,1.0000000062584877,0.0
10,0.9863013625144958,True,0.9550513625144958,0.12397544671595097,0.19777984635531903,0.34702643032372,1.7304575475454331,0.8042255854904652,0.39535081370361147,0.43648064506053924,0.0,0.0,0.12397544637322426,0.395350815679878,1.0000000035762786,0.0
