context,time,samples,full_cosine_mean,full_cosine_median,full_cosine_q10,full_cosine_q90,orthogonal_cosine_mean,orthogonal_cosine_median,orthogonal_cosine_q10,orthogonal_cosine_q90,orthogonal_overlap_cos2_mean,orthogonal_overlap_cos2_median,orthogonal_overlap_cos2_q10,orthogonal_overlap_cos2_q90,x_full_rms_mean,x_full_rms_median,x_full_rms_q10,x_full_rms_q90,v270_full_rms_mean,v270_full_rms_median,v270_full_rms_q10,v270_full_rms_q90,x_parallel_rms_mean,x_parallel_rms_median,x_parallel_rms_q10,x_parallel_rms_q90,v270_parallel_rms_mean,v270_parallel_rms_median,v270_parallel_rms_q10,v270_parallel_rms_q90,x_orthogonal_rms_mean,x_orthogonal_rms_median,x_orthogonal_rms_q10,x_orthogonal_rms_q90,v270_orthogonal_rms_mean,v270_orthogonal_rms_median,v270_orthogonal_rms_q10,v270_orthogonal_rms_q90,v270_over_x_orthogonal_rms_mean,v270_over_x_orthogonal_rms_median,v270_over_x_orthogonal_rms_q10,v270_over_x_orthogonal_rms_q90,x_orthogonal_energy_fraction_mean,x_orthogonal_energy_fraction_median,x_orthogonal_energy_fraction_q10,x_orthogonal_energy_fraction_q90,v270_orthogonal_energy_fraction_mean,v270_orthogonal_energy_fraction_median,v270_orthogonal_energy_fraction_q10,v270_orthogonal_energy_fraction_q90,x_parallel_coefficient_mean,x_parallel_coefficient_median,x_parallel_coefficient_q10,x_parallel_coefficient_q90,v270_parallel_coefficient_mean,v270_parallel_coefficient_median,v270_parallel_coefficient_q10,v270_parallel_coefficient_q90,parallel_coefficient_correlation
teacher,0.02,512,0.2940858165981505,0.30458033458006795,0.055905595625602635,0.5389903725518801,0.2943419381312942,0.30688148803747195,0.051155961743310656,0.5376142813189728,0.13010952124571878,0.09502422494239952,0.009783153119363595,0.2963641715875313,0.021616086372570554,0.020506766491832258,0.015949493455390734,0.027414883794351655,0.015553307850370736,0.014452098534955644,0.01063332878868097,0.02133999227817344,0.001595329933721708,0.0010912383057549416,0.00018238888892550977,0.0032889873966268396,0.0014420230260516734,0.0009772352747609548,0.00017142629332230063,0.0027714222375095194,0.02150693752001754,0.020461789237002405,0.015911100354239916,0.027301305448206636,0.015420916424378471,0.014364476142499473,0.010598612049401159,0.02103927907591627,0.7254760108908807,0.6916680998487097,0.5588269757630827,0.9410194963384239,0.9919842978004025,0.9970184895748276,0.9786952784267725,0.9999131609463713,0.9883207164723459,0.9957811569026123,0.975129746141075,0.9998125526859093,8.79038489577187e-05,0.00010578529453757963,-0.0021571348109626952,0.002496251023668796,0.000734577297158979,0.0005326859373810456,-0.0012313492780113974,0.002494610771222161,-0.07287197745854104
teacher,0.05,512,0.3042093195855852,0.3205884252182627,0.0634094621546817,0.5243840865086756,0.3044933649445092,0.32162502055378284,0.06660544098319288,0.5177874316192851,0.12359558787369382,0.10344274304083043,0.009957304047317563,0.2681063828879669,0.026400176771302113,0.024398359291375633,0.018288760884520316,0.0358205703180647,0.018141067506181663,0.01657808679989302,0.011975826476796665,0.02624415691176844,0.0023601880366641848,0.001543788392010852,0.00030958858901030924,0.00500970966353742,0.0017232636800118095,0.00113398474544039,0.00018915161514089735,0.0035654146598113087,0.02621506518041182,0.02423299060149458,0.018277765345385322,0.035635813436424996,0.017986769892572606,0.01645299974492013,0.011940942170456438,0.025807413401444098,0.6915650360866806,0.6734123361828508,0.538671383803792,0.878824639969484,0.9889631560702463,0.9960972832615405,0.9706254088963352,0.9998221718097706,0.9869830472419554,0.9952374248491327,0.9703400655810533,0.9998438845454716,-0.00047573905077101606,-0.0004561595212758898,-0.0036694705193382506,0.002433715317980557,0.0004157444411468736,0.00034223702058214765,-0.0018861306149829656,0.0024590517064551547,0.44107423557569125
teacher,0.1,512,0.3394863597569436,0.3422969919080012,0.1026519429608168,0.5631996108647039,0.3392345078508221,0.3441203997409428,0.1019588507735471,0.5559974344360189,0.1491190944311636,0.11953440787004557,0.016494475158173184,0.30913316905117866,0.03755809905038344,0.03328014583037727,0.022840471279028194,0.057277757740975176,0.024317237300936836,0.0214279463995214,0.014173886560896524,0.03935708013701379,0.0034704388522325247,0.002283371960065364,0.0003660126691607353,0.007933680265623138,0.002457280540477893,0.0015597676147932646,0.00027383756521843133,0.005251340838540091,0.037294354857005683,0.03294312547508669,0.022719515546149146,0.05706771052736581,0.02411009236485517,0.02130626937547414,0.014123458550077747,0.039302328248580584,0.6543997774563447,0.6364778749915797,0.5167253616289541,0.8249215882212028,0.9885149648280369,0.9954516267531444,0.9695966781288752,0.9998325427107255,0.9864337364056174,0.9943445603246723,0.9644756728057867,0.9998352739098816,0.0005699228798478,0.0002071591211376701,-0.004049209448076729,0.005628037645564787,0.0006764615975472537,0.0005662583026199173,-0.0025211926902070007,0.004230619486819872,0.45891937581175507
teacher,0.2,512,0.341300726814586,0.3445776219243073,0.15009050934886464,0.5276237991371605,0.3412260216927461,0.34493202655262534,0.15295149375738673,0.5247277570211724,0.14069624936985406,0.11909511027849459,0.024571835548777902,0.27533993561099757,0.057622923223155445,0.05106045678790533,0.03441050095925946,0.08886009322338786,0.034800831512330155,0.030940943063916582,0.01965224698797416,0.05518246187381403,0.004190834797324627,0.0029417672231127857,0.000509034867150851,0.009296683854161311,0.0027593255724171653,0.001697777523673436,0.00026307907024087935,0.0066950317378131246,0.0573670671300069,0.05051567048416019,0.034234558366721984,0.08878428027057239,0.03460255051095064,0.0308265775600323,0.019526460528256327,0.055126879309543256,0.6052144493557851,0.5973316252623131,0.48443232901030575,0.7424588606893404,0.9922991714237097,0.9966052666555836,0.9793816579549145,0.9999141251172105,0.9902125100650482,0.9971974090465219,0.9708630611230022,0.999902893069368,0.0008805980247661885,0.0002756663855589732,-0.004810946896509543,0.006966847840623968,0.0012210311462001295,0.00046178942843795893,-0.0025442176654090027,0.005795425404891605,0.40923808602082523
teacher,0.4,512,0.3187961122112325,0.316680082568947,0.20280470789063945,0.4324018413261285,0.31693291928773726,0.31693699904532124,0.20164132654742267,0.43109111089328367,0.1096464895322509,0.10044906590400825,0.04065922485408621,0.18583959714305573,0.10154814273016594,0.09731333192264449,0.07286969062397075,0.1321767886407805,0.05647577405947706,0.05447945530449093,0.040411642684443805,0.07308207201100886,0.007579227803283857,0.0064337531930094335,0.0008234288710034001,0.016365737258255172,0.004080401950038115,0.003364323095844524,0.0005718313646940604,0.008291794615447916,0.10111492574108671,0.0971437871082512,0.072830418547918,0.13141215622029148,0.056250899871418306,0.05436958541685654,0.04021358815650014,0.07265487357077628,0.557739449008648,0.5527089833941172,0.4872705954652721,0.6343620475509032,0.9921043971750481,0.9959201972771432,0.9788599066714135,0.9999208816760429,0.9924464894189301,0.9960340211892431,0.9801021591094632,0.9998655904987591,0.006583378084303247,0.006039264197112523,-0.0025638013267873455,0.01701899767499635,0.0031101995432911652,0.00262523438132189,-0.0026026339163418514,0.008751788785137238,0.4732607821360378
teacher,0.6,512,0.29797796974652296,0.2946248285256298,0.23978571390768813,0.36135566747815834,0.29290797203485275,0.2892772882395481,0.23612159994462992,0.35555976854987337,0.08818276090580864,0.08368148280147358,0.055753413226811946,0.12642279125664546,0.14927536093825255,0.14680660111215033,0.12018288077744646,0.17803949045681236,0.07672171373900864,0.07486437554709773,0.061713058340220145,0.09239175783832189,0.015465312506159037,0.014537499836807688,0.006095334798460641,0.025513811358256294,0.005811060079955138,0.0054122723402040464,0.001173650680502376,0.010753742281106248,0.14831409638405707,0.14571903910719353,0.11990494916130014,0.17711506861183735,0.07643404327544584,0.07466399345108352,0.06156855013350302,0.09184639530965948,0.5155769821557624,0.5120328157384554,0.4780536376959062,0.5547492431105838,0.9878416269071506,0.9902008725145299,0.9756950550514978,0.9978652285717802,0.9928833706681763,0.9946629661845205,0.984349567068137,0.9997113309445823,0.017481895740610223,0.016555257023560307,0.006172786077133495,0.02982137182757862,0.006392652368360835,0.006152462942101419,0.0007227043022873412,0.012323810053809357,0.5691776622537015
teacher,0.8,512,0.27581540956586215,0.27688485687141084,0.24217948402876677,0.3085211618092993,0.2672763092788698,0.267308799999328,0.23418302986893402,0.2982138813010458,0.07207665702381041,0.07145399593927088,0.05484169494049979,0.08893154651080368,0.18179570177566184,0.17917383953068625,0.15246260971971334,0.21253098924337155,0.08847827449634721,0.087480519163606,0.07414619756788075,0.102548885049136,0.02560148793615293,0.02491580575430856,0.015996361236165796,0.035769328462917575,0.007697519555243592,0.00762906435792737,0.003496485727817217,0.011816865522741762,0.1798678520977155,0.17758863883165926,0.1509779186272852,0.20953695029467623,0.08809756404900448,0.08705502519722093,0.07405631346559922,0.1021745687299825,0.4899329059032922,0.4895317769607632,0.471660940422681,0.5097443243155739,0.9794849504348446,0.9804755794934096,0.9674144469500666,0.9908149287731053,0.9916347830030661,0.9926290859922251,0.9843806658674581,0.998265791795912,0.03018224830597038,0.02963452486810654,0.016636719840976096,0.04396496876315662,0.009074730021782608,0.008912410920780715,0.003529369463617127,0.014502907909108903,0.7187569965030155
teacher,0.9,512,0.27261666054298345,0.2727179974267602,0.24384770109618467,0.301951203041706,0.2644013912868083,0.2655847235002825,0.23723262446732507,0.29183159464244046,0.07037009842837731,0.07053524591329843,0.05627931865184026,0.0851656796828387,0.16915660409477343,0.16512253985867748,0.1343923982397347,0.20472811838900143,0.08164306290022721,0.08032419108134461,0.06497082690663894,0.09916373864295971,0.024138517631836023,0.02278335842334172,0.01432227165487442,0.034872888479231104,0.006805169275948872,0.006561610651426089,0.003043391412183046,0.010540671130465445,0.16730958168629,0.16350257907473778,0.1332179327685988,0.20239137705950333,0.08132138157065334,0.07998237133119046,0.06478100332793661,0.09861893144269472,0.4859180676190458,0.48593127614779147,0.4712901405748587,0.5006501746693883,0.9792146682489101,0.980522524705018,0.9665152632722039,0.9909766969929078,0.9924154495178024,0.9933091139372542,0.9859792542304923,0.9981159860321929,0.029623017063239422,0.028622295331523377,0.016421058528321382,0.042604474331540576,0.008403743551584967,0.008139149091219289,0.003507426862175969,0.013304404954657454,0.7089440585275164
teacher,0.95,512,0.2774230730973122,0.27682799820831344,0.2460727135091829,0.3079415619434887,0.2715963644290124,0.2710624163493557,0.24056617752030338,0.30262700122074293,0.0743200006537213,0.07347483474755895,0.05787209450035369,0.09158310252695231,0.13125973671511318,0.12703151529376575,0.09281416846191616,0.1717693538474322,0.06321783024550591,0.061698874802421935,0.0448284319086684,0.08252255101136281,0.018689447686978757,0.017579312892377765,0.009523941433006973,0.029608265986756182,0.004246910631814131,0.003853980825583585,0.0012644466783856324,0.007857625088519,0.1298115385095433,0.12590298407398376,0.09164374999153453,0.16959383667699085,0.06304644732910342,0.06146796612718578,0.04469870999768279,0.08229735316378421,0.4851682701131086,0.4854441983541833,0.46888782280798064,0.5012154040509822,0.979421808766773,0.980961056922877,0.9647076397153644,0.9916610267004721,0.9950028354314806,0.9959241543299671,0.9895936989494499,0.9994418973890308,0.02351075408502553,0.022101276329916313,0.011947020828813567,0.03658533316078857,0.005318897611727394,0.004941335598735764,0.0015019538976087782,0.00971727543272289,0.6985248458972941
teacher,0.975,512,0.07615229561406747,0.07509616503158775,0.028665497323153932,0.12375277606058063,0.2654556269787526,0.26489550885970065,0.2248327311933874,0.3025734158520456,0.07140415731082209,0.07016970452572688,0.05054975720024658,0.09155069142877376,0.4076400679279116,0.39732049112663875,0.3434240267794487,0.48447176510052586,0.04461177043162418,0.04217856703431181,0.0296423295193944,0.062174495628559256,0.4043970852232527,0.3939322200920497,0.3407405605571057,0.4796879817933112,0.002217930393235897,0.0018629061609616577,0.00033428917363102285,0.004632532585113746,0.05019242389658858,0.047437338482853204,0.035856518544544164,0.0657587777405621,0.04453630805659532,0.04211182393967138,0.029635901660766666,0.0621605212010368,0.8786799066141968,0.8803775995706831,0.8175051477828582,0.936520878125145,0.015773045067111,0.014229556392331396,0.008830884282280757,0.024616171227694623,0.9969017059076876,0.9981177521794791,0.9926932211702827,0.9999112972874811,0.5100844407634739,0.5091527187854616,0.5044402503908851,0.5168297133497621,0.0026523528077555206,0.002356330868381601,8.847588940475473e-06,0.005752130886761143,0.4485489760828081
