anchor_prediction_target,checkpoint_step,condition,control_mode,fid,fid_gain_vs_v400,fid_peak_memory_mib,guidance_gamma,inception_score,label_fingerprint,noise_fingerprint,num_samples,other_checkpoint_step,other_inference_denominator_floor,other_prediction_target,other_training_denominator_floor,region,sampling_elapsed_seconds_max_rank,sampling_peak_memory_mib,scale,series,sfid,total_model_forwards,total_nfe
velocity,400000,static_ifloor0p001_s1,full_pair,74.32162251143546,-6.848117037399845,4655,-1.0,23.712284088134766,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,5000,400000,0.001,x,0.05,interpolation,456.24395546363667,4521,1.0,x_inference_floor_0p001,69.82278017491285,61430,61430
velocity,400000,static_s1,full_pair,78.32786602156972,-10.8543605475341,4765,-1.0,22.493425369262695,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,5000,240000,0.001,velocity,0.001,interpolation,291.1125592892058,6591,1.0,same_target_v240,69.27362368283616,33734,33734
velocity,400000,static_sm0p2,full_pair,64.94834672665229,2.5251587473833297,2862,0.2,27.457544326782227,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,5000,240000,0.001,velocity,0.001,beyond_velocity,479.6153939841315,4151,-0.2,same_target_v240,68.69377612669973,66508,33254
velocity,400000,static_sm0p5,full_pair,61.33735724051684,6.136148233518782,2862,0.5,28.477060317993164,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,5000,240000,0.001,velocity,0.001,beyond_velocity,449.03621314885095,2248,-0.5,same_target_v240,68.37496002578371,66868,33434
velocity,400000,static_sm0p75,full_pair,58.57525394064248,8.898251533393136,2862,0.75,29.5384578704834,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,5000,240000,0.001,velocity,0.001,beyond_velocity,457.90493821632117,2248,-0.75,same_target_v240,68.00571915007072,69904,34952
velocity,400000,static_sm1,full_pair,55.61008618885057,11.863419285185046,2862,1.0,30.598949432373047,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,5000,240000,0.001,velocity,0.001,beyond_velocity,464.33386711077765,2248,-1.0,same_target_v240,67.74190761936552,73552,36776
velocity,400000,static_s1,full_pair,75.41107203433296,-7.937566560297341,2862,-1.0,23.56785011291504,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,5000,270000,0.001,velocity,0.001,interpolation,286.25249787187204,2747,1.0,same_target_v270,69.076851489771,33740,33740
velocity,400000,static_sm0p2,full_pair,65.73369174802258,1.7398137260130397,2862,0.2,27.226600646972656,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,5000,270000,0.001,velocity,0.001,beyond_velocity,431.4385865367949,2248,-0.2,same_target_v270,68.7417674025022,66748,33374
velocity,400000,static_sm0p5,full_pair,63.031089524997014,4.442415949038605,2862,0.5,28.08860969543457,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,5000,270000,0.001,velocity,0.001,beyond_velocity,434.22965505486354,2248,-0.5,same_target_v270,68.52843355926643,66256,33128
velocity,400000,static_sm0p75,full_pair,60.81080325971743,6.6627022143181875,2862,0.75,28.78263282775879,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,5000,270000,0.001,velocity,0.001,beyond_velocity,434.97206127271056,2248,-0.75,same_target_v270,68.28052625518887,67360,33680
velocity,400000,static_sm1,full_pair,58.606222316533206,8.867283157502413,2862,1.0,29.86517333984375,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,5000,270000,0.001,velocity,0.001,beyond_velocity,434.41236633760855,2248,-1.0,same_target_v270,68.01288403291926,70804,35402
velocity,400000,static_s1,full_pair,73.05356836779754,-5.580062893761919,2862,-1.0,24.267948150634766,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,5000,300000,0.001,velocity,0.001,interpolation,278.75469577591866,2248,1.0,same_target_v300,68.86068424380187,33716,33716
velocity,400000,static_sm0p2,full_pair,66.18341299277284,1.290092481262775,2862,0.2,27.060993194580078,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,5000,300000,0.001,velocity,0.001,beyond_velocity,432.9039551638998,2248,-0.2,same_target_v300,68.8083250004562,66748,33374
velocity,400000,static_sm0p5,full_pair,64.38466009098198,3.0888453830536378,2862,0.5,27.61043357849121,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,5000,300000,0.001,velocity,0.001,beyond_velocity,430.9721893668175,2248,-0.5,same_target_v300,68.67723609118491,65980,32990
velocity,400000,static_sm0p75,full_pair,62.936915364830725,4.536590109204894,2862,0.75,28.21074867248535,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,5000,300000,0.001,velocity,0.001,beyond_velocity,442.2093449891545,2248,-0.75,same_target_v300,68.50741303698055,66844,33422
velocity,400000,static_sm1,full_pair,61.38097577501571,6.092529699019906,2862,1.0,28.770305633544922,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,5000,300000,0.001,velocity,0.001,beyond_velocity,439.2969688461162,2248,-1.0,same_target_v300,68.3297435341866,68212,34106
