variant,readout_depth,head_architecture,trainable_parameters,ema_native_x_mse,ema_velocity_mse,full_auxiliary_gap_rms,auxiliary_only_fid1k,baseline_fid1k,best_gamma,best_extrapolation_fid1k,fid_improvement
final_tiny_linear,12,shared source AdaLN + clean linear projection,6160,0.25259023987791807,1.9133184220991097,,148.14049193297996,86.90426239731335,0.01,87.23679836940778,-0.3325359720944334
depth8_full_finallayer,8,independent AdaLN FinalLayer,301840,0.25892183071505315,1.2972036647843197,0.48201677146971633,221.79198778506736,86.90483857887506,0.15,81.2269760552469,5.677862523628164
depth12_full_finallayer,12,independent AdaLN FinalLayer,301840,0.24285897155323255,1.0258235218643676,0.25788105101491965,124.97482997460895,86.90718126515054,0.08,86.86140875009255,0.045772515057990404
