time,metric,strong_mean,weak_mean,weak_minus_strong,weak_over_strong,paired_ci95_low,paired_ci95_high
0.05,low_fraction,0.980490328033692,0.9818014279590728,0.0013110999253808748,1.0013371880251078,-0.0010014831036853924,0.0038930420187290064
0.05,mid_fraction,0.00016989198433509757,0.0015839399005706024,0.0014140479162355049,9.32321737702713,0.0011897905021390027,0.0016451106944188817
0.05,high_fraction,0.019339779981970208,0.016614632140351644,-0.0027251478416185646,0.8590910628683923,-0.005203350451546306,-0.00047687254576138046
0.05,spectral_centroid_cpp,0.014099841578714179,0.013583703429517667,-0.0005161381491965108,0.9633940462156894,-0.001668725876693082,0.0005354485089624904
0.05,high_to_low_ratio,0.02075211404396246,0.017382744828532505,-0.003369369215429954,0.8376373024795405,-0.00646965649273969,-0.0006493887772430157
0.05,rms_contrast,0.1564500497188419,0.15197226355667226,-0.00447778616216965,0.9713788127890229,-0.008103369417221984,-0.000895467340887993
0.05,gradient_rms,0.02037036278488813,0.024487073525961023,0.004116710741072893,1.202093147998665,0.0036217920536728344,0.00455240420269547
0.05,laplacian_rms,0.06840029332670383,0.08106037277320866,0.012660079446504824,1.1850880870647125,0.011031031646052725,0.014247319888818308
0.1,low_fraction,0.9885945254750761,0.9892455519318999,0.0006510264568238971,1.0006585373882289,-0.0009064657423356007,0.002523517605371364
0.1,mid_fraction,0.00022928395570672193,0.0009617033889950772,0.0007324194332883552,4.194377168829013,0.0006102897408132017,0.0008789353561613965
0.1,high_fraction,0.011176190569214747,0.009792744679102043,-0.001383445890112705,0.8762148979524866,-0.0033871732742109797,0.00015208580398091122
0.1,spectral_centroid_cpp,0.01087258751798656,0.01077761683694749,-9.49706810390688e-05,0.9912651260905504,-0.0009528403093122887,0.0005666922369020203
0.1,high_to_low_ratio,0.011903769773695883,0.010186949470481287,-0.0017168203032145984,0.8557750749675699,-0.004037761921293814,7.979383670114646e-05
0.1,rms_contrast,0.21243195672286674,0.2045191494980827,-0.007912807224784046,0.9627513329592549,-0.014187213520926889,-0.0024146618154190992
0.1,gradient_rms,0.023314735750318505,0.025241237301088404,0.001926501550769899,1.0826302116996365,0.0014362475159941824,0.0023924349008666466
0.1,laplacian_rms,0.07777264210744761,0.08229879842838272,0.004526156320935115,1.0581972811812406,0.0030164880474330856,0.0060163150603329985
0.2,low_fraction,0.9892894140395098,0.9902596398831696,0.0009702258436597583,1.0009807300370255,-0.0004944223444215275,0.0028003563457407485
0.2,mid_fraction,0.0007371287337782352,0.001126923016543011,0.00038979428276477573,1.5288008252871137,0.0002651122579231385,0.0005217216706390577
