time,frequency_cycles_per_pixel,strong_mean_psd,weak_mean_psd,difference_mean_psd,difference_energy_fraction,weak_over_strong_db
0.05,0.00390625,182.12098325845284,151.18833498286597,6.598381212766993,0.3263856114931767,-0.8084170213407881
0.05,0.01171875,8.844383654553448,9.386825046580478,0.9248130057717907,0.27259973956404565,0.25851150195933803
0.05,0.01953125,0.12361711185828192,0.34670042685918395,0.14386667947909954,0.09118782697669135,4.478757836737252
0.05,0.02734375,0.012316678978913006,0.06729123209401457,0.04482603359044986,0.037652450141982576,7.374648581033064
0.05,0.03515625,0.0025904725893531586,0.019890019584532834,0.016643031113020887,0.01811108582291287,8.852562095149196
0.05,0.04296875,0.0009275128173423958,0.008748279997076981,0.007915233418682006,0.010078617966258417,9.746027547347113
0.05,0.05078125,0.00042880794875327225,0.004292495820031956,0.004031212177509377,0.006809849164781815,10.004470537080044
0.05,0.05859375,0.00023865239372718156,0.0028233511016099804,0.0027410910467307757,0.004797493942063953,10.729990940003553
0.05,0.06640625,0.00013685106118053965,0.0021239964464256134,0.0021153834429899873,0.004217211985541483,11.90905616411795
0.05,0.07421875,7.42806891407187e-05,0.0009472004470745908,0.000996609189130427,0.0021801594661881966,11.05565970101054
0.05,0.08203125,5.564736132061333e-05,0.0006216925564425836,0.0006785690525071994,0.0016580310520627956,10.481310917294453
0.05,0.08984375,4.4679853996352066e-05,0.0004601195698737203,0.0005062666018828973,0.0013060299731230025,10.127589598650335
0.05,0.09765625,3.399960342073837e-05,0.0003332147424805858,0.00036440003725984676,0.0010734577190324016,9.912503563695271
0.05,0.10546875,2.5020110024270254e-05,0.00024415700327420453,0.0002681986381349476,0.0008681789269726146,9.893799707361753
0.05,0.11328125,1.9261399471110674e-05,0.00019115981224023386,0.00020790232772035358,0.0007192571039399444,9.967087569089564
0.05,0.12109375,1.6742540075862036e-05,0.00017383673663529632,0.0001831945263620738,0.0007103734285116517,10.163202133988937
0.05,0.12890625,1.766984889771054e-05,0.0002132377208379892,0.00021075732971487292,0.0008698109764520687,10.816311962926113
0.05,0.13671875,1.0389393271640613e-05,0.00013420732597426026,0.00013992456580975887,0.0006026632541721019,11.111860372992775
0.05,0.14453125,8.711401313474324e-06,0.00011560114730227608,0.00012059660170652014,0.0005513252523755812,11.228741232208815
0.05,0.15234375,7.740540144942629e-06,0.00010161548963097538,0.00010617561096114883,0.0005311474213635768,11.181886467608816
0.05,0.16015625,7.121681428224942e-06,9.360754599366253e-05,9.760290317829262e-05,0.0004994259504398041,11.187283173460274
0.05,0.16796875,7.30070103126209e-06,9.557456946375473e-05,9.94811083703867e-05,0.0005527864482335899,11.16977786175752
0.05,0.17578125,1.037200405972181e-05,0.00011336094999560001,0.000123647552388015,0.0007023573476136389,10.386007986753514
0.05,0.18359375,8.693737528844408e-06,0.00010769669879988133,0.00011275345719081473,0.0006777279816430729,10.929958668396061
0.05,0.19140625,1.0065157168562945e-05,0.0001252191329147862,0.00013275561478084334,0.000840287759228337,10.94850131334015
0.05,0.19921875,1.0445626224502615e-05,0.0001386227251054081,0.00014630210347258305,0.0010041192704560752,11.228999507095722
0.05,0.20703125,9.729217877867657e-06,0.00012257588628646076,0.0001299493541229161,0.0008853244176197138,11.003271129303489
0.05,0.21484375,9.992535146052716e-06,0.00012473896157896098,0.00013071615768425168,0.0009430314900820748,10.963264398871186
0.05,0.22265625,9.868221123785084e-06,0.0001293673090837331,0.0001359431965967382,0.0009925476241007855,11.17585672209998
0.05,0.23046875,8.73093611434933e-06,0.00012325601729980417,0.00012917429970987803,0.000984429450591146,11.49747320086073
0.05,0.23828125,8.582319240279818e-06,0.00011180334168650174,0.00011781598300864159,0.0009524537315832581,11.148501192194935
0.05,0.24609375,8.779700399352892e-06,0.00010081188822768965,0.00010763569984379917,0.0008791215497924557,10.600320530572588
0.05,0.25390625,1.0530315861839118e-05,9.94927162137052e-05,0.00010710628994302967,0.00090345468092768,9.75349889289183
0.05,0.26171875,1.1039460926409073e-05,0.00010189630186452264,0.00010832204481390268,0.0009130916163573149,9.652105557335556
0.05,0.26953125,1.196849804513502e-05,0.00010500627619358637,0.00011183805183483041,0.001000824407113205,9.431756043028077
0.05,0.27734375,1.3828326675022564e-05,0.00011833830846394694,0.0001273281208371748,0.0011505729825157021,9.323557265538334
0.05,0.28515625,1.398345031374516e-05,0.00011672002435713631,0.00012669424822615011,0.0012295597232818529,9.21531025905529
0.05,0.29296875,1.5110670596878382e-05,0.00011687637622024186,0.00012951471549639947,0.001253457915410299,8.884429993977733
0.05,0.30078125,1.655580048528034e-05,0.00012499617120657612,0.00013953146669818574,0.0014014410475689718,8.779465261561603
0.05,0.30859375,1.9606817332847034e-05,0.00013987356885998423,0.00015730912497863596,0.0015551614874955398,8.53328553255052
0.05,0.31640625,2.414482105275655e-05,0.00016265702389962365,0.00018038896063873926,0.0018978548915148522,8.284488308321718
0.05,0.32421875,2.6277401368187583e-05,0.00016235317420255387,0.0001831055438547017,0.0019705052798954584,7.908783693867538
0.05,0.33203125,3.143857929943026e-05,0.00017397726966787095,0.0001980646405705126,0.002220463127164679,7.430295987458754
0.05,0.33984375,3.9222592416687224e-05,0.00019507419112018052,0.0002269422908793662,0.002553825765792174,6.966635198107829
0.05,0.34765625,5.4745784410511404e-05,0.00021940473992613398,0.00026303633156805043,0.003034929919462356,6.028953228293804
0.05,0.35546875,7.673691659988381e-05,0.0002527143909994567,0.00031878017062088765,0.0036442271044591977,5.176256291965866
0.05,0.36328125,9.315738347763356e-05,0.00026174302254005586,0.0003437253821995181,0.004119965526508407,4.486578312709947
0.05,0.37109375,9.976616400247442e-05,0.00029033402342798243,0.00037134661465372466,0.004516185386907842,4.639146585968588
0.05,0.37890625,0.00010541772408420528,0.00034548877092542107,0.0004183717981068346,0.005226270904290851,5.155203007220882
0.05,0.38671875,0.00011722824725886286,0.0003289340263903852,0.0004041023133796807,0.005144603006802051,4.4807652947874885
0.05,0.39453125,0.00016647575318356827,0.00041580448001964267,0.0005138803033460686,0.006654670683468425,3.975381758173484
0.05,0.40234375,0.0001721290671764641,0.000390015679521156,0.0005120617405862093,0.006630019547673666,3.552278518316598
0.05,0.41015625,0.00020067870313458878,0.0003899779795427072,0.0005443259204926638,0.0072645709946767955,2.8853879910886833
0.05,0.41796875,0.0002742104814734934,0.0004207052200649607,0.0006142057972802451,0.008598034832352204,1.8589384940399687
0.05,0.42578125,0.0004216362336498139,0.00043102042981817953,0.0007500830046403493,0.01028382794860231,0.09559930397873977
0.05,0.43359375,0.0006411878048714246,0.0004427990445864524,0.0009620798461399032,0.0136534949091038,-1.6077857851389468
0.05,0.44140625,0.0009910490255875437,0.0005004129188485285,0.0013373247025500019,0.019562099887679086,-2.9676662578400452
0.05,0.44921875,0.0009183291922877592,0.0004611083003328953,0.0011909431164942026,0.017784475074210868,-2.9919545014558513
0.05,0.45703125,0.00085276198419067,0.0004268956072940448,0.0011247162140371671,0.016520858915939178,-3.0050614544153103
0.05,0.46484375,0.0007582270117140782,0.0004058043225302014,0.0010129840347004296,0.01509663026554825,-2.7148258331385104
0.05,0.47265625,0.0006008164678970101,0.00038794738293847377,0.000888976113785809,0.012650583592601267,-1.8996900132362304
0.05,0.48046875,0.00042606276982950873,0.00036140425168065755,0.0006972716140775017,0.010753449105699975,-0.7148032894464246
0.05,0.48828125,0.00034243647040518914,0.0003557292479709795,0.0006315192734374359,0.009491145995873399,0.16539562240071873
0.05,0.49609375,0.00029955417242596245,0.0003424303303718714,0.0005672744967146218,0.008495808820050637,0.580968516786181
0.1,0.00390625,292.35381504829013,240.27385776662464,10.942058224328463,0.3409623985986959,-0.8520224415863963
0.1,0.01171875,20.176771289269016,19.069774489636714,1.6261572545343743,0.3028842052998865,-0.24506113835685567
0.1,0.01953125,0.6473612446051774,0.8235007136362478,0.21740496118536531,0.09216269376170384,1.0451728380220495
