time,metric,mean,std,median,q05,q95
0.05,low_fraction,0.7803553747272867,0.14807173758750686,0.8043249922730107,0.5101493946129807,0.9540919949044387
0.05,mid_fraction,0.012468559925747462,0.005892014482374906,0.01185195167234989,0.0036322751996690013,0.022392135854232182
0.05,high_fraction,0.20717606534695493,0.14421488922796835,0.1817760319870202,0.039438175294489584,0.46981770808039425
0.05,spectral_centroid_cpp,0.10026319607327124,0.06349764052946144,0.09076810526069161,0.02547344773305276,0.21448118988874817
0.05,high_to_low_ratio,0.34718715058734695,0.5386317734842507,0.2259984596680544,0.04133953917631828,0.9206121184464121
0.05,rms_contrast,0.0430920767103089,0.012688155308673782,0.03950200229883194,0.02983236387372017,0.06457130983471866
0.05,gradient_rms,0.03006272982020164,0.011415246308128272,0.027849036268889904,0.017710914835333824,0.051943026855587944
0.05,laplacian_rms,0.10147119956673123,0.039562905281589976,0.0932779423892498,0.05846515335142612,0.1785636641085147
0.1,low_fraction,0.818776810484958,0.14471618670315572,0.8426570053384157,0.5202098436078222,0.9805977140812271
0.1,mid_fraction,0.011808420752502238,0.006650417161369851,0.011031863949770581,0.002345692751029691,0.0231958502620794
0.1,high_fraction,0.16941476876252964,0.13945582843502885,0.1452937348033674,0.016959432322956863,0.4584151413563767
0.1,spectral_centroid_cpp,0.08360811979726468,0.06100583020052972,0.07348306046373942,0.014887551052761811,0.20968919776175554
0.1,high_to_low_ratio,0.26745927840680817,0.3895235523157815,0.1725767971101872,0.01729556637972363,0.8811045761569588
0.1,rms_contrast,0.05124784415238537,0.02499674277341629,0.044424032792449,0.03193716201931238,0.1069648995995521
0.1,gradient_rms,0.031154521995631512,0.01257269005517839,0.028483706526458263,0.016560382209718227,0.0533977385610342
0.1,laplacian_rms,0.10562416510947514,0.04434881449510142,0.09553845226764679,0.05427200309932232,0.18411776348948478
0.2,low_fraction,0.8264342858927647,0.14183766409268364,0.8540222929711738,0.5590447858666381,0.9847630491052548
0.2,mid_fraction,0.015986510426629096,0.00883094576822461,0.015604583255412724,0.0039211249172696385,0.029882771372148332
0.2,high_fraction,0.1575792036805952,0.13447413755868384,0.13096406433537783,0.01085360528647555,0.4142776116419848
0.2,spectral_centroid_cpp,0.08095523029644798,0.056962571910579,0.07086479995574257,0.019108469696792453,0.18883647418460728
0.2,high_to_low_ratio,0.23878080101059926,0.29773643356303225,0.15248313458693047,0.01101247003416321,0.7418494334462945
0.2,rms_contrast,0.0584821864758851,0.02915488866170447,0.04880351759493351,0.03523381631821394,0.12688015252351761
0.2,gradient_rms,0.033863353412016295,0.01391129200594145,0.032277608290314674,0.017189699970185757,0.06148031707853077
0.2,laplacian_rms,0.11172672825341579,0.04924612726176477,0.10204918682575226,0.05364097002893686,0.21149703189730637
0.4,low_fraction,0.7473671884842825,0.15804614564559957,0.7997027015119029,0.39044407397130215,0.9178290100506269
0.4,mid_fraction,0.05636661431461577,0.029322266150192493,0.049941761414024205,0.024451847910461327,0.10248912004507077
0.4,high_fraction,0.19626619720108796,0.15001077600490223,0.1536470134026983,0.030348600543817956,0.5407266706360012
0.4,spectral_centroid_cpp,0.11072731180446328,0.05973399103693273,0.0915571573457103,0.045947308351549,0.24640754897257985
0.4,high_to_low_ratio,0.34839543150291985,0.4433591931845983,0.19057735805111853,0.03377377569370452,1.3860312273240487
0.4,rms_contrast,0.06838919487199746,0.022855234747382328,0.06430592015385628,0.040311696007847786,0.11216744892299171
0.4,gradient_rms,0.0497079092747299,0.02100736967842295,0.045753298327326775,0.020341540686786175,0.08879220932722089
0.4,laplacian_rms,0.15322624167311005,0.07131930485308945,0.13916867971420288,0.06065385397523642,0.2899344846606254
0.6,low_fraction,0.4881296577937508,0.16360661039785115,0.4781491164756293,0.21917976154431235,0.7584924864156134
0.6,mid_fraction,0.15629455517385443,0.04013943616053348,0.15462090031391929,0.0941528045725113,0.22487315542789502
0.6,high_fraction,0.355575787032375,0.15633582619338324,0.3471318536183456,0.11720975489404473,0.6263980483665533
0.6,spectral_centroid_cpp,0.18960170026077433,0.05908387503983763,0.18944630111530758,0.09618114027470635,0.28854019420557475
0.6,high_to_low_ratio,0.9756627979777384,0.8344684664661445,0.7228529269506835,0.15357995354869985,2.968353733664407
0.6,rms_contrast,0.07697426776576322,0.022958534017290595,0.07489640265703201,0.04419250395148992,0.11628813743591306
0.6,gradient_rms,0.07694173460185993,0.0318785297604746,0.07594919577240944,0.025677839294075966,0.12968224212527274
0.6,laplacian_rms,0.22708517490536906,0.09983113257846174,0.21419373899698257,0.07146311327815055,0.39727062135934826
0.8,low_fraction,0.3082801773681342,0.11833969766294243,0.2910632248205816,0.15118419431710373,0.5576758907780318
0.8,mid_fraction,0.23912066525857084,0.04248403923107043,0.24085718708359063,0.16444552922357328,0.3007878260046025
0.8,high_fraction,0.45259915737327555,0.13053197213844758,0.4588490717337458,0.1840656643454457,0.653957454948355
0.8,spectral_centroid_cpp,0.23138253461428027,0.04374318146803226,0.23455540557636617,0.14390232681505316,0.2949247019999774
0.8,high_to_low_ratio,1.8392569849818938,1.1209516884226383,1.615591507193813,0.3495777878772057,4.192593078050746
