noisy_state,conditional_mean,null_mean,linear_guidance,probability_guidance
-1.084999999999999964e+00,-9.247248121092443984e-01,-9.742624716078950309e-01,-8.628027377359313022e-01,-7.324817364913802642e-01
-1.080000000000000071e+00,-9.232624982549780812e-01,-9.737493633257943149e-01,-8.601539169164580390e-01,-7.278129893379599036e-01
-1.074999999999999956e+00,-9.217729317043571458e-01,-9.732261643446703525e-01,-8.574563909039658594e-01,-7.230757867423285301e-01
-1.069999999999999840e+00,-9.202556497620716369e-01,-9.726926818052981094e-01,-8.547093597080386296e-01,-7.182695803673116997e-01
-1.064999999999999947e+00,-9.187101836472181260e-01,-9.721487193869992049e-01,-8.519120139724918328e-01,-7.133938337874248248e-01
-1.060000000000000053e+00,-9.171360584849088671e-01,-9.715940772546176607e-01,-8.490635350227728750e-01,-7.084480231594892929e-01
-1.054999999999999938e+00,-9.155327933013460706e-01,-9.710285520050663255e-01,-8.461630949216958353e-01,-7.034316379042269141e-01
-1.049999999999999822e+00,-9.138999010225355990e-01,-9.704519366134538583e-01,-8.432098565338879137e-01,-6.983441813983997104e-01
-1.044999999999999929e+00,-9.122368884767981800e-01,-9.698640203788142511e-01,-8.402029735992779802e-01,-6.931851716769665828e-01
-1.040000000000000036e+00,-9.105432564012544416e-01,-9.692645888694488843e-01,-8.371415908160111385e-01,-6.879541421447399330e-01
-1.035000000000000142e+00,-9.088184994524608484e-01,-9.686534238679028741e-01,-8.340248439331585661e-01,-6.826506422969491616e-01
-1.030000000000000027e+00,-9.070621062213746200e-01,-9.680303033155948089e-01,-8.308518598535994393e-01,-6.772742384480938682e-01
-1.024999999999999911e+00,-9.052735592528332598e-01,-9.673950012571181922e-01,-8.276217567474768444e-01,-6.718245144684223957e-01
-1.020000000000000018e+00,-9.034523350697400979e-01,-9.667472877842366863e-01,-8.243336441766193623e-01,-6.663010725273309509e-01
-1.015000000000000124e+00,-9.015979042021444734e-01,-9.660869289795985804e-01,-8.209866232303268951e-01,-6.607035338429314564e-01
-1.010000000000000009e+00,-8.997097312214192844e-01,-9.654136868601892463e-01,-8.175797866729568319e-01,-6.550315394369968791e-01
-1.004999999999999893e+00,-8.977872747797341901e-01,-9.647273193205545549e-01,-8.141122191037086786e-01,-6.492847508944514789e-01
-1.000000000000000000e+00,-8.958299876550310792e-01,-9.640275800758169034e-01,-8.105829971290487990e-01,-6.434628511265187978e-01
-9.949999999999998845e-01,-8.938373168017109682e-01,-9.633142186045133837e-01,-8.069911895482078101e-01,-6.375655451366106785e-01
-9.899999999999999911e-01,-8.918087034072461616e-01,-9.625869800912908447e-01,-8.033358575521902800e-01,-6.315925607879921966e-01
-9.849999999999998757e-01,-8.897435829549351638e-01,-9.618456053694837138e-01,-7.996160549367494763e-01,-6.255436495722015433e-01
-9.799999999999999822e-01,-8.876413852930203907e-01,-9.610898308636138809e-01,-7.958308283297783614e-01,-6.194185873771884676e-01
-9.750000000000000888e-01,-8.855015347103918355e-01,-9.603193885318450640e-01,-7.919792174335753554e-01,-6.132171752540606091e-01
-9.699999999999999734e-01,-8.833234500191069483e-01,-9.595340058084291801e-01,-7.880602552824542695e-01,-6.069392401813161753e-01
-9.650000000000000799e-01,-8.811065446439531046e-01,-9.587334055461875781e-01,-7.840729685161600404e-01,-6.005846358253734696e-01
-9.599999999999999645e-01,-8.788502267192912498e-01,-9.579173059590633255e-01,-7.800163776695760998e-01,-5.941532432961903476e-01
-9.550000000000000711e-01,-8.765538991934098689e-01,-9.570854205647929547e-01,-7.758894974791810117e-01,-5.876449718967156066e-01
-9.499999999999999556e-01,-8.742169599406354186e-01,-9.562374581277389707e-01,-7.716913372067559784e-01,-5.810597598648805651e-01
