method,parameters,seconds,validation
ig_shallow,301840,10.75945008220151,"{""states"": 800, ""teacher_mse"": 0.021756978421287335, ""teacher_gap_mse"": 0.039846826946164544, ""error_to_gap_energy"": 0.5460153314260711, ""teacher_energy"": 1.0133428630802603}"
ig_deep,301840,13.381645611021668,"{""states"": 800, ""teacher_mse"": 0.020520798331832228, ""teacher_gap_mse"": 0.039846826946164544, ""error_to_gap_energy"": 0.5149920308474514, ""teacher_energy"": 1.0133428630802603}"
cfg_categorical,394240,49.039543421939015,"{""images"": 800, ""nll"": 3.720448694229126, ""accuracy"": 0.177587890625, ""mean_mse"": 0.37690237970876256, ""codebook_mse"": 0.23672401239273116}"
