arm,fid,inception_score,seconds,primary_samples,generated_paths,full_calls_per_output,prefix_calls_at_inference
context_base,37.234254676065405,39.45120620727539,480.0177698167972,5000,5000,128,0
native_base,40.281730730874415,37.54165267944336,482.1379652572796,5000,5000,128,0
adg,39.57750158085156,37.4043083190918,511.32406076136976,5000,5000,128,0
native_66,40.27343043030578,37.55503845214844,496.92097924789414,5000,5000,132,0
