arm,fid,inception_score
context_base,61.947099088455786,40.072662353515625
native_base,64.80903011223944,36.29304504394531
native_half,68.56310719808243,35.200111389160156
native_double,76.77463203625763,29.05483627319336
adg,63.81382903939948,35.972625732421875
strong,82.74873950746053,30.673328399658203
