arm,median_seconds,batch,repeats,seconds_relative_to_native
context_base,0.7686700401827693,8,3,0.02926652660901552
native_base,0.7468134057708085,8,3,0.0
adg,0.7833627518266439,8,3,0.048940398998477797
native_66,0.7716023311950266,8,3,0.03319293043304805
