horizon,eta,kappa,fid,sfid,inception_score,total_nfe,num_samples,sampling_seed
0.03125,0.6,0.01875,63.48382542862919,208.17224085957469,35.480281829833984,12358,1000,0
0.03125,0.7,0.021875,63.414735519236615,208.1125799638255,35.885501861572266,12311,1000,0
0.03125,0.8,0.025,63.41284375591897,208.01389771054266,35.74829864501953,12271,1000,0
0.03125,0.9,0.028125,63.36502201798504,208.0335096784779,35.93265151977539,12352,1000,0
0.03125,1.0,0.03125,63.36022985237196,208.03298744801975,36.1591911315918,12319,1000,0
0.046875,0.4,0.01875,63.5761739980627,208.18998827165478,35.741249084472656,12372,1000,0
0.046875,0.5,0.0234375,63.3955480770062,208.05653410055766,35.3066291809082,12313,1000,0
0.046875,0.55,0.02578125,63.42910632494022,207.97444347367787,35.689300537109375,12129,1000,0
0.046875,0.6,0.028125,63.27037791589095,207.8951810299675,35.56047439575195,12277,1000,0
0.046875,0.65,0.03046875,63.33670489088155,207.90757269876588,35.71062469482422,12128,1000,0
0.0625,0.3,0.01875,63.89762420834097,208.18158550777798,35.651615142822266,12227,1000,0
0.0625,0.35,0.021875,63.6396630896777,208.12919621411731,35.78028106689453,12322,1000,0
0.0625,0.375,0.0234375,63.50242492308183,208.14161462270317,35.91773986816406,12252,1000,0
0.0625,0.4,0.025,63.33543350187142,208.19006069296051,35.89278793334961,12246,1000,0
0.0625,0.425,0.0265625,63.43444238277493,207.96236082912014,35.59428405761719,12247,1000,0
0.0625,0.5,0.03125,63.526998315880576,207.77311071293275,35.50700759887695,11931,1000,0
0.125,0.15,0.01875,64.27940477260472,207.86491830144143,35.849342346191406,12323,1000,0
0.125,0.2,0.025,64.11368757744214,207.72197986191543,35.94996643066406,12141,1000,0
0.125,0.225,0.028125,63.917505775713835,207.67695695947953,35.95357131958008,12084,1000,0
0.125,0.275,0.034375,64.32223322368532,207.67201616763077,35.94211196899414,11909,1000,0
0.125,0.3,0.0375,64.58227795097139,207.4970370816868,35.66013717651367,12031,1000,0
0.1875,0.15,0.028125,64.38674026335713,207.56465095449244,35.78169631958008,12366,1000,0
0.1875,0.166667,0.0312500625,64.3979299700872,207.3213873458866,35.85637664794922,12148,1000,0
