horizon,eta,kappa,fid,sfid,inception_score,total_nfe,num_samples,sampling_seed
0.125,-2.0,-0.25,149.4159602970941,233.51602824506233,14.367828369140625,14609,1000,0
0.125,-1.0,-0.125,97.51469847718045,223.03024486438767,24.953577041625977,13319,1000,0
0.125,-0.5,-0.0625,75.3422945785967,214.96813719563454,31.313196182250977,13512,1000,0
0.125,-0.25,-0.03125,68.47829456927855,211.1274245001341,33.6051139831543,12827,1000,0
0.125,0.0,0.0,64.8530614694127,208.90754810802946,35.70331954956055,8572,1000,0
0.125,0.25,0.03125,63.96576312160562,207.76427352929932,36.28871154785156,11931,1000,0
0.125,0.5,0.0625,65.66130021359692,206.47371426659458,36.095787048339844,12008,1000,0
0.125,1.0,0.125,73.95037549947028,205.0655692903198,31.81140899658203,12214,1000,0
0.125,2.0,0.25,110.3680563037401,211.69866959726448,21.981706619262695,14910,1000,0
