horizon,alpha,fid,sfid,inception_score,fid_delta_vs_baseline
0.0,0.0,64.85067203416543,208.90670671063572,35.708778381347656,0.0
0.015625,1.0,64.11686871023932,208.5484722696865,35.942440032958984,-0.7338033239261108
0.0234375,1.0,63.95599567549425,208.3408499268122,35.92776870727539,-0.8946763586711768
0.03125,1.0,63.26626945996367,208.152173278129,35.59183120727539,-1.5844025742017607
0.0390625,1.0,63.2972133286267,207.91444095332292,35.542091369628906,-1.5534587055387306
0.046875,1.0,63.34964742694541,207.8000050695657,35.69888687133789,-1.5010246072200175
0.0546875,1.0,63.42820314016649,207.6830177162277,35.660369873046875,-1.4224688939989392
0.0625,1.0,63.755597661503714,207.61084063486487,36.083438873291016,-1.0950743726617134
0.078125,1.0,64.25268337440389,207.05119013577928,36.43791198730469,-0.5979886597615405
0.09375,1.0,65.2918405255366,206.6418738488527,36.1516227722168,0.4411684913711724
