alpha,horizon,fid,sfid,inception_score,fid_delta_vs_baseline
0.0,0.046875,64.85154079596373,208.90678093874885,35.70869064331055,0.0
0.5,0.046875,64.28894705403235,208.2032745571139,35.9517822265625,-0.56259374193138
0.75,0.046875,63.40762693100885,208.1748395576816,35.58549880981445,-1.4439138649548795
0.875,0.046875,63.46076110672533,207.90245415513266,35.73031234741211,-1.3907796892384
1.0,0.046875,63.35026541866978,207.80209325761723,35.6949348449707,-1.5012753772939504
1.125,0.046875,63.44845188354088,207.7983221483097,35.75397872924805,-1.4030889124228452
1.25,0.046875,63.772421878566774,207.6256100198085,36.04232406616211,-1.0791189173969542
1.5,0.046875,63.92000047573424,207.33740630714067,36.64690017700195,-0.9315403202294874
