condition,extrapolation_space,fid,fid_peak_memory_mib,gamma,global_seed,inception_score,label_fingerprint,mode,noise_fingerprint,num_samples,sample_sha256,sampling_peak_memory_mib,sfid,source_step,total_nfe,weights
final,hidden,86.90568466664968,6450,0.0,0,29.24993324279785,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,final,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,9d1caa72fe8ad1776c978131ea42d44ecaf839ce1da4cdb1374bb2febcd44a3c,1824,220.1693048254058,800000,6714,ema
internal_depth8,hidden,237.52477310687868,6450,0.0,0,2.560432195663452,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,internal,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,3f1ebd3dc9c3e7871fa46800164e70b13caf2b14b1b08498cb5948980abecbf4,1824,346.61416974732583,800000,6420,ema
hidden_gamma_0p005,hidden,87.17329888617508,6450,0.005,0,29.290573120117188,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,extrapolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,d3b3836cc7260bc4244d88a4a1f2bf3f29653f4bcba70cf6fb3e49da3833c0d4,1824,221.1056875793962,800000,6702,ema
hidden_gamma_0p01,hidden,87.42062088126295,6450,0.01,0,29.216144561767578,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,extrapolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,428bd628e02e0bb9e5243a5a4e2fd98db018f3ecc0c9a6a87748d2878e74b738,1824,222.0320585739463,800000,6684,ema
hidden_gamma_0p02,hidden,88.0777752956916,6450,0.02,0,28.940532684326172,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,extrapolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,d5ceb2d85220dd2934dee27ffe253a96a85793705c3c0e7e0e4f3cf84c3df2d5,1824,223.95552763615513,800000,6714,ema
hidden_gamma_0p03,hidden,88.81436244383207,6450,0.03,0,28.625354766845703,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,extrapolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,97ef10f9de732ea385fb2a930d03093be4c41a8ea8950ac5da37456fb6a7463f,1824,225.9766259345115,800000,6672,ema
hidden_gamma_0p05,hidden,90.8536936102526,6450,0.05,0,27.622318267822266,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,extrapolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,45dc4a318e7eb2c20222f5415389b8ec1d029db647cb7b3adb092c35b7c2d4a1,1824,230.07349257408748,800000,6588,ema
hidden_gamma_0p1,hidden,98.34367419502195,6450,0.1,0,23.126745223999023,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,extrapolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,b896c115d3bc42f472ce7fdb3c0c890ca58b8aa3a1704336ff55f015c76faf69,1824,241.1046052448711,800000,6288,ema
hidden_gamma_0p2,hidden,124.59160971373183,6450,0.2,0,16.19956398010254,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,extrapolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,1e533b23dd48570b1c044d05d9a2ace89b4a2f323efc48c7dcbb37316ad63f11,1824,260.332136288177,800000,5982,ema
hidden_gamma_0p4,hidden,195.58151989320945,6450,0.4,0,7.651059627532959,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,extrapolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,5d9a6fe3b8b98e4355dfe07fe8124271451e6b767a38c2523c65a48f5fd641a8,1824,263.5339814614513,800000,5730,ema
hidden_gamma_0p6,hidden,240.42914405131938,6450,0.6,0,4.31115198135376,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,extrapolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,9aa17d53d4802cf88ce1f3efaaa881df6801a1c7ea4d89f4c5a84d0c9bf587a9,1824,267.7701045261118,800000,5556,ema
