scale,solver_index_in_ig_interval,time,delta_t,paired_nmse,paired_nrmse
0.85,0,1.0,0.0012610340479192184,0.81201659651007,0.9011196349597926
0.85,1,0.9987389445304871,0.0012834952141672629,0.8076767402205907,0.8987083732894618
0.85,2,0.9974554777145386,0.0013065618804039003,0.8031776298990415,0.896201779678573
0.85,3,0.9961488842964172,0.0013302560077687042,0.7975724558478345,0.8930691215397801
0.85,4,0.9948186278343201,0.0013546005621591917,0.7894721525205843,0.8885224547081432
0.85,5,0.9934640526771545,0.001379619569903734,0.7791542005537234,0.8826971171096706
0.85,6,0.9920844435691833,0.0014053381770655626,0.7668883830265563,0.8757216355820817
0.85,7,0.9906790852546692,0.0014317827126554272,0.752813485136426,0.8676482496590574
0.85,8,0.9892473220825195,0.0014589807560437817,0.7386203940252405,0.8594302729280837
0.85,9,0.9877883195877075,0.0014869612088994622,0.7249539190906146,0.8514422582246047
0.85,10,0.9863013625144958,0.00151575437200413,0.7116099670244989,0.8435697760259663
0.85,11,0.9847856163978577,0.001545392027322512,0.6975500507986317,0.8351946185163263
0.85,12,0.9832402467727661,0.0015759075257463229,0.6829061706897642,0.8263813712141412
0.85,13,0.9816642999649048,0.0016073358809607363,0.6690833790589676,0.8179751701970956
0.85,14,0.9800570011138916,0.001639713869929782,0.6557805158443036,0.8098027635444964
0.85,15,0.9784172773361206,0.0016730801405386853,0.6424692150280745,0.8015417737261574
0.85,16,0.9767441749572754,0.0017074753269814558,0.6291004556516921,0.7931585312229152
0.85,17,0.9750367403030396,0.0017429421735359885,0.6158660385734274,0.78477132884263
0.85,18,0.9732937812805176,0.0017795256674334459,0.6029614946496801,0.7765059527458112
0.85,19,0.9715142250061035,0.0018172731815909726,0.5902366700115936,0.7682686183956713
0.85,20,0.9696969985961914,0.001856234628056952,0.5771704202632814,0.7597173291845338
0.85,21,0.9678407311439514,0.0018964626230922876,0.5645223949699567,0.7513470536110172
0.85,22,0.9659442901611328,0.0019380126649128915,0.5521666137889546,0.7430791436912724
0.85,23,0.964006245136261,0.0019809433252113706,0.5403496680864297,0.7350848033298129
0.85,24,0.9620253443717957,0.0020253164556962577,0.5294591899263119,0.7276394642446985
0.85,25,0.9599999785423279,0.002071197411003145,0.5192772307808892,0.7206089305447784
0.85,26,0.9579287767410278,0.0021186552894877364,0.5096912728442826,0.7139266578888077
0.85,27,0.9558101296424866,0.002167763193548833,0.5002429104984539,0.7072785239906935
0.85,28,0.9536423683166504,0.0022185985113204465,0.4907163589817075,0.7005114981081377
0.85,29,0.9514237642288208,0.0022712432217584233,0.48148573385999854,0.6938917306467909
0.85,30,0.9491525292396545,0.0023257842253685546,0.47264054568608865,0.6874885785859199
0.85,31,0.9468267560005188,0.002382313703068406,0.46408247341094416,0.6812359895153398
0.85,32,0.9444444179534912,0.002440929505955869,0.45577626084150513,0.6751120357699936
0.85,33,0.9420034885406494,0.002501735579057973,0.4476799383109926,0.6690888867041453
0.85,34,0.9395017623901367,0.0025648424224935518,0.4397936861548322,0.6631694249246057
0.85,35,0.9369369149208069,0.0026303675938713633,0.4320308254850998,0.6572905183289196
0.85,36,0.9343065619468689,0.002698436256189485,0.42442178548039844,0.6514766192891334
0.85,37,0.9316081404685974,0.0027691817760147064,0.4169109262250609,0.6456863992876579
0.85,38,0.9288389682769775,0.002842746377275107,0.4096556831930992,0.6400435010162193
0.85,39,0.9259961843490601,0.002919281856663347,0.4024357187377986,0.6343782142679544
0.85,40,0.9230769276618958,0.0029989503673714113,0.3953166044282708,0.6287420810064098
0.85,41,0.9200779795646667,0.003081925278721531,0.38830604525915663,0.6231420746981836
0.85,42,0.9169960618019104,0.0031683921202089183,0.38143662789166827,0.6176055601204286
0.85,43,0.913827657699585,0.0032585496195642882,0.3745249792994008,0.6119844600146321
0.85,44,0.9105691313743591,0.003352610845696047,0.3677142250009816,0.6063944467102099
0.85,45,0.907216489315033,0.003450804468791757,0.36097845270080425,0.6008148239689199
0.85,46,0.9037656784057617,0.0035533761515159634,0.3543468671787169,0.5952704151717242
0.85,47,0.900212287902832,0.003660590087122162,0.34774613775320246,0.589700040489402
0.85,48,0.8965517282485962,0.0037727307024824075,0.3411269751037123,0.5840607631948171
0.85,49,0.8927789926528931,0.0038901045465596917,0.3345441723473087,0.5783979359811968
0.85,50,0.8888888955116272,0.004013042387760124,0.3279978690782664,0.5727109821526617
0.85,51,0.8848758339881897,0.004141901547000226,0.3215037134138643,0.5670129746433182
0.85,52,0.8807339668273926,0.004277068497251957,0.31507311569248125,0.5613137408726792
0.85,53,0.8764568567276001,0.0044189617649335045,0.30864764097655534,0.5555606546332771
0.85,54,0.8720378875732422,0.0045680351738708325,0.30231393904298814,0.5498308276579152
0.85,55,0.8674699068069458,0.004724781478856466,0.2960131685216815,0.5440709223269348
0.85,56,0.8627451062202454,0.004889736443205672,0.2897634799246751,0.5382968325419304
0.85,57,0.8578553795814514,0.005063483423421222,0.28360301079799777,0.5325439050425774
0.85,58,0.8527919054031372,0.005246658534345916,0.27747356277028773,0.5267575939369908
0.85,59,0.8475452065467834,0.005439956480348229,0.2714185872699233,0.5209784902180927
0.85,60,0.8421052694320679,0.005644137152532758,0.26543895692915603,0.5152076832978678
0.85,61,0.8364611268043518,0.005860033109187146,0.25954665108654545,0.509457212223505
0.85,62,0.8306010961532593,0.006088558077233297,0.2537400253778492,0.5037261412492399
0.85,63,0.8245125412940979,0.006330716637123368,0.24797868836139805,0.49797458605976874
0.85,64,0.8181818127632141,0.006587615283267345,0.24230014809565356,0.49223992939993555
0.85,65,0.8115941882133484,0.006860475087899887,0.23668471901808588,0.4865025375248169
0.85,66,0.8047337532043457,0.007150646239653891,0.2311452873380946,0.4807757141725179
0.85,67,0.7975831031799316,0.007459624780873586,0.22564297738143976,0.4750189231824768
