step_index,time,next_time,applied_correction_rms
0,1.0,0.9987389445304871,7.501439345560357e-06
1,0.9987389445304871,0.9974554777145386,7.3729017312871295e-06
2,0.9974554777145386,0.996148943901062,7.244518013067136e-06
3,0.996148943901062,0.9948186874389648,7.116287738881511e-06
4,0.9948186874389648,0.9934640526771545,6.988215575802314e-06
5,0.9934640526771545,0.9920844435691833,6.978581987823418e-06
6,0.9920844435691833,0.9906790852546692,6.968788647554902e-06
7,0.9906790852546692,0.9892473220825195,6.958827433663827e-06
8,0.9892473220825195,0.9877883195877075,7.066461724207329e-06
9,0.9877883195877075,0.9863013625144958,6.93837486596749e-06
10,0.9863013625144958,0.9847856163978577,6.9278732858037984e-06
11,0.9847856163978577,0.9832402467727661,6.917185464772046e-06
12,0.9832402467727661,0.9816642999649048,6.789235629639734e-06
13,0.9816642999649048,0.9800570011138916,6.778343311452772e-06
14,0.9800570011138916,0.9784172773361206,6.650572639500751e-06
15,0.9784172773361206,0.9767442345619202,6.522982782826148e-06
16,0.9767442345619202,0.9750366806983948,6.395583657649695e-06
17,0.9750366806983948,0.9732937812805176,6.2683785768058445e-06
18,0.9732937812805176,0.9715142250061035,6.141367030068068e-06
19,0.9715142250061035,0.9696969985961914,6.014572940785001e-06
20,0.9696969985961914,0.9678407311439514,5.772532808350661e-06
21,0.9678407311439514,0.9659442901611328,5.6463774003532306e-06
22,0.9659442901611328,0.964006245136261,5.520458051250898e-06
23,0.964006245136261,0.9620253443717957,5.279991190491273e-06
24,0.9620253443717957,0.9599999785423279,5.154782971658278e-06
25,0.9599999785423279,0.9579287767410278,4.915508113754185e-06
26,0.9579287767410278,0.9558101296424866,4.56291003501974e-06
27,0.9558101296424866,0.9536424279212952,4.325406780026242e-06
28,0.9536424279212952,0.9514237642288208,3.861541366404709e-06
29,0.9514237642288208,0.9491525292396545,3.626173757311335e-06
30,0.9491525292396545,0.9468267560005188,3.2786055232918444e-06
31,0.9468267560005188,0.9444444179534912,3.0452637618054725e-06
32,0.9444444179534912,0.9420035481452942,2.700315357742511e-06
33,0.9420035481452942,0.9395017623901367,2.2446415057402193e-06
34,0.9395017623901367,0.9369369745254517,1.9030438925256022e-06
35,0.9369369745254517,0.9343065619468689,1.4513921586285505e-06
36,0.9343065619468689,0.9316081404685974,1.113373064413281e-06
37,0.9316081404685974,0.9288389086723328,6.659161699644756e-07
38,0.9288389086723328,0.9259962439537048,2.2022602850313434e-07
39,0.9259962439537048,0.9230769276618958,0.0
40,0.9230769276618958,0.9200779795646667,0.0
41,0.9200779795646667,0.9169960021972656,0.0
42,0.9169960021972656,0.913827657699585,0.0
43,0.913827657699585,0.9105690717697144,0.0
44,0.9105690717697144,0.9072164297103882,0.0
45,0.9072164297103882,0.9037656784057617,0.0
46,0.9037656784057617,0.9002123475074768,0.0
47,0.9002123475074768,0.8965517282485962,0.0
48,0.8965517282485962,0.8927790522575378,0.0
49,0.8927790522575378,0.8888888955116272,0.0
50,0.8888888955116272,0.8848758339881897,0.0
51,0.8848758339881897,0.8807339668273926,0.0
52,0.8807339668273926,0.8764568567276001,0.0
53,0.8764568567276001,0.8720378875732422,0.0
54,0.8720378875732422,0.8674699068069458,0.0
55,0.8674699068069458,0.8627451062202454,0.0
56,0.8627451062202454,0.8578553795814514,0.0
57,0.8578553795814514,0.8527919054031372,0.0
58,0.8527919054031372,0.8475452661514282,0.0
59,0.8475452661514282,0.8421052694320679,0.0
60,0.8421052694320679,0.836461067199707,0.0
61,0.836461067199707,0.8306010961532593,0.0
62,0.8306010961532593,0.8245124816894531,0.0
63,0.8245124816894531,0.8181818127632141,0.0
64,0.8181818127632141,0.8115941882133484,0.0
65,0.8115941882133484,0.8047336935997009,0.0
66,0.8047336935997009,0.7975830435752869,0.0
67,0.7975830435752869,0.790123462677002,0.0
68,0.790123462677002,0.7823343873023987,0.0
69,0.7823343873023987,0.774193525314331,0.0
70,0.774193525314331,0.7656765580177307,0.0
71,0.7656765580177307,0.7567567229270935,0.0
72,0.7567567229270935,0.7474048137664795,0.0
73,0.7474048137664795,0.73758864402771,0.0
74,0.73758864402771,0.7272727489471436,0.0
75,0.7272727489471436,0.7164179682731628,0.0
76,0.7164179682731628,0.7049808502197266,0.0
77,0.7049808502197266,0.6929134130477905,0.0
78,0.6929134130477905,0.6801619529724121,0.0
79,0.6801619529724121,0.6666666865348816,0.0
80,0.6666666865348816,0.6523604989051819,0.0
81,0.6523604989051819,0.6371681094169617,0.0
82,0.6371681094169617,0.621004581451416,0.0
83,0.621004581451416,0.6037735939025879,0.0
84,0.6037735939025879,0.5853658318519592,0.0
85,0.5853658318519592,0.5656565427780151,0.0
86,0.5656565427780151,0.5445026159286499,0.0
87,0.5445026159286499,0.52173912525177,0.0
88,0.52173912525177,0.4971751570701599,0.0
89,0.4971751570701599,0.47058823704719543,0.0
90,0.47058823704719543,0.4417177736759186,0.0
91,0.4417177736759186,0.41025641560554504,0.0
92,0.41025641560554504,0.3758389353752136,0.0
93,0.3758389353752136,0.3380281627178192,0.0
94,0.3380281627178192,0.29629629850387573,0.0
95,0.29629629850387573,0.25,0.0
96,0.25,0.1983470916748047,0.0
97,0.1983470916748047,0.14035087823867798,0.0
98,0.14035087823867798,0.07476635277271271,0.0
99,0.07476635277271271,0.0,0.0
