step,branch,t_min,t_max,count,clean_mse,clean_derived_velocity_mse,frozen_velocity_mse
50000,raw,0.0,0.2,400,0.5240656571835279,0.6454937557131052,0.621261155679822
50000,raw,0.2,0.4,392,0.3582368495360929,0.713623405035053,0.6972978158416797
50000,raw,0.4,0.6,484,0.22209330588148152,0.8825062253504745,0.8098677607053075
50000,raw,0.6,0.8,388,0.10954865540579423,1.325076811706897,0.8815321352371236
50000,raw,0.8,1.0,384,0.044732158489447706,6.377790374681354,0.9988037599250674
50000,ema,0.0,0.2,400,0.5234492780268192,0.6447701654583216,0.621261155679822
50000,ema,0.2,0.4,392,0.35838115827313494,0.7139408298749097,0.6972978158416797
50000,ema,0.4,0.6,484,0.22246598652448535,0.8840794761565106,0.8098677607053075
50000,ema,0.6,0.8,388,0.10986785444709443,1.3290720119611503,0.8815321352371236
50000,ema,0.8,1.0,384,0.04462870055431267,6.346689713187516,0.9988037599250674
