condition,mode,gamma,num_samples,fid,sfid,inception_score,total_nfe,sampling_peak_memory_mib,fid_peak_memory_mib,noise_fingerprint,label_fingerprint,sample_sha256
velocity,velocity,0.0,1000,86.90426239731335,220.1703808203555,29.24540901184082,6714,6367,8239,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,9d1caa72fe8ad1776c978131ea42d44ecaf839ce1da4cdb1374bb2febcd44a3c
clean,clean,0.0,1000,148.14049193297996,210.36147866961335,16.007963180541992,19848,6367,8239,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,f214d8304319c7dcd63ac7df8510612cc55df28da23c35e99b4a40ccb0d8c6eb
extrap_gamma_0p01,extrapolation,0.01,1000,87.23679836940778,220.6555702868277,29.070960998535156,6624,6367,8239,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,0d371690e113832e4f3d31e092cae8ae309b85645c23384b16883e0428b79f65
extrap_gamma_0p03,extrapolation,0.03,1000,88.19265419895663,221.64146395172406,28.85122299194336,6552,6367,8239,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,3edc5055c80e4d22cdc027c4641d03fe7f1acf347d293bded68af42808d33233
extrap_gamma_0p05,extrapolation,0.05,1000,89.35005702040382,222.73971536067347,28.14360237121582,6732,6367,8239,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,6b03885668fed496d5720e2bd9190dc0d3dafaafebd2e996a509f68c72fdc0b8
extrap_gamma_0p1,extrapolation,0.1,1000,93.01695744087732,225.72633004112072,26.172138214111328,8028,6367,8239,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,0947d36de09387da11342a53c13f5ad16870a5fc3331f3c4888563525042700c
extrap_gamma_0p2,extrapolation,0.2,1000,104.85271526002418,231.9128625750634,20.550260543823242,9390,6367,8239,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,ca698b5e63ef159858ea43b6c336717d599ef3dd106ecfadba3f06d0f43ef162
extrap_gamma_0p3,extrapolation,0.3,1000,120.68835154887819,236.36657617740218,15.883313179016113,9114,6367,8239,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,dbd3d8a21f1d3140f4c1cf199405317f7cc4966f566b25e40d8ae49345e07f07
extrap_gamma_0p5,extrapolation,0.5,1000,157.60617308756156,237.65294688134566,9.642845153808594,9246,6367,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,f39fb676cab90e15dc890026e2386cc84f740c3cb0382e400b308ca71187e9a3
extrap_gamma_0p75,extrapolation,0.75,1000,206.58438383476104,262.07331382086,5.221008777618408,10122,6367,6450,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,6b5537992732babd95d7827635e597c155123604d243c56de19001b38702124b
