condition,mode,grouping,seed,samples,fid,delta_fid,relative_improvement_percent,inception_score,elapsed_seconds,time_mean_active_radius_ratio,time_mean_active_radial_energy_fraction,archive_sha256,paired
ordinary,ordinary,token,202609052,1000,38.773440920138796,0.0,0.0,59.92921867370605,640.2242178930901,1.0621821094149382,0.06945962631636177,1fbcfc58ac403cd6eda7b6bd5b037852919e3893583c1afcae2cc6bb62d9bf7e,True
radial,radial,token,202609052,1000,38.858200089658794,0.08475916951999807,-0.21860110299360724,57.462459564208984,647.5622320021503,1.0399276457930007,0.05486535106192604,227b9a33e6d3f36856f56cb3fa8d6e122e0f3d017da909a6a026103e6e402bb9,True
