weak,t,id,split,fit_type,delta,tau,squared_residual,squared_gap
depth4,0.15,1517,test,finite_signed,0.001,0.03211111111111112,1.672404949500355e-05,1.674576638466745e-05
depth4,0.15,1686,test,finite_signed,0.001,0.03211111111111112,9.60674706973683e-06,9.55937914311851e-06
depth4,0.15,4998,test,finite_signed,0.001,0.03211111111111112,1.3353210678645125e-05,1.3487786395283678e-05
depth4,0.15,151,test,finite_signed,0.001,0.03211111111111112,8.052311472411866e-06,7.879338698634633e-06
depth4,0.15,3630,test,finite_signed,0.001,0.03211111111111112,1.527616667049735e-05,1.5221850618042944e-05
depth4,0.15,1841,test,finite_signed,0.001,0.03211111111111112,2.4956999368021344e-05,2.5127343563170343e-05
depth4,0.15,3028,test,finite_signed,0.001,0.03211111111111112,5.1803647939991013e-05,5.22328685785162e-05
depth4,0.15,2347,test,finite_signed,0.001,0.03211111111111112,1.0816946102855333e-05,1.0793919207157839e-05
depth4,0.15,4021,test,finite_signed,0.001,0.03211111111111112,1.5081092451477048e-05,1.4926762339910402e-05
depth6,0.15,713,fit,finite_nonnegative,0.001,0.03211111111111112,9.963906880064926e-06,9.837187884100102e-06
depth6,0.15,3623,fit,finite_nonnegative,0.001,0.03211111111111112,1.028207065214189e-05,1.0506334384264395e-05
depth6,0.15,3296,fit,finite_nonnegative,0.001,0.03211111111111112,2.482855819575081e-05,2.5112766159472856e-05
depth6,0.15,4345,fit,finite_nonnegative,0.001,0.03211111111111112,1.206843345753306e-05,1.2320176392052988e-05
depth6,0.15,2364,fit,finite_nonnegative,0.001,0.03211111111111112,1.6760828939143576e-05,1.7149371365192637e-05
depth6,0.15,3510,fit,finite_nonnegative,0.001,0.03211111111111112,4.37881449245913e-05,4.355388618787266e-05
depth6,0.15,4640,fit,finite_nonnegative,0.001,0.03211111111111112,1.728528248095144e-05,1.6956444214918526e-05
depth6,0.15,1298,fit,finite_nonnegative,0.001,0.03211111111111112,1.2460324844586746e-05,1.2610373741275412e-05
