q,eps_strong,eps_weak,gamma_exact,correction_score_at_y1,score_identity_error
1e-06,1e-06,2e-06,1.000001999998,-9.999970001273646e-07,2.220446049250313e-16
1.122018454301963e-06,1.122018454301963e-06,2.244036908603926e-06,1.0000022440343908,-1.1220146773495567e-06,2.220446049250313e-16
1.2589254117941661e-06,1.2589254117941661e-06,2.5178508235883322e-06,1.000002517847654,-1.2589206572413034e-06,3.3306690738754696e-16
1.4125375446227554e-06,1.4125375446227554e-06,2.825075089245511e-06,1.0000028250710986,-1.41253155873609e-06,2.220446049250313e-16
1.584893192461114e-06,1.584893192461114e-06,3.169786384922228e-06,1.0000031697813612,-1.584885656790479e-06,0.0
1.7782794100389227e-06,1.7782794100389227e-06,3.5565588200778454e-06,1.0000035565524956,-1.7782699234161386e-06,3.3306690738754696e-16
1.9952623149688787e-06,1.9952623149688787e-06,3.990524629937757e-06,1.0000039905166678,-1.9952503717839013e-06,1.1102230246251565e-16
2.2387211385683376e-06,2.2387211385683376e-06,4.477442277136675e-06,1.0000044774322534,-2.238706103125133e-06,2.220446049250313e-16
2.5118864315095823e-06,2.5118864315095823e-06,5.0237728630191645e-06,1.0000050237602438,-2.511867502936463e-06,0.0
2.818382931264455e-06,2.818382931264455e-06,5.63676586252891e-06,1.0000056367499761,-2.8183591015455927e-06,1.1102230246251565e-16
3.162277660168379e-06,3.162277660168379e-06,6.324555320336758e-06,1.0000063245353203,-3.162247660456158e-06,1.1102230246251565e-16
3.548133892335753e-06,3.548133892335753e-06,7.096267784671506e-06,1.0000070962426062,-3.5480961250181246e-06,1.1102230246251565e-16
3.981071705534969e-06,3.981071705534969e-06,7.962143411069938e-06,1.0000079621117133,-3.981024159011686e-06,3.3306690738754696e-16
4.466835921509635e-06,4.466835921509635e-06,8.93367184301927e-06,1.000008933631938,-4.4667760641238995e-06,1.1102230246251565e-16
5.011872336272725e-06,5.011872336272725e-06,1.002374467254545e-05,1.0000100236944351,-5.0117969804946855e-06,0.0
5.623413251903491e-06,5.623413251903491e-06,1.1246826503806982e-05,1.0000112467632587,-5.623318384837467e-06,0.0
6.30957344480193e-06,6.30957344480193e-06,1.261914688960386e-05,1.0000126190672687,-6.309454014471764e-06,0.0
7.079457843841373e-06,7.079457843841373e-06,1.4158915687682747e-05,1.000014158815451,-7.0793074900328335e-06,2.220446049250313e-16
7.943282347242822e-06,7.943282347242822e-06,1.5886564694485643e-05,1.000015886438504,-7.943093063459955e-06,0.0
8.91250938133746e-06,8.91250938133746e-06,1.782501876267492e-05,1.0000178248598983,-8.91227108768214e-06,2.220446049250313e-16
9.999999999999999e-06,9.999999999999999e-06,1.9999999999999998e-05,1.000019999800002,-9.99970000689843e-06,1.1102230246251565e-16
1.122018454301963e-05,1.122018454301963e-05,2.244036908603926e-05,1.0000224401173037,-1.1219806875321895e-05,1.1102230246251565e-16
1.2589254117941661e-05,1.2589254117941661e-05,2.5178508235883322e-05,1.0000251781912612,-1.2588778664069604e-05,2.220446049250313e-16
1.4125375446227555e-05,1.4125375446227555e-05,2.825075089245511e-05,1.0000282503518456,-1.4124776887273912e-05,0.0
1.584893192461114e-05,1.584893192461114e-05,3.169786384922228e-05,1.00003169736148,-1.5848178386629058e-05,1.1102230246251565e-16
1.778279410038923e-05,1.778279410038923e-05,3.556558820077846e-05,1.0000355649557566,-1.778184545644683e-05,0.0
1.9952623149688786e-05,1.9952623149688786e-05,3.990524629937757e-05,1.000039904450101,-1.9951428883749952e-05,0.0
2.238721138568338e-05,2.238721138568338e-05,4.477442277136676e-05,1.0000447734204194,-2.23857079026855e-05,3.3306690738754696e-16
2.5118864315095822e-05,2.5118864315095822e-05,5.0237728630191644e-05,1.0000502364667472,-2.5116971554070154e-05,1.1102230246251565e-16
2.818382931264455e-05,2.818382931264455e-05,5.63676586252891e-05,1.0000563660700137,-2.8181446484853883e-05,3.3306690738754696e-16
3.1622776601683795e-05,3.1622776601683795e-05,6.324555320336759e-05,1.0000632435532668,-3.161977682308504e-05,1.1102230246251565e-16
3.5481338923357534e-05,3.5481338923357534e-05,7.096267784671507e-05,1.0000709601600855,-3.547756245988841e-05,1.1102230246251565e-16
3.9810717055349695e-05,3.9810717055349695e-05,7.962143411069939e-05,1.0000796182644507,-3.9805962817485715e-05,1.1102230246251565e-16
4.466835921509635e-05,4.466835921509635e-05,8.93367184301927e-05,1.0000893327280838,-4.4662374052101915e-05,1.1102230246251565e-16
5.011872336272725e-05,5.011872336272725e-05,0.0001002374467254545,1.0001002324232042,-5.011118858441834e-05,2.220446049250313e-16
5.623413251903491e-05,5.623413251903491e-05,0.00011246826503806981,1.0001124619408381,-5.622464693074593e-05,2.220446049250313e-16
6.309573444801929e-05,6.309573444801929e-05,0.00012619146889603859,1.000126183507255,-6.308379299105445e-05,0.0
7.079457843841373e-05,7.079457843841373e-05,0.00014158915687682746,1.0001415791338417,-7.0779545304695e-05,0.0
7.943282347242822e-05,7.943282347242822e-05,0.00015886564694485644,1.0001588530288001,-7.941389825992398e-05,2.220446049250313e-16
8.912509381337459e-05,8.912509381337459e-05,0.00017825018762674918,1.0001782343024779,-8.910126892122992e-05,3.3306690738754696e-16
0.0001,0.0001,0.0002,1.0001999800019998,-9.997000699854249e-05,1.1102230246251565e-16
0.00011220184543019641,0.00011220184543019641,0.00022440369086039282,1.0002243785151768,-0.00011216408755308829,2.220446049250313e-16
0.00012589254117941674,0.00012589254117941674,0.0002517850823588335,1.0002517533884852,-0.00012584500834689333,3.3306690738754696e-16
0.0001412537544622754,0.0001412537544622754,0.0002825075089245508,1.0002824676093143,-0.00014119391631551724,0.0
0.00015848931924611142,0.00015848931924611142,0.00031697863849222284,1.0003169284087243,-0.0001584139905112192,0.0
0.00017782794100389227,0.00017782794100389227,0.00035565588200778454,1.0003555926476992,-0.0001777331120229938,0.0
0.0001995262314968881,0.0001995262314968881,0.0003990524629937762,1.000398972857443,-0.00019940685492486854,1.1102230246251565e-16
0.000223872113856834,0.000223872113856834,0.000447744227713668,1.0004476440127024,-0.00022372183619051925,2.220446049250313e-16
0.0002511886431509582,0.0002511886431509582,0.0005023772863019165,1.000502251126523,-0.0002509994668306078,2.220446049250313e-16
0.0002818382931264455,0.0002818382931264455,0.000563676586252891,1.0005635177653678,-0.0002816001512719413,1.1102230246251565e-16
0.00031622776601683794,0.00031622776601683794,0.0006324555320336759,1.0006322555952591,-0.0003159279872261974,2.220446049250313e-16
0.0003548133892335757,0.0003548133892335757,0.0007096267784671514,1.0007093750826899,-0.0003544360240510584,1.1102230246251565e-16
0.00039810717055349735,0.00039810717055349735,0.0007962143411069947,1.00079589748861,-0.00039763214388960464,2.220446049250313e-16
0.0004466835921509635,0.0004466835921509635,0.000893367184301927,1.0008929683100094,-0.0004460856367354161,2.220446049250313e-16
0.0005011872336272725,0.0005011872336272725,0.001002374467254545,1.0010018723416272,-0.0005004345480000781,1.1102230246251565e-16
0.0005623413251903491,0.0005623413251903491,0.0011246826503806982,1.0011240505503047,-0.0005613938851897665,1.1102230246251565e-16
0.0006309573444801936,0.0006309573444801936,0.0012619146889603873,1.0012611189766796,-0.0006297647789145624,3.3306690738754696e-16
0.000707945784384138,0.000707945784384138,0.001415891568768276,1.0014148899034259,-0.0007064447026147575,1.1102230246251565e-16
0.0007943282347242822,0.0007943282347242822,0.0015886564694485644,1.0015873955563384,-0.0007924388650396367,0.0
0.0008912509381337459,0.0008912509381337459,0.0017825018762674919,1.0017809146344288,-0.0008888728996028959,2.220446049250313e-16
0.001,0.001,0.002,1.0019980019980022,-0.000997006985030968,0.0
0.0011220184543019641,0.0011220184543019641,0.0022440369086039282,1.0022415218796892,-0.00111825154211092,1.1102230246251565e-16
0.0012589254117941675,0.0012589254117941675,0.002517850823588335,1.0025146850227107,-0.0012541846614726147,3.3306690738754696e-16
0.0014125375446227555,0.0014125375446227555,0.002825075089245511,1.0028210901934307,-0.001406571426816118,0.0
0.001584893192461114,0.001584893192461114,0.003169786384922228,1.0031647705616036,-0.001577385306333933,0.0
0.0017782794100389228,0.0017782794100389228,0.0035565588200778455,1.0035502454916196,-0.0017688317915004516,0.0
0.0019952623149688807,0.0019952623149688807,0.003990524629937761,1.0039825783414564,-0.001983374466070967,1.1102230246251565e-16
0.00223872113856834,0.00223872113856834,0.00447744227713668,1.0044674409227077,-0.002223763687803682,2.220446049250313e-16
