weak,t,id,split,fit_type,delta,tau,squared_residual,squared_gap
depth4,0.15,713,fit,finite_nonnegative,0.0,0.0,9.103848122471275e-06,9.103848122471275e-06
depth4,0.15,3623,fit,finite_nonnegative,0.0,0.0,8.627523903532674e-06,8.627523903532674e-06
depth4,0.15,3296,fit,finite_nonnegative,0.0,0.0,3.5363973633877636e-05,3.5363973633877636e-05
depth4,0.15,4345,fit,finite_nonnegative,0.0,0.0,1.1849654485712192e-05,1.1849654485712192e-05
depth4,0.15,2364,fit,finite_nonnegative,0.0,0.0,2.207739903236446e-05,2.207739903236446e-05
depth4,0.15,3510,fit,finite_nonnegative,0.0,0.0,4.8587619234339296e-05,4.8587619234339296e-05
depth4,0.15,4640,fit,finite_nonnegative,0.0,0.0,1.602815189763442e-05,1.602815189763442e-05
depth4,0.15,1298,fit,finite_nonnegative,0.0,0.0,1.222811850182629e-05,1.222811850182629e-05
depth4,0.15,708,fit,finite_nonnegative,0.0,0.0,9.345226534790834e-06,9.345226534790834e-06
depth4,0.15,1505,fit,finite_nonnegative,0.0,0.0,7.505231938716765e-05,7.505231938716765e-05
depth4,0.15,2304,fit,finite_nonnegative,0.0,0.0,1.2607476781127962e-05,1.2607476781127962e-05
depth4,0.15,307,fit,finite_nonnegative,0.0,0.0,1.2101642437827666e-05,1.2101642437827666e-05
depth4,0.15,4093,fit,finite_nonnegative,0.0,0.0,1.005856610375218e-05,1.005856610375218e-05
depth4,0.15,769,fit,finite_nonnegative,0.0,0.0,2.3027994035207183e-05,2.3027994035207183e-05
depth4,0.15,3769,fit,finite_nonnegative,0.0,0.0,1.4797025971154463e-05,1.4797025971154463e-05
depth4,0.15,1780,fit,finite_nonnegative,0.0,0.0,2.7819166101106216e-05,2.7819166101106216e-05
depth4,0.15,2797,test,finite_nonnegative,0.0,0.0,2.1303135352610483e-05,2.1303135352610483e-05
depth4,0.15,2744,test,finite_nonnegative,0.0,0.0,1.7879417234784892e-05,1.7879417234784892e-05
depth4,0.15,2114,test,finite_nonnegative,0.0,0.0,9.433437340106173e-06,9.433437340106173e-06
depth4,0.15,843,test,finite_nonnegative,0.0,0.0,1.7493141720583782e-05,1.7493141720583782e-05
depth4,0.15,3732,test,finite_nonnegative,0.0,0.0,2.2022737157250928e-05,2.2022737157250928e-05
depth4,0.15,3823,test,finite_nonnegative,0.0,0.0,2.282204282528569e-05,2.282204282528569e-05
depth4,0.15,2922,test,finite_nonnegative,0.0,0.0,1.0962878626122006e-05,1.0962878626122006e-05
depth4,0.15,1517,test,finite_nonnegative,0.0,0.0,1.674576638466745e-05,1.674576638466745e-05
depth4,0.15,1686,test,finite_nonnegative,0.0,0.0,9.55937914311851e-06,9.55937914311851e-06
depth4,0.15,4998,test,finite_nonnegative,0.0,0.0,1.3487786395283678e-05,1.3487786395283678e-05
depth4,0.15,151,test,finite_nonnegative,0.0,0.0,7.879338698634633e-06,7.879338698634633e-06
depth4,0.15,3630,test,finite_nonnegative,0.0,0.0,1.5221850618042944e-05,1.5221850618042944e-05
depth4,0.15,1841,test,finite_nonnegative,0.0,0.0,2.5127343563170343e-05,2.5127343563170343e-05
depth4,0.15,3028,test,finite_nonnegative,0.0,0.0,5.22328685785162e-05,5.22328685785162e-05
depth4,0.15,2347,test,finite_nonnegative,0.0,0.0,1.0793919207157839e-05,1.0793919207157839e-05
depth4,0.15,4021,test,finite_nonnegative,0.0,0.0,1.4926762339910402e-05,1.4926762339910402e-05
depth4,0.15,713,fit,finite_signed,0.0,0.0,9.103848122471275e-06,9.103848122471275e-06
depth4,0.15,3623,fit,finite_signed,0.0,0.0,8.627523903532674e-06,8.627523903532674e-06
depth4,0.15,3296,fit,finite_signed,0.0,0.0,3.5363973633877636e-05,3.5363973633877636e-05
depth4,0.15,4345,fit,finite_signed,0.0,0.0,1.1849654485712192e-05,1.1849654485712192e-05
depth4,0.15,2364,fit,finite_signed,0.0,0.0,2.207739903236446e-05,2.207739903236446e-05
depth4,0.15,3510,fit,finite_signed,0.0,0.0,4.8587619234339296e-05,4.8587619234339296e-05
depth4,0.15,4640,fit,finite_signed,0.0,0.0,1.602815189763442e-05,1.602815189763442e-05
depth4,0.15,1298,fit,finite_signed,0.0,0.0,1.222811850182629e-05,1.222811850182629e-05
depth4,0.15,708,fit,finite_signed,0.0,0.0,9.345226534790834e-06,9.345226534790834e-06
depth4,0.15,1505,fit,finite_signed,0.0,0.0,7.505231938716765e-05,7.505231938716765e-05
depth4,0.15,2304,fit,finite_signed,0.0,0.0,1.2607476781127962e-05,1.2607476781127962e-05
depth4,0.15,307,fit,finite_signed,0.0,0.0,1.2101642437827666e-05,1.2101642437827666e-05
depth4,0.15,4093,fit,finite_signed,0.0,0.0,1.005856610375218e-05,1.005856610375218e-05
depth4,0.15,769,fit,finite_signed,0.0,0.0,2.3027994035207183e-05,2.3027994035207183e-05
depth4,0.15,3769,fit,finite_signed,0.0,0.0,1.4797025971154463e-05,1.4797025971154463e-05
depth4,0.15,1780,fit,finite_signed,0.0,0.0,2.7819166101106216e-05,2.7819166101106216e-05
depth4,0.15,2797,test,finite_signed,0.0,0.0,2.1303135352610483e-05,2.1303135352610483e-05
depth4,0.15,2744,test,finite_signed,0.0,0.0,1.7879417234784892e-05,1.7879417234784892e-05
depth4,0.15,2114,test,finite_signed,0.0,0.0,9.433437340106173e-06,9.433437340106173e-06
depth4,0.15,843,test,finite_signed,0.0,0.0,1.7493141720583782e-05,1.7493141720583782e-05
depth4,0.15,3732,test,finite_signed,0.0,0.0,2.2022737157250928e-05,2.2022737157250928e-05
depth4,0.15,3823,test,finite_signed,0.0,0.0,2.282204282528569e-05,2.282204282528569e-05
depth4,0.15,2922,test,finite_signed,0.0,0.0,1.0962878626122006e-05,1.0962878626122006e-05
depth4,0.15,1517,test,finite_signed,0.0,0.0,1.674576638466745e-05,1.674576638466745e-05
depth4,0.15,1686,test,finite_signed,0.0,0.0,9.55937914311851e-06,9.55937914311851e-06
depth4,0.15,4998,test,finite_signed,0.0,0.0,1.3487786395283678e-05,1.3487786395283678e-05
depth4,0.15,151,test,finite_signed,0.0,0.0,7.879338698634633e-06,7.879338698634633e-06
depth4,0.15,3630,test,finite_signed,0.0,0.0,1.5221850618042944e-05,1.5221850618042944e-05
depth4,0.15,1841,test,finite_signed,0.0,0.0,2.5127343563170343e-05,2.5127343563170343e-05
depth4,0.15,3028,test,finite_signed,0.0,0.0,5.22328685785162e-05,5.22328685785162e-05
depth4,0.15,2347,test,finite_signed,0.0,0.0,1.0793919207157839e-05,1.0793919207157839e-05
depth4,0.15,4021,test,finite_signed,0.0,0.0,1.4926762339910402e-05,1.4926762339910402e-05
