weak,t,q,test_cosine,derivative_relative_rms_disagreement,fit_tau,test_tau_oracle
depth4,0.15,32.111111111111114,0.0289303462772013,8.806004287082357e-05,0.03874895626708902,0.02291089904860858
depth6,0.15,32.111111111111114,0.007748082567380255,8.806004287082357e-05,0.0512169415775946,0.00615838923440068
depth8,0.15,32.111111111111114,0.045187010222893634,8.806004287082357e-05,0.06409725961100031,0.03225334170637529
depth10,0.15,32.111111111111114,0.10200156836700197,8.806004287082357e-05,0.058935101251267295,0.04990357693833351
external_v500,0.15,32.111111111111114,0.020834918203682117,8.806004287082357e-05,0.003660895768455913,0.0040465981190937386
depth4,0.3,5.4444444444444455,0.15245839393486843,0.0002025364623142189,0.05187980140431262,0.07175491912728929
depth6,0.3,5.4444444444444455,0.14426590170273831,0.0002025364623142189,0.06470503808819676,0.06390526712931267
depth8,0.3,5.4444444444444455,0.15547317762781288,0.0002025364623142189,0.07411709243397656,0.06110026828023743
depth10,0.3,5.4444444444444455,0.19920890738116678,0.0002025364623142189,0.061991745069399515,0.05068720666359725
external_v500,0.3,5.4444444444444455,0.017896824025172245,0.0002025364623142189,0.002209954437116991,0.002002704187565069
depth4,0.5,1.0,0.24980446055061833,0.00289014077156038,0.053929008367282004,0.0784198961388351
depth6,0.5,1.0,0.2429763098724403,0.00289014077156038,0.050680757165825464,0.07082924841660145
depth8,0.5,1.0,0.19762625476355267,0.00289014077156038,0.032807634421362634,0.050689507247917716
depth10,0.5,1.0,0.09631328058233514,0.00289014077156038,0.01140025166821412,0.01494182134459348
external_v500,0.5,1.0,0.04488057103695683,0.00289014077156038,0.0023186686250994378,0.002799288838092417
depth4,0.7,0.18367346938775517,0.5410800505623754,0.04702776230366865,0.07817974640147682,0.08011059685864125
depth6,0.7,0.18367346938775517,0.528273770061132,0.04702776230366865,0.07266085245546616,0.07452885687170382
depth8,0.7,0.18367346938775517,0.48592221302670696,0.04702776230366865,0.0586499958686085,0.0596016117793314
depth10,0.7,0.18367346938775517,0.3153993718658399,0.04702776230366865,0.023620674365728365,0.023550549722188726
external_v500,0.7,0.18367346938775517,0.07823062142517706,0.04702776230366865,0.001622938875054773,0.001981369460207447
depth4,0.9,0.012345679012345671,0.6412657501978211,0.03154460107965586,0.01724911107808757,0.017625952793810188
depth6,0.9,0.012345679012345671,0.6075267431825672,0.03154460107965586,0.016229748309971183,0.016479124410076307
depth8,0.9,0.012345679012345671,0.5766966166943883,0.03154460107965586,0.014183889905326172,0.014294477379328386
depth10,0.9,0.012345679012345671,0.4632169292993019,0.03154460107965586,0.007809530468787291,0.007940535811257973
external_v500,0.9,0.012345679012345671,0.09526141634369771,0.03154460107965586,0.00046822461150533237,0.0005223207794690763
