x,target,strong,weak,guided_power,density_ratio,guidance,moment_matched_weak,moment_matched_guided_power
-4.0,1.2953572682151423e-43,1.5504989911655792e-16,0.003453756224392058,3.7742694098757654e-30,4.489312187742787e-14,21.21865092897159,0.0003079980251782896,4.475749904000636e-29
-3.998,1.4774559080917312e-43,1.626339178079417e-16,0.0034722195407607265,4.130443380173154e-30,4.6838604500310497e-14,21.204499019600224,0.0003101943122751354,4.8894407184006936e-29
-3.996,1.6850057833182868e-43,1.7058346400504457e-16,0.003490769190683387,4.519957238252022e-30,4.8867013167275455e-14,21.19034709184469,0.00031240515057765394,5.341047497167714e-29
-3.994,1.921543261397072e-43,1.7891588598577457e-16,0.0035094055037045947,4.945905973375837e-30,5.098182179201219e-14,21.176195145639767,0.0003146306280270962,5.834015471925634e-29
-3.992,2.191093150962244e-43,1.8764934224885168e-16,0.003528128810207729,5.411669455789137e-30,5.3186647184177756e-14,21.162043180919994,0.00031687083303471626,6.372100168816047e-29
-3.99,2.4982357568895628e-43,1.9680283872070537e-16,0.0035469394414147527,5.9209384316556786e-30,5.5485254815122326e-14,21.147891197619675,0.00031912585448385365,6.9593951029836e-29
-3.988,2.848183084400662e-43,2.0639626764100277e-16,0.003565837729386053,6.47774286894182e-30,5.78815648115706e-14,21.133739195672884,0.0003213957817320304,7.600361921986275e-29
-3.986,3.246865432645337e-43,2.1645044820104381e-16,0.0035848240070201864,7.086482864920848e-30,6.037965818605531e-14,21.11958717501347,0.00032368070461304604,8.299863212615926e-29
-3.984,3.7010297853753095e-43,2.269871690126493e-16,0.0036038986080536876,7.751962344688807e-30,6.298378331327014e-14,21.10543513557502,0.00032598071343908967,9.06319820422941e-29
-3.982,4.218351595813028e-43,2.38029232488388e-16,0.0036230618670607738,8.479425800417961e-30,6.569836266182525e-14,21.091283077290935,0.0003282958990028482,9.896141621881211e-29
-3.98,4.807561777664156e-43,2.4960050121763857e-16,0.0036423141194531373,9.274598343225494e-30,6.852799979127396e-14,21.077131000094326,0.0003306263525796288,1.0804985964493505e-28
-3.978,5.478590957769938e-43,2.6172594642648027e-16,0.0036616557014795847,1.0143729363597156e-29,7.147748662462265e-14,21.0629789039181,0.00033297216592947996,1.1796587507097399e-28
-3.976,6.2427333219803415e-43,2.7443169861339433e-16,0.003681086950225835,1.1093640122515884e-29,7.455181100695215e-14,21.048826788694928,0.00033533343129932936,1.2878416352051886e-28
-3.974,7.112832698736023e-43,2.877451004565471e-16,0.0037006082036141153,1.2131775623916397e-29,7.775616456114636e-14,21.03467465435723,0.0003377102414251177,1.405861088219493e-28
-3.972,8.103493879495489e-43,3.016947620927216e-16,0.003720219800402912,1.326626115007946e-29,8.109595085216386e-14,21.02052250083719,0.000340102689533947,1.5346036999359573e-28
-3.97,9.231322577024168e-43,3.163106188721538e-16,0.003739922080186549,1.450596387526755e-29,8.45767938716991e-14,21.00637032806676,0.0003425108693462282,1.6750352564747815e-28
-3.968,1.0515197877959306e-42,3.316239916981678e-16,0.003759715383394901,1.5860560009548457e-29,8.820454685554485e-14,20.99221813597764,0.0003449348750778435,1.8282077493559122e-28
-3.966,1.1976581562018731e-42,3.476676500649713e-16,0.003779600051292947,1.7340607964582407e-29,9.198530144638959e-14,20.978065924501294,0.0003473748014423069,1.9952669995201967e-28
-3.964,1.363986924478948e-42,3.644758779121737e-16,0.003799576425980422,1.8957628076485793e-29,9.592539721532951e-14,20.963913693568948,0.00034983074365293755,2.1774609492724145e-28
-3.962,1.5532788963188717e-42,3.8208454241932656e-16,0.003819644850391385,2.0724189467957102e-29,1.0003143155578355e-13,20.949761443111576,0.0003523027974250352,2.376148680093104e-28
-3.96,1.7686853572782537e-42,4.005311658693726e-16,0.0038398056682938005,2.2654004683076303e-29,1.0431026996409104e-13,20.93560917305992,0.00035479105897806465,2.5928102192473535e-28
-3.958,2.0137874175645912e-42,4.1985500071526284e-16,0.003860059224289081,2.476203278383085e-29,1.0876905672155558e-13,20.92145688334447,0.0003572956250378455,2.82905720351728e-28
-3.956,2.2926542759562508e-42,4.400971079898266e-16,0.0038804058638116307,2.706459165793526e-29,1.1341522599327516e-13,20.907304573895452,0.0003598165928387499,3.086644474245808e-28
-3.954,2.6099093318805585e-42,4.613004392049262e-16,0.003900845933128376,2.957948035327598e-29,1.1825651335964836e-13,20.89315224464289,0.0003623540601259031,3.367482684235819e-28
-3.952,2.9708051960370126e-42,4.835099218922583e-16,0.003921379779338258,3.2326112325782643e-29,1.233009677970676e-13,20.878999895516518,0.00036490812515739584,3.673652003945345e-28
-3.95,3.381308789616827e-42,5.067725489445844e-16,0.003942007750371724,3.532566056521941e-29,1.285569641248921e-13,20.86484752644584,0.0003674788867064971,4.0074170218996025e-28
-3.948,3.848197880287144e-42,5.31137471923065e-16,0.003962730194990195,3.860121564780699e-29,1.3403321593646329e-13,20.85069513736011,0.00037006644406387953,4.371242942355157e-28
-3.946,4.37917058209132e-42,5.566560985033111e-16,0.003983547462785517,4.217795785631418e-29,1.397387890325438e-13,20.83654272818833,0.0003726708970398448,4.7678131920508466e-28
-3.944,4.9829695490032126e-42,5.833821942403264e-16,0.004004459904179419,4.608334460795914e-29,1.4568311537629735e-13,20.822390298859254,0.0003752923459665633,5.20004855742667e-28
-3.942,5.669522821158696e-42,6.113719888399142e-16,0.004025467870422885,5.034731453873717e-29,1.5187600758956934e-13,20.80823784930139,0.0003779308917003093,5.671127984037813e-28
-3.94,6.450103542260795e-42,6.406842871324559e-16,0.004046571713595603,5.50025097104909e-29,1.5832767401103877e-13,20.79408537944297,0.00038058663562371645,6.184511181120557e-28
-3.938,7.337511060263945e-42,6.713805849529222e-16,0.004067771786605311,6.008451753485086e-29,1.6504873433748146e-13,20.779932889211988,0.0003832596796480252,6.7439631864309325e-28
-3.936,8.346276255659389e-42,7.035251901400204e-16,0.004089068443187199,6.563213414704786e-29,1.7205023587026665e-13,20.765780378536196,0.0003859501262153499,7.353581059677692e-28
-3.934,9.492894317524385e-42,7.371853488760964e-16,0.0041104620379032175,7.168765111345801e-29,1.7934367038994536e-13,20.751627847343066,0.00038865807830094033,8.0178228871729185e-28
-3.932,1.0796088612690116e-41,7.724313775990629e-16,0.004131952926141439,7.829716752055308e-29,1.8694099168268749e-13,20.737475295559832,0.0003913836394154602,8.741539295836633e-28
-3.93,1.2277109774316336e-41,8.093368007272335e-16,0.004153541464115346,8.551092967091876e-29,1.9485463374316237e-13,20.723322723113466,0.00039412691360726364,9.530007691501456e-28
-3.928,1.3960074680143794e-41,8.479784944483592e-16,0.004175228008863154,9.338370080523584e-29,2.0309752967940285e-13,20.709170129930676,0.00039688800546468423,1.038896945469101e-27
-3.926,1.5872350605882228e-41,8.884368368344695e-16,0.004197012918247055,1.0197516347898769e-28,2.1168313134607627e-13,20.695017515937923,0.00039966702011832674,1.1324670346794184e-27
-3.924,1.8044990534900625e-41,9.307958645556842e-16,0.004218896550952508,1.113503574506162e-28,2.206254297336437e-13,20.68086488106139,0.0004024640632433665,1.234390440097539e-27
-3.922,2.0513226392010086e-41,9.75143436477067e-16,0.004240879266487447,1.2158015618522306e-28,2.2993897614178934e-13,20.66671222522701,0.00040527924106185524,1.3454061595350818e-27
-3.92,2.331702785855995e-41,1.0215714044352443e-15,0.004262961425181542,1.3274178534666419e-28,2.3963890416665955e-13,20.65255954836046,0.0004081126603450337,1.4663179631119562e-27
-3.918,2.650173543153071e-41,1.0701757915033773e-15,0.004285143388185348,1.4491938694255792e-28,2.497409525324123e-13,20.63840685038715,0.0004109644284156476,1.5980000165569255e-27
-3.916,3.011877752598894e-41,1.1210569780667373e-15,0.004307425517469565,1.5820463310342585e-28,2.602614887988385e-13,20.62425413123222,0.0004138346531502782,1.741402987941585e-27
-3.914,3.4226482704974696e-41,1.1743198960439483e-15,0.004329808175824124,1.7269739382087763e-28,2.71217533977803e-13,20.61010139082056,0.0004167234429816657,1.8975606789903953e-27
-3.912,3.889099957301822e-41,1.2300742316040074e-15,0.004352291726857402,1.8850646334309452e-28,2.8262678809267015e-13,20.595948629076762,0.00041963090690105435,2.0675972255777368e-27
-3.91,4.4187338510398115e-41,1.2884346367426344e-15,0.004374876534995306,2.0575035033053796e-28,2.945076567158522e-13,20.581795845925207,0.0004225571544605301,2.252734915773306e-27
-3.908,5.020055127966073e-41,1.3495209500983214e-15,0.004397562965480423,2.245581373148505e-28,3.068792785212319e-13,20.56764304128995,0.00042550229577537665,2.4543026778690097e-27
-3.906,5.702706663105733e-41,1.4134584274026873e-15,0.004420351384371063,2.450704154804759e-28,3.197615538891816e-13,20.55349021509482,0.0004284664415264261,2.6737452952204533e-27
-3.904,6.477620240082129e-41,1.4803779819780839e-15,0.004443242158540392,2.6744030130671775e-28,3.3317517460366996e-13,20.53933736726335,0.00043144970296242924,2.9126334095130448e-27
-3.902,7.357187727028088e-41,1.5504164357108054e-15,0.0044662356556754365,2.918345421692254e-28,3.47141654681975e-13,20.525184497718822,0.0004344521919024167,3.17267437922452e-27
-3.9,8.355454837467204e-41,1.6237167809479973e-15,0.004489332244276155,3.184347186099509e-28,3.6168336237938617e-13,20.511031606384236,0.0004374740207380822,3.4557240656583175e-27
-3.898,9.488340436230873e-41,1.7004284537835571e-15,0.004512532293654429,3.4743855164549515e-28,3.7682355341250866e-13,20.49687869318233,0.00044051530243615814,3.7637996249775944e-27
-3.896,1.0773884735816363e-40,1.780707619218846e-15,0.004535836173933079,3.790613242016597e-28,3.925864054465554e-13,20.482725758035553,0.0004435761505408096,4.099093391235798e-27
-3.894,1.2232530163737718e-40,1.8647174687034374e-15,0.004559244256044822,4.135374265400609e-28,4.089970538935529e-13,20.46857280086609,0.0004466566791760241,4.463987942503193e-27
-3.892,1.3887439172789454e-40,1.952628530583195e-15,0.004582756911731255,4.511220363873995e-28,4.2608162907020543e-13,20.454419821595856,0.0004497570030480178,4.861072449885136e-27
-3.89,1.5764853820913341e-40,2.044618994003557e-15,0.004606374513541787,4.92092945393395e-28,4.438672947657213e-13,20.440266820146483,0.0004528772374476356,5.2931604175526755e-27
-3.888,1.7894502573708246e-40,2.140875046840185e-15,0.004630097434832552,5.367525445372641e-28,4.62382288271999e-13,20.426113796439324,0.0004560174982527735,5.763308930928053e-27
-3.886,2.031006048964864e-40,2.2415912282516965e-15,0.00465392604976531,5.854299821796281e-28,4.816559619301936e-13,20.411960750395473,0.00045917790193078924,6.274839539923958e-27
-3.884,2.304966974618407e-40,2.346970796474716e-15,0.004677860733306343,6.384835096254536e-28,5.017188262498484e-13,20.397807681935703,0.00046235856554093646,6.83136091470413e-27
-3.882,2.615652836563018e-40,2.4572261125066262e-15,0.004701901861225298,6.963030303304376e-28,5.226025946586389e-13,20.383654590980562,0.00046555960673679117,7.43679342286449e-27
-3.88,2.9679556016352405e-40,2.5725790403486918e-15,0.004726049810094054,7.593128702574085e-28,5.443402299430049e-13,20.369501477450278,0.0004687811437686941,8.095395789314346e-27
-3.878,3.367414691184894e-40,2.6932613645094224e-15,0.004750304957285499,8.27974788378812e-28,5.669659924419794e-13,20.355348341264808,0.00047202329548619374,8.811794013525957e-27
-3.876,3.8203021124739834e-40,2.8195152254979276e-15,0.004774667680972401,9.027912479369057e-28,5.905154900589243e-13,20.34119518234383,0.0004752861813404983,9.591012733319555e-27
-3.874,4.333718709299555e-40,2.951593574065989e-15,0.004799138360126122,9.843089708238267e-28,6.150257301580315e-13,20.32704200060674,0.00047856992138693103,1.0438509240028896e-26
