weak,t,q,fit_type,delta,tau,fit_ratio,test_ratio,test_ratio_ci_low,test_ratio_ci_high,gap_rms
depth4,0.15,32.111111111111114,finite_nonnegative,0.0,0.0,1.0,1.0,1.0,1.0,0.004241843682183241
depth4,0.15,32.111111111111114,finite_signed,0.0,0.0,1.0,1.0,1.0,1.0,0.004241843682183241
depth4,0.15,32.111111111111114,derivative_nonnegative,0.001206714901051215,0.03874895626708902,0.9980027768435965,0.9995630045094799,0.9943149149426587,1.0069318241037495,0.004241843682183241
depth4,0.15,32.111111111111114,derivative_signed,0.001206714901051215,0.03874895626708902,0.9980027768435965,0.9995630045094799,0.9943149149426587,1.0069318241037495,0.004241843682183241
depth6,0.15,32.111111111111114,finite_nonnegative,0.0,0.0,1.0,1.0,1.0,1.0,0.004257347053316508
depth6,0.15,32.111111111111114,finite_signed,0.0,0.0,1.0,1.0,1.0,1.0,0.004257347053316508
depth6,0.15,32.111111111111114,derivative_nonnegative,0.0015949912602019078,0.0512169415775946,0.9962023287490863,1.00315369198578,0.9913100731012636,1.017939237283147,0.004257347053316508
depth6,0.15,32.111111111111114,derivative_signed,0.0015949912602019078,0.0512169415775946,0.9962023287490863,1.00315369198578,0.9913100731012636,1.017939237283147,0.004257347053316508
depth8,0.15,32.111111111111114,finite_nonnegative,0.0,0.0,1.0,1.0,1.0,1.0,0.003823202228245978
depth8,0.15,32.111111111111114,finite_signed,0.0,0.0,1.0,1.0,1.0,1.0,0.003823202228245978
depth8,0.15,32.111111111111114,derivative_nonnegative,0.001996108430792397,0.06409725961100031,0.9930977855515636,0.9999484901448892,0.9793608843647063,1.021152055392672,0.003823202228245978
depth8,0.15,32.111111111111114,derivative_signed,0.001996108430792397,0.06409725961100031,0.9930977855515636,0.9999484901448892,0.9793608843647063,1.021152055392672,0.003823202228245978
depth10,0.15,32.111111111111114,finite_nonnegative,0.0,0.0,1.0,1.0,1.0,1.0,0.002620541166439354
depth10,0.15,32.111111111111114,finite_signed,0.0,0.0,1.0,1.0,1.0,1.0,0.002620541166439354
depth10,0.15,32.111111111111114,derivative_nonnegative,0.0018353491739148983,0.058935101251267295,0.985970261916091,0.9899364587636861,0.978592321381845,1.002123345368988,0.002620541166439354
depth10,0.15,32.111111111111114,derivative_signed,0.0018353491739148983,0.058935101251267295,0.985970261916091,0.9899364587636861,0.978592321381845,1.002123345368988,0.002620541166439354
external_v500,0.15,32.111111111111114,finite_nonnegative,0.0,0.0,1.0,1.0,1.0,1.0,0.001040313982779822
external_v500,0.15,32.111111111111114,finite_signed,0.0,0.0,1.0,1.0,1.0,1.0,0.001040313982779822
external_v500,0.15,32.111111111111114,derivative_nonnegative,0.00011400713465779659,0.003660895768455913,0.9996123482445876,0.9995698499211289,0.9989940525441661,0.9999250290891291,0.001040313982779822
external_v500,0.15,32.111111111111114,derivative_signed,0.00011400713465779659,0.003660895768455913,0.9996123482445876,0.9995698499211289,0.9989940525441661,0.9999250290891291,0.001040313982779822
