arm,fid,sfid,inception_score,full_calls_per_image,auxiliary_full_calls_per_image,trajectory_gpu_seconds,decode_gpu_seconds,sum_batch_gpu_seconds,mean_full_calls_by_block,mean_write_rms_by_block,mean_state_rms_by_block
ig_restarted,65.13932039644499,208.80662834522775,35.6368522644043,113.776,0.0,77.06603227648884,14.531456159427762,91.5974884359166,"[19.952, 14.816, 17.216, 19.808, 41.984]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.8806190254535836, 0.778293453660408, 0.7008933445537637, 0.6599949647827187, 0.8607134887539969]"
write_before,65.97269836485259,207.06165353123697,36.014774322509766,139.344,32.0,93.80807195510715,14.318340377882123,108.12641233298928,"[25.888, 22.0, 22.768, 26.032, 42.656]","[0.007947985922299424, 0.012308398721976307, 0.020995876082485463, 0.028726937486879038, 0.0]","[0.8793649456923486, 0.7777477947005675, 0.6996032487889008, 0.6571267926578149, 0.8496036247296439]"
write_after,66.6256740996941,211.01732026357126,35.0761833190918,138.432,32.0,93.75322465226054,14.324381751939654,108.0776064042002,"[25.84, 22.0, 22.816, 25.984, 41.792]","[0.01237890648541762, 0.0179665413414642, 0.028569032363931376, 0.03795158457045187, 0.0]","[0.8811378437151954, 0.7778533637802227, 0.7007280641802796, 0.6599558994127879, 0.8653062019685354]"
