arm,idea_id,family,role,strength,theta,external_semantics,fid,full_calls_per_image,prefix_calls_per_image,auxiliary_decoder_images_per_output,auxiliary_classifier_images_per_output,sum_batch_gpu_seconds,decision_batch_traces_audited,complete
projection_apg_07,,projection_apg,control,2.0,0.5,False,48.04356656904463,224.0,0.0,0.0,0.0,169.3089211205952,125,True
projection_apg_08,,projection_apg,control,2.0,1.0,False,49.61794571932114,224.0,0.0,0.0,0.0,169.35332201607525,125,True
projection_apg_10,,projection_apg,control,2.75,0.5,False,52.730649684187085,224.0,0.0,0.0,0.0,168.06235485244542,125,True
projection_apg_11,,projection_apg,control,2.75,1.0,False,54.65823472714612,224.0,0.0,0.0,0.0,167.1653333553113,125,True
i56_future_eta_00,56,i56_future_eta,candidate,0.5,0.0,True,55.22323718096902,704.0,0.0,9.0,9.0,617.81797742052,125,True
i56_future_eta_01,56,i56_future_eta,candidate,0.5,0.1,True,55.22673255980038,704.0,0.0,9.0,9.0,615.244186907541,125,True
i56_future_eta_02,56,i56_future_eta,candidate,0.5,1.0,True,55.284509721898814,704.0,0.0,9.0,9.0,614.9551653158851,125,True
i56_future_eta_03,56,i56_future_eta,candidate,1.25,0.0,True,44.527007207594124,704.0,0.0,9.0,9.0,616.0415973737836,125,True
i56_future_eta_04,56,i56_future_eta,candidate,1.25,0.1,True,44.53407685359832,704.0,0.0,9.0,9.0,615.5679333833978,125,True
i56_future_eta_05,56,i56_future_eta,candidate,1.25,1.0,True,44.53079974133931,704.0,0.0,9.0,9.0,615.5013262755238,125,True
i56_future_eta_06,56,i56_future_eta,candidate,2.0,0.0,True,47.142316684799255,704.0,0.0,9.0,9.0,616.9475784287788,125,True
i56_future_eta_07,56,i56_future_eta,candidate,2.0,0.1,True,47.058321818463924,704.0,0.0,9.0,9.0,619.3615685980767,125,True
i56_future_eta_08,56,i56_future_eta,candidate,2.0,1.0,True,46.87789748718177,704.0,0.0,9.0,9.0,615.6128400717862,125,True
i56_future_eta_09,56,i56_future_eta,candidate,2.75,0.0,True,51.58410188336245,704.0,0.0,9.0,9.0,613.7795500275679,125,True
i56_future_eta_10,56,i56_future_eta,candidate,2.75,0.1,True,51.50003442407319,704.0,0.0,9.0,9.0,615.6414139042608,125,True
i56_future_eta_11,56,i56_future_eta,candidate,2.75,1.0,True,51.31647758614872,704.0,0.0,9.0,9.0,614.1960772466846,125,True
moment_without_semantic_00,,moment_without_semantic,control,0.5,1.0,True,53.46926080955211,902.0,0.0,21.0,21.0,927.7285678279586,125,True
moment_without_semantic_01,,moment_without_semantic,control,1.25,1.0,True,44.49907417251944,902.0,0.0,21.0,21.0,923.7887200396508,125,True
moment_without_semantic_02,,moment_without_semantic,control,2.0,1.0,True,48.504917321180415,902.0,0.0,21.0,21.0,927.4540984397754,125,True
moment_without_semantic_03,,moment_without_semantic,control,2.75,1.0,True,52.87742998626561,902.0,0.0,21.0,21.0,929.2510649790056,125,True
i55_future_moment_apg_00,55,i55_future_moment_apg,candidate,0.5,0.1,True,53.76243473479195,902.0,0.0,21.0,21.0,927.1279880991206,125,True
i55_future_moment_apg_01,55,i55_future_moment_apg,candidate,0.5,1.0,True,53.89403669935268,902.0,0.0,21.0,21.0,925.4766487199813,125,True
i55_future_moment_apg_02,55,i55_future_moment_apg,candidate,0.5,10.0,True,54.379759654050815,902.0,0.0,21.0,21.0,923.3620984265581,125,True
i55_future_moment_apg_03,55,i55_future_moment_apg,candidate,1.25,0.1,True,44.4846398237155,902.0,0.0,21.0,21.0,923.7901247977279,125,True
i55_future_moment_apg_04,55,i55_future_moment_apg,candidate,1.25,1.0,True,44.44254248777008,902.0,0.0,21.0,21.0,923.2351139239036,125,True
i55_future_moment_apg_05,55,i55_future_moment_apg,candidate,1.25,10.0,True,44.405478723413694,902.0,0.0,21.0,21.0,926.2620243653655,125,True
i55_future_moment_apg_06,55,i55_future_moment_apg,candidate,2.0,0.1,True,48.17597066308838,902.0,0.0,21.0,21.0,924.0122162168846,125,True
i55_future_moment_apg_07,55,i55_future_moment_apg,candidate,2.0,1.0,True,47.76700310350844,902.0,0.0,21.0,21.0,923.7383702993393,125,True
i55_future_moment_apg_08,55,i55_future_moment_apg,candidate,2.0,10.0,True,47.533955488767276,902.0,0.0,21.0,21.0,924.2693744744174,125,True
i55_future_moment_apg_09,55,i55_future_moment_apg,candidate,2.75,0.1,True,52.741147603326795,902.0,0.0,21.0,21.0,922.668351768516,125,True
i55_future_moment_apg_10,55,i55_future_moment_apg,candidate,2.75,1.0,True,52.370376284206145,902.0,0.0,21.0,21.0,924.6888222377747,125,True
i55_future_moment_apg_11,55,i55_future_moment_apg,candidate,2.75,10.0,True,51.886233129634036,902.0,0.0,21.0,21.0,923.5246533001773,125,True
clean_apg_04,,clean_apg,control,0.5,-0.5,False,63.15875918426235,224.0,0.0,0.0,0.0,174.12542154220864,125,True
clean_apg_13,,clean_apg,control,1.25,-0.5,False,47.50612382976408,224.0,0.0,0.0,0.0,177.43310320517048,125,True
clean_apg_22,,clean_apg,control,2.0,-0.5,False,44.4998279222749,224.0,0.0,0.0,0.0,167.44665996124968,125,True
clean_apg_31,,clean_apg,control,2.75,-0.5,False,45.677749873933635,224.0,0.0,0.0,0.0,166.0838289456442,125,True
