amount,variant,metric,mean,ci_low,ci_high,seeds,observations,positive_fraction
0.0,gap,q_gain,0.004571307547052797,0.0024150396318547086,0.007040237527368406,32,160,0.76875
0.0,gap,energy_change,-0.00016431324183937678,-0.0006772855110465239,0.00035891086794427493,32,160,0.4625
0.0,gap,moments_change,0.0021033614404582105,0.001808215081118309,0.002416923859249843,32,160,1.0
0.0,orthogonal,q_gain,0.004534984581846186,0.002398880320499559,0.0069872219361159235,32,160,0.7625
0.0,orthogonal,energy_change,-0.0013898300006983163,-0.00197899705264693,-0.000918400646187059,32,160,0.20625
0.0,orthogonal,moments_change,0.002055121299963018,0.001732109248866382,0.0024250261526737593,32,160,1.0
0.0,parallel,q_gain,0.0005174200719465354,5.1513676773928314e-05,0.000997077400917238,32,160,0.65
0.0,parallel,energy_change,0.004246632754802439,0.002595508736558065,0.00597593521699275,32,160,0.79375
0.0,parallel,moments_change,0.0037805125688459814,0.003453944090105746,0.004151867501231655,32,160,1.0
0.0,zero,q_gain,0.0,0.0,0.0,32,160,0.0
0.0,zero,energy_change,0.0,0.0,0.0,32,160,0.0
0.0,zero,moments_change,0.0,0.0,0.0,32,160,0.0
1.25,gap,q_gain,0.01660626343095803,0.01248070800251849,0.02086737584222504,32,160,0.7
1.25,gap,energy_change,0.0017641812562941158,0.0004887605179100074,0.0031649156194178585,32,160,0.65
1.25,gap,moments_change,0.004364835415980825,0.003767501585420538,0.005000858143768609,32,160,1.0
1.25,orthogonal,q_gain,0.015895716400563992,0.011971277880479558,0.019910252665640407,32,160,0.70625
1.25,orthogonal,energy_change,-0.0017261918634173343,-0.002749133473261874,-0.0007796287955713954,32,160,0.225
1.25,orthogonal,moments_change,0.004257028996471013,0.003675010718565741,0.00489155652774519,32,160,1.0
1.25,parallel,q_gain,0.0067430062024412115,0.003421212823355895,0.010682442866994726,32,160,0.6875
1.25,parallel,energy_change,0.014044480212032402,0.010828972468152296,0.0169019970018412,32,160,0.9
1.25,parallel,moments_change,0.008652554734725943,0.008071603038696985,0.009257744618225336,32,160,1.0
1.25,zero,q_gain,0.0,0.0,0.0,32,160,0.0
1.25,zero,energy_change,0.0,0.0,0.0,32,160,0.0
1.25,zero,moments_change,0.0,0.0,0.0,32,160,0.0
2.75,gap,q_gain,0.020168945492809898,0.013365402606356646,0.02712041604386548,32,160,0.675
2.75,gap,energy_change,0.0027679560706017426,0.0007664718292651632,0.0046387354657052154,32,160,0.74375
2.75,gap,moments_change,0.007535790693509169,0.006659447770247911,0.008457743766302412,32,160,1.0
2.75,orthogonal,q_gain,0.020472830678931905,0.013488578966970827,0.027579692992203402,32,160,0.68125
2.75,orthogonal,energy_change,-0.0021094931289550992,-0.0031570028932762025,-0.0010576780838889238,32,160,0.25
2.75,orthogonal,moments_change,0.007503118064050294,0.006616224447470254,0.00843649038381906,32,160,1.0
2.75,parallel,q_gain,0.0022704073727481708,-0.0019402520664357026,0.006998005847071294,32,160,0.525
2.75,parallel,energy_change,0.02824748493730985,0.020333124585449367,0.03515246285125575,32,160,0.89375
2.75,parallel,moments_change,0.016504311581956664,0.015205098046062168,0.017785189504283563,32,160,1.0
2.75,zero,q_gain,0.0,0.0,0.0,32,160,0.0
2.75,zero,energy_change,0.0,0.0,0.0,32,160,0.0
2.75,zero,moments_change,0.0,0.0,0.0,32,160,0.0
