amount,variant,mean,ci_low,ci_high,seeds,observations,mean_absolute_gain
0.0,cfg,1.3648944332054857e-05,-3.546925611320872e-06,3.531284383479611e-05,32,160,4.46740986262792e-05
0.0,projected,1.3648944332054857e-05,-3.546925611320872e-06,3.531284383479611e-05,32,160,4.46740986262792e-05
1.25,cfg,1.8408035430167654e-05,-1.834978841090594e-05,5.670857264476585e-05,32,160,0.00011697727240975063
1.25,projected,1.1164875968439024e-05,-3.435834311409606e-05,5.458488235720578e-05,32,160,0.00011733550013562341
2.75,cfg,4.715988593486746e-05,-0.00010128881194533445,0.00018615785589185064,32,160,0.0002311489334260477
2.75,projected,7.718791212031669e-05,-7.017890148742754e-05,0.00023503873061146282,32,160,0.00023626035481353236
