amount,field,skew_sq,jacobian_sq,ratio_sq,ci_low,ci_high
0.0,cfg,464.2083196413322,8208.057309676118,0.05655519962002427,0.04736332860734456,0.06587467987375768
0.0,conditional,464.2083196413322,8208.057309676118,0.05655519962002427,0.04736332860734456,0.06587467987375768
0.0,fixed_cfg_a0,464.2083196413322,8208.057309676118,0.05655519962002427,0.04736332860734456,0.06587467987375768
0.0,fixed_cfg_a125,1174.282555819536,9030.596296222218,0.13003377820252857,0.11124955675352767,0.15175747697467337
0.0,fixed_cfg_a275,3071.4023702799636,11203.823613808108,0.27413876513502283,0.23603322780598862,0.3168280277610158
0.0,gap,253.3463761617346,287.5590632196179,0.8810237915132101,0.7624530691539587,1.0149274581903815
0.0,null,466.1832726858535,8197.034125527363,0.05687218883645446,0.04756065893981179,0.06755009386851261
0.0,orthogonal,253.05793725086312,283.222059778709,0.8934965639632232,0.7773159543118734,1.0261236052163472
0.0,projected,464.2083196413322,8208.057309676118,0.05655519962002427,0.04736332860734456,0.06587467987375768
1.25,cfg,1377.4226130453799,9506.661082712439,0.14489026179235306,0.11233298919241988,0.18254770755242483
1.25,conditional,511.8269400837916,8741.731444084191,0.058549835734219596,0.04583376858315188,0.07290138408573563
1.25,fixed_cfg_a0,511.8269400837916,8741.731444084191,0.058549835734219596,0.04583376858315188,0.07290138408573563
1.25,fixed_cfg_a125,1377.4226130453799,9506.661082712439,0.14489026179235306,0.11233298919241988,0.18254770755242483
1.25,fixed_cfg_a275,3586.460740818544,11543.165851913538,0.3106999229525934,0.246447470053849,0.3843361895580086
1.25,gap,283.72057437030446,271.1730375616293,1.0462713288957552,0.8844131084049184,1.2016088066482864
1.25,null,457.7250791010294,8739.9269893958,0.05237172800829911,0.04175382772104467,0.06582581181043808
1.25,orthogonal,283.1347679945268,266.78584307866254,1.0612810812118083,0.8965439801459042,1.2198183547259196
1.25,projected,1365.3487655515391,9512.268237017977,0.1435355618167014,0.1120074357299998,0.18031490080269008
2.75,cfg,3764.1106014389834,11758.945727982169,0.32010612928348836,0.24282585166739765,0.4390020924803156
2.75,conditional,575.5455134862466,8995.259602672608,0.06398320214296478,0.05244945026827057,0.07693455875456978
2.75,fixed_cfg_a0,575.5455134862466,8995.259602672608,0.06398320214296478,0.05244945026827057,0.07693455875456978
2.75,fixed_cfg_a125,1453.5710719195179,9753.659675997611,0.14902827453540873,0.11565346013838897,0.2002116584868596
2.75,fixed_cfg_a275,3764.1106014389834,11758.945727982169,0.32010612928348836,0.24282585166739765,0.4390020924803156
2.75,gap,304.7119327854607,265.50442203102824,1.1476717805846957,0.8840476910450118,1.482634806339063
2.75,null,558.7333218022009,8985.924415773552,0.062178724853440955,0.049381669476650285,0.07574763356790462
2.75,orthogonal,294.9467472453698,261.66561221421875,1.127189563617189,0.8813285801606716,1.4349096134966888
2.75,projected,3652.866834665918,11749.610292127385,0.3108925950602341,0.2378425857600893,0.4193322387386324
