variant,sign_agreement,pearson,spearman,mean_absolute_disagreement,fine_positive_fraction
gap,0.9416666666666667,0.9300598158367936,0.96618995742169,0.0032427404966104178,0.7145833333333333
orthogonal,0.9416666666666667,0.9301034882217318,0.9638499950086588,0.0032542357668489345,0.7166666666666667
parallel,0.925,0.9160524615609487,0.9300169488582849,0.0019402525004806527,0.6208333333333333
