start,time,amount,step,kind,grid,variant,sample_id,q,margin,top1,q_gain,energy,energy_change,moments_change,gap_norm,clean_gap_norm,parallel_fraction,local_error_rms,local_error_over_step,excess_state_energy,q_drift
0,0.125,0.0,8,component,8,zero,0,0.000361253216397,-6.769603729248047,0.0,0.0,0.8891019821166991,0.0,0.0,8.401891708374023,7.351655006408691,0.503641903400421,,,,
0,0.125,0.0,8,component,8,zero,1,0.00022174423793300003,-6.072560310363769,0.0,0.0,0.5958566665649411,0.0,0.0,6.461269855499268,5.653611183166504,0.428896456956863,,,,
0,0.125,0.0,8,component,8,zero,2,0.00048168332432300005,-5.395213603973389,0.0,0.0,0.6985763311386101,0.0,0.0,4.313414573669434,3.774237632751465,0.16555261611938402,,,,
0,0.125,0.0,8,component,8,zero,3,0.0007229979964900001,-5.2383527755737305,0.0,0.0,1.271641492843628,0.0,0.0,11.313790321350098,9.899566650390625,0.005925663746893001,,,,
0,0.125,0.0,8,component,8,parallel,0,0.00034374953247600005,-6.891242980957031,0.0,-1.750368392094969e-05,0.9100484848022461,0.020946502685546,0.009415510110557001,8.401891708374023,7.351655006408691,0.503641903400421,,,,
0,0.125,0.0,8,component,8,parallel,1,0.00022355678083800002,-6.075024127960205,0.0,1.81254290509969e-06,0.6077913641929621,0.011934697628021,0.008036266081035,6.461269855499268,5.653611183166504,0.428896456956863,,,,
0,0.125,0.0,8,component,8,parallel,2,0.00048774611786900004,-4.969882965087891,0.0,6.062793545424938e-06,0.687626600265502,-0.010949730873107001,0.006167406216263001,4.313414573669434,3.774237632751465,0.16555261611938402,,,,
0,0.125,0.0,8,component,8,parallel,3,0.0006613464211110001,-5.627054214477539,0.0,-6.165157537907362e-05,1.249731302261352,-0.021910190582275002,0.009187386371195,11.313790321350098,9.899566650390625,0.005925663746893001,,,,
0,0.125,0.0,8,component,8,orthogonal,0,0.00026348905521400004,-7.170765876770019,0.0,-9.776416118256749e-05,0.8893346786499021,0.00023269653320300002,0.005074279848486,8.401891708374023,7.351655006408691,0.503641903400421,,,,
0,0.125,0.0,8,component,8,orthogonal,1,0.00023505144054000002,-5.88802433013916,0.0,1.3307202607393261e-05,0.591011822223663,-0.004844844341278001,0.005417995154857001,6.461269855499268,5.653611183166504,0.428896456956863,,,,
0,0.125,0.0,8,component,8,orthogonal,2,0.00053430016851,-4.931126594543457,0.0,5.2616844186559326e-05,0.6980208158493041,-0.0005555152893060001,0.0024524184409520002,4.313414573669434,3.774237632751465,0.16555261611938402,,,,
0,0.125,0.0,8,component,8,orthogonal,3,0.000952343572862,-5.039061546325684,0.0,0.00022934557637100002,1.268214702606201,-0.003426790237426,0.012182594276964002,11.313790321350098,9.899566650390625,0.005925663746893001,,,,
0,0.125,0.0,8,component,8,gap,0,0.000267960480414,-7.181026458740234,0.0,-9.32927359826863e-05,0.899813055992126,0.010711073875427001,0.00611995300278,8.401891708374023,7.351655006408691,0.503641903400421,,,,
0,0.125,0.0,8,component,8,gap,1,0.00022811078815700002,-5.9273529052734375,0.0,6.366550223901868e-06,0.5965834856033321,0.0007268190383910001,0.005779886152595001,6.461269855499268,5.653611183166504,0.428896456956863,,,,
0,0.125,0.0,8,component,8,gap,2,0.0005391337908800001,-4.853960990905762,0.0,5.745046655647456e-05,0.6962071657180781,-0.002369165420532,0.003107761265709,4.313414573669434,3.774237632751465,0.16555261611938402,,,,
0,0.125,0.0,8,component,8,gap,3,0.0009530162205910001,-5.040195941925049,0.0,0.000230018224101,1.26808476448059,-0.003556728363037,0.012204831466078,11.313790321350098,9.899566650390625,0.005925663746893001,,,,
0,0.125,0.0,8,component,16,zero,0,0.000332198833348,-6.973630428314209,0.0,0.0,0.911887049674987,0.0,0.0,8.401891708374023,7.351655006408691,0.503641903400421,,,,
0,0.125,0.0,8,component,16,zero,1,0.00024550271336900003,-5.749488830566406,0.0,0.0,0.6131566762924191,0.0,0.0,6.461269855499268,5.653611183166504,0.428896456956863,,,,
0,0.125,0.0,8,component,16,zero,2,0.00046915168059000006,-5.8179402351379395,0.0,0.0,0.72349065542221,0.0,0.0,4.313414573669434,3.774237632751465,0.16555261611938402,,,,
0,0.125,0.0,8,component,16,zero,3,0.00045914549264100004,-6.58003568649292,0.0,0.0,1.284297227859497,0.0,0.0,11.313790321350098,9.899566650390625,0.005925663746893001,,,,
0,0.125,0.0,8,component,16,parallel,0,0.000395461014704,-6.733262538909912,0.0,6.326218135654926e-05,0.9324492216110231,0.020562171936035,0.009413151070475,8.401891708374023,7.351655006408691,0.503641903400421,,,,
0,0.125,0.0,8,component,16,parallel,1,0.000256371189607,-5.722575664520264,0.0,1.0868476238101723e-05,0.625296235084533,0.012139558792114001,0.008108241483569001,6.461269855499268,5.653611183166504,0.428896456956863,,,,
0,0.125,0.0,8,component,16,parallel,2,0.00043434172403000005,-6.037387847900391,0.0,-3.480995655991137e-05,0.7118873596191401,-0.01160329580307,0.006326036527752,4.313414573669434,3.774237632751465,0.16555261611938402,,,,
0,0.125,0.0,8,component,16,parallel,3,0.00044202254503000006,-6.504317760467529,0.0,-1.71229476109147e-05,1.262742280960083,-0.021554946899414,0.008837687782943,11.313790321350098,9.899566650390625,0.005925663746893001,,,,
0,0.125,0.0,8,component,16,orthogonal,0,0.00025365588953700003,-7.300263404846191,0.0,-7.85429438110441e-05,0.9121589660644531,0.000271916389465,0.005345779005438,8.401891708374023,7.351655006408691,0.503641903400421,,,,
0,0.125,0.0,8,component,16,orthogonal,1,0.00022158029605600003,-5.89753532409668,0.0,-2.3922417312860492e-05,0.608076453208923,-0.005080223083496,0.005687126889824001,6.461269855499268,5.653611183166504,0.428896456956863,,,,
0,0.125,0.0,8,component,16,orthogonal,2,0.00045969960046900003,-5.938699722290039,0.0,-9.452080121263862e-06,0.7228733301162721,-0.000617325305938,0.0025122370570890003,4.313414573669434,3.774237632751465,0.16555261611938402,,,,
0,0.125,0.0,8,component,16,orthogonal,3,0.0008370390860360001,-4.969603538513184,0.0,0.00037789359339500004,1.281797647476196,-0.0024995803833,0.012769410386681002,11.313790321350098,9.899566650390625,0.005925663746893001,,,,
0,0.125,0.0,8,component,16,gap,0,0.00028130138525700004,-7.157161235809326,0.0,-5.08974480908364e-05,0.9223999977111811,0.010512948036193001,0.006324259098619001,8.401891708374023,7.351655006408691,0.503641903400421,,,,
0,0.125,0.0,8,component,16,gap,1,0.00022763299057200001,-5.843336582183838,0.0,-1.786972279660403e-05,0.613779962062835,0.0006232857704160001,0.006066572386771001,6.461269855499268,5.653611183166504,0.428896456956863,,,,
0,0.125,0.0,8,component,16,gap,2,0.00045640222379000005,-5.944396018981934,0.0,-1.2749456800520422e-05,0.720951795578002,-0.0025388598442070004,0.0031757289543740005,4.313414573669434,3.774237632751465,0.16555261611938402,,,,
0,0.125,0.0,8,component,16,gap,3,0.0008353294688270001,-4.97340202331543,0.0,0.000376183976186,1.281670093536377,-0.00262713432312,0.012788833118975001,11.313790321350098,9.899566650390625,0.005925663746893001,,,,
0,0.125,0.0,8,integration,1,cfg,0,,,,,,,,,,,4.765215271618218e-05,0.002740041119977,-8.149621862685308e-06,
0,0.125,0.0,8,integration,1,cfg,1,,,,,,,,,,,8.424111001659185e-06,0.0005344373057590001,2.651327690728067e-07,
0,0.125,0.0,8,integration,1,cfg,2,,,,,,,,,,,1.700706525298301e-05,0.001035176566801,-2.11668475458282e-06,
0,0.125,0.0,8,integration,1,cfg,3,,,,,,,,,,,1.499092286394443e-05,0.000754865468479,-1.9143890312989242e-06,
0,0.125,0.0,8,integration,2,cfg,0,,,,,,,,,,,9.985451470129192e-06,0.000574172358028,-1.7193152643812928e-06,
0,0.125,0.0,8,integration,2,cfg,1,,,,,,,,,,,1.7164619521281561e-06,0.00010889473196500001,4.627117533573255e-08,
0,0.125,0.0,8,integration,2,cfg,2,,,,,,,,,,,3.480215127638075e-06,0.00021183179342100001,-4.395868984374829e-07,
0,0.125,0.0,8,integration,2,cfg,3,,,,,,,,,,,3.056252580790897e-06,0.00015389709733400003,-3.874033609463367e-07,
0,0.125,0.0,8,integration_future,1,cfg,0,0.00028899943572400003,-7.11713981628418,,,0.9241060018539421,,,,,,,,,
0,0.125,0.0,8,integration_future,1,cfg,1,0.00023067751317200003,-5.804029941558838,,,0.614417791366577,,,,,,,,,
0,0.125,0.0,8,integration_future,1,cfg,2,0.000466123165097,-5.9082722663879395,,,0.7235037684440611,,,,,,,,,
0,0.125,0.0,8,integration_future,1,cfg,3,0.000802880793344,-4.908404350280762,,,1.282051086425781,,,,,,,,,
0,0.125,0.0,8,integration_future,4,cfg,0,0.000288970477413,-7.114601135253906,,,0.9243833422660821,,,,,,,,,
0,0.125,0.0,8,integration_future,4,cfg,1,0.000230696663493,-5.805540561676025,,,0.614471316337585,,,,,,,,,
0,0.125,0.0,8,integration_future,4,cfg,2,0.00046702352119600005,-5.903086185455322,,,0.7236701250076291,,,,,,,,,
0,0.125,0.0,8,integration_future,4,cfg,3,0.0008027493604450001,-4.904029369354248,,,1.282089948654174,,,,,,,,,
0,0.125,0.0,8,integration,1,projected,0,,,,,,,,,,,4.765215271618218e-05,0.002740041119977,-8.149621862685308e-06,
0,0.125,0.0,8,integration,1,projected,1,,,,,,,,,,,8.424111001659185e-06,0.0005344373057590001,2.651327690728067e-07,
0,0.125,0.0,8,integration,1,projected,2,,,,,,,,,,,1.700706525298301e-05,0.001035176566801,-2.11668475458282e-06,
0,0.125,0.0,8,integration,1,projected,3,,,,,,,,,,,1.499092286394443e-05,0.000754865468479,-1.9143890312989242e-06,
