arm,family,peak,fid,sfid,inception_score,full_calls_per_image,geometry_calls_per_image,sum_batch_gpu_seconds,correction_to_native_norm,off_affine_energy,clean_norm_ratio,angle_radians,cap_fraction,fallback_fraction
ig_a040,ig,0.4,68.44525893899231,210.43493098707654,34.066017150878906,108.976,0.0,86.0072642667219,0.0,0.0,0.0,0.0,0.0,0.0
residual_norm_a040,residual_norm,0.4,68.25447561743727,211.14196816464153,33.97551727294922,109.84,67.376,96.35879043210298,1.0000000026548554,0.11856781209223147,1.0363191251154893,0.0,0.0,0.0
adg_a040,adg,0.4,68.41858501285299,210.01603001915214,35.05836486816406,108.64,66.8,95.10343189490959,0.9630719268402297,0.058096128693487965,1.0421096107542158,0.12413028010473905,0.0,0.0
ig_a055,ig,0.55,65.88179337356979,208.95292230304278,35.24428939819336,112.288,0.0,90.6102171135135,0.0,0.0,0.0,0.0,0.0,0.0
residual_norm_a055,residual_norm,0.55,65.97647642235484,209.7525262495809,34.88378143310547,112.048,69.584,95.727078077849,0.999999979830838,0.11576788870553074,1.0568880384025985,0.0,0.0,0.0
adg_a055,adg,0.55,65.81764199120937,208.57322251000596,35.50117492675781,109.888,68.528,96.07915335474536,0.9544709283052246,0.05867825125831062,1.0574228828953383,0.1722708385098076,0.0,0.0
ig_a070,ig,0.7,65.13710607903465,208.80616271063843,35.627777099609375,113.776,0.0,91.20739858550951,0.0,0.0,0.0,0.0,0.0,0.0
residual_norm_a070,residual_norm,0.7,64.97256783757564,209.6902552904328,35.170204162597656,113.344,71.84,95.60873848991469,0.9999999779768138,0.11321957220196598,1.0810656828776766,0.0,0.0,0.0
adg_a070,adg,0.7,64.75225438168115,208.28133787888737,36.353370666503906,113.584,70.928,98.19465939281508,0.9454638583662512,0.06155236856031067,1.0720885713254251,0.2211266164821269,0.0,0.0
ig_a085,ig,0.85,66.45519994745166,209.57417381365735,35.147159576416016,116.752,0.0,93.1306132087484,0.0,0.0,0.0,0.0,0.0,0.0
residual_norm_a085,residual_norm,0.85,66.08390430471559,210.66964435004638,34.71650314331055,117.472,74.576,97.95130126131698,0.9999999811953164,0.11077070415994171,1.1085030003939351,0.0,0.0,0.0
adg_a085,adg,0.85,64.90751261934759,209.12459971354542,35.76219940185547,114.256,72.272,99.25312798516825,0.9355685479059825,0.06709280204754418,1.0861324545574156,0.2708565085811488,0.0,0.0
ig_a100,ig,1.0,67.85261275682115,211.80926071280487,34.737403869628906,120.496,0.0,93.94313108175993,0.0,0.0,0.0,0.0,0.0,0.0
residual_norm_a100,residual_norm,1.0,67.05262095469317,212.88640692844365,33.818660736083984,120.256,76.4,99.86428874311969,0.9999999846432222,0.10898801866555538,1.1382163418837243,0.0,0.0,0.0
adg_a100,adg,1.0,65.9410906858451,210.5734803512205,35.552452087402344,117.52,74.384,100.85806550923735,0.9252533622588469,0.07503994381679562,1.0994728933030187,0.32192467225911436,0.0,0.0
ig_a120,ig,1.2,70.61060313161181,215.81219601210591,32.53385543823242,122.368,0.0,96.16509174648672,0.0,0.0,0.0,0.0,0.0,0.0
residual_norm_a120,residual_norm,1.2,69.87390737249245,216.67608285637243,32.55915832519531,122.032,78.464,101.94429740821943,1.0000000113718588,0.10716321869408803,1.181624904312163,0.0,0.0,0.0
adg_a120,adg,1.2,68.33724305636429,213.6875601036453,34.096641540527344,121.216,75.776,103.97795432480052,0.9098966746135596,0.09039347567768877,1.1159835578024235,0.3922155129454237,2.6393581081081083e-05,0.0
