index,k,objective,iteration,coarse_relative_mse,shift_rms,closure_calls,per_sample_rejections
0,8,agreement,1,0.9152355790138245,0.00027240204508416355,2,0
1,8,agreement,1,0.9840148091316223,0.00011806087422883138,2,0
0,8,agreement,2,0.8158140778541565,0.0009290348971262574,4,0
1,8,agreement,2,0.8874761462211609,0.0007388065569102764,4,0
0,8,agreement,3,0.7563396692276001,0.0033059280831366777,6,0
1,8,agreement,3,0.6225994229316711,0.004042934160679579,6,0
0,8,agreement,4,0.7126191258430481,0.004655918106436729,8,0
1,8,agreement,4,0.49097439646720886,0.005918425042182207,8,0
0,8,agreement,5,0.4992852210998535,0.011212827637791634,10,0
1,8,agreement,5,0.31915104389190674,0.014506896026432514,10,0
0,8,agreement,6,0.29158616065979004,0.024984506890177727,12,0
1,8,agreement,6,0.2595612406730652,0.026322077959775925,12,0
0,8,agreement,7,0.20789554715156555,0.03274082764983177,14,0
1,8,agreement,7,0.15818294882774353,0.033850811421871185,14,0
0,8,agreement,8,0.15275858342647552,0.04010700806975365,16,0
1,8,agreement,8,0.14754942059516907,0.04119385778903961,16,0
0,8,agreement,9,0.13642792403697968,0.042762640863657,18,0
1,8,agreement,9,0.11202546954154968,0.04284444451332092,18,0
0,8,agreement,10,0.13642792403697968,0.042762640863657,20,1
1,8,agreement,10,0.10545582324266434,0.04282151162624359,20,1
0,8,agreement,11,0.12843002378940582,0.0427662692964077,22,0
1,8,agreement,11,0.10504046827554703,0.042836278676986694,22,0
0,8,agreement,12,0.12818434834480286,0.04277544841170311,25,0
1,8,agreement,12,0.10466492921113968,0.04285018891096115,25,0
0,8,agreement,13,0.12220600247383118,0.042958714067935944,28,0
1,8,agreement,13,0.10063040256500244,0.043044161051511765,28,0
0,8,agreement,14,0.11109866201877594,0.04384232312440872,30,0
1,8,agreement,14,0.09598414599895477,0.04386336728930473,30,0
0,8,agreement,15,0.10792647302150726,0.044353555887937546,32,0
1,8,agreement,15,0.0925602912902832,0.044238124042749405,32,0
0,8,agreement,16,0.10173454880714417,0.04686487466096878,34,0
1,8,agreement,16,0.08076698333024979,0.04597622901201248,34,0
0,8,agreement,17,0.09781739860773087,0.048769086599349976,38,1
1,8,agreement,17,0.08076698333024979,0.04597622901201248,38,1
0,8,agreement,18,0.0872834175825119,0.04879942536354065,40,0
1,8,agreement,18,0.08062651008367538,0.04597640037536621,40,0
0,8,agreement,19,0.08334221690893173,0.049282874912023544,44,0
1,8,agreement,19,0.07786373794078827,0.04599449783563614,44,0
0,8,agreement,20,0.08192694932222366,0.05066843703389168,46,0
1,8,agreement,20,0.07526299357414246,0.046304766088724136,46,0
0,8,agreement,21,0.07490481436252594,0.050998397171497345,48,0
1,8,agreement,21,0.0739092007279396,0.04646531865000725,48,0
0,8,agreement,22,0.06761947274208069,0.053492091596126556,50,0
1,8,agreement,22,0.06973370909690857,0.047468800097703934,50,0
0,8,agreement,23,0.06490778923034668,0.05519160255789757,52,0
1,8,agreement,23,0.06690436601638794,0.04829329997301102,52,0
0,8,agreement,24,0.06264018267393112,0.06398636847734451,54,0
1,8,agreement,24,0.05563828721642494,0.05320331081748009,54,0
0,8,agreement,25,0.05532001703977585,0.0621773786842823,56,1
1,8,agreement,25,0.05563828721642494,0.05320331081748009,56,1
0,8,agreement,26,0.0529971607029438,0.062305744737386703,59,0
1,8,agreement,26,0.054044656455516815,0.05347246304154396,59,0
0,8,agreement,27,0.04977446421980858,0.06311139464378357,61,0
1,8,agreement,27,0.051592640578746796,0.05457421764731407,61,0
0,8,agreement,28,0.04847390949726105,0.06388936191797256,63,1
1,8,agreement,28,0.051592640578746796,0.05457421764731407,63,1
0,8,agreement,29,0.04757112264633179,0.06392525136470795,65,0
1,8,agreement,29,0.051459185779094696,0.054591063410043716,65,0
0,8,agreement,30,0.04605261608958244,0.0641021877527237,67,0
1,8,agreement,30,0.050953298807144165,0.05467402935028076,67,0
0,8,agreement,31,0.0452592633664608,0.06432783603668213,69,0
1,8,agreement,31,0.05034294351935387,0.05482075735926628,69,0
0,8,agreement,32,0.043801747262477875,0.06497374176979065,71,0
1,8,agreement,32,0.04887295141816139,0.05534699931740761,71,0
0,8,agreement,33,0.04334212467074394,0.06722648441791534,73,0
1,8,agreement,33,0.0457119420170784,0.05740242823958397,73,0
0,8,agreement,34,0.04168011248111725,0.06784537434577942,78,0
1,8,agreement,34,0.04526584595441818,0.0579998716711998,78,0
0,8,agreement,35,0.040923863649368286,0.06793814897537231,80,0
1,8,agreement,35,0.04480500891804695,0.05816446244716644,80,0
0,8,agreement,36,0.040308598428964615,0.06915844976902008,82,0
1,8,agreement,36,0.04273710772395134,0.059679172933101654,82,0
0,8,agreement,37,0.039084721356630325,0.06951572000980377,85,0
1,8,agreement,37,0.04218596965074539,0.06015704572200775,85,0
0,8,agreement,38,0.0370018370449543,0.07199478149414062,87,0
1,8,agreement,38,0.03971245512366295,0.0631958469748497,87,0
0,8,agreement,39,0.03585534915328026,0.07343891263008118,89,0
1,8,agreement,39,0.038589294999837875,0.06465420126914978,89,0
0,8,agreement,40,0.03490424156188965,0.07714772969484329,91,0
1,8,agreement,40,0.03553452342748642,0.06846097856760025,91,0
0,8,agreement,41,0.03339169919490814,0.07811177521944046,93,0
1,8,agreement,41,0.03419243171811104,0.06957069784402847,93,0
0,8,agreement,42,0.030624601989984512,0.08091623336076736,95,0
1,8,agreement,42,0.032478414475917816,0.07257181406021118,95,0
0,8,agreement,43,0.030272647738456726,0.08509364724159241,97,0
1,8,agreement,43,0.02992505207657814,0.07754208147525787,97,0
0,8,agreement,44,0.028895702213048935,0.08650126308202744,99,0
1,8,agreement,44,0.028729615733027458,0.0794619619846344,99,0
0,8,agreement,45,0.027504751458764076,0.08918821811676025,101,0
1,8,agreement,45,0.026605522260069847,0.08338122069835663,101,0
0,8,agreement,46,0.025256099179387093,0.09478294849395752,103,0
1,8,agreement,46,0.025063475593924522,0.09204431623220444,103,0
0,8,agreement,47,0.025141382589936256,0.09673051536083221,105,0
1,8,agreement,47,0.02188454195857048,0.09579922258853912,105,0
0,8,agreement,48,0.02441663108766079,0.09751522541046143,107,0
1,8,agreement,48,0.02125638723373413,0.09687153995037079,107,0
0,8,agreement,49,0.0239749513566494,0.10181800276041031,110,0
1,8,agreement,49,0.02023671567440033,0.10227616876363754,110,0
0,8,agreement,50,0.023234589025378227,0.10201670229434967,113,0
1,8,agreement,50,0.01938091777265072,0.10295353084802628,113,0
0,8,agreement,51,0.021026698872447014,0.1067916676402092,115,0
1,8,agreement,51,0.016468675807118416,0.1106858104467392,115,0
0,8,agreement,52,0.020244194194674492,0.11099081486463547,117,0
1,8,agreement,52,0.015117262490093708,0.1172725111246109,117,0
0,8,agreement,53,0.01913258247077465,0.11545345187187195,119,0
1,8,agreement,53,0.014152182266116142,0.12432419508695602,119,0
0,8,agreement,54,0.018148699775338173,0.1186622604727745,121,0
1,8,agreement,54,0.013451915234327316,0.12901827692985535,121,0
0,8,agreement,55,0.017517797648906708,0.12021537870168686,123,0
1,8,agreement,55,0.0124953743070364,0.1313563883304596,123,0
0,8,agreement,56,0.01651163212954998,0.12323181331157684,125,0
1,8,agreement,56,0.011385738849639893,0.13478803634643555,125,0
0,8,agreement,57,0.015701154246926308,0.12411142885684967,127,0
1,8,agreement,57,0.010250761173665524,0.1353207230567932,127,0
0,8,agreement,58,0.014706598594784737,0.12879201769828796,129,0
1,8,agreement,58,0.009562083519995213,0.14087221026420593,129,0
0,8,agreement,59,0.014062399975955486,0.13274307548999786,131,0
1,8,agreement,59,0.00922941230237484,0.14522209763526917,131,0
0,8,agreement,60,0.013887893408536911,0.13331839442253113,133,0
1,8,agreement,60,0.008717509917914867,0.14570799469947815,133,0
0,8,agreement,61,0.013634085655212402,0.1359625607728958,135,0
1,8,agreement,61,0.008372238837182522,0.14856193959712982,135,0
0,8,agreement,62,0.01306025218218565,0.1398608386516571,137,0
1,8,agreement,62,0.008005701936781406,0.15220855176448822,137,0
0,8,agreement,63,0.012255883775651455,0.1471547931432724,139,0
1,8,agreement,63,0.007720417808741331,0.15962526202201843,139,0
0,8,agreement,64,0.011786025948822498,0.14725260436534882,141,0
1,8,agreement,64,0.0070922416634857655,0.15898175537586212,141,0
0,8,write,1,0.8850386142730713,0.0003373785293661058,2,0
1,8,write,1,0.9959676265716553,6.061598833184689e-05,2,0
0,8,write,2,0.7693097591400146,0.0009745463030412793,4,0
1,8,write,2,0.9787893891334534,0.00031397221027873456,4,0
0,8,write,3,0.5433424711227417,0.004945008084177971,7,0
1,8,write,3,0.7751902341842651,0.003408817108720541,7,0
0,8,write,4,0.21917018294334412,0.013016575947403908,9,0
1,8,write,4,0.590424656867981,0.009166228584945202,9,0
0,8,write,5,0.18990615010261536,0.0171765498816967,11,0
1,8,write,5,0.39103108644485474,0.014498656615614891,11,0
0,8,write,6,0.1874089539051056,0.020961260423064232,14,0
1,8,write,6,0.20011287927627563,0.021305495873093605,14,0
0,8,write,7,0.13912315666675568,0.023288225755095482,16,0
1,8,write,7,0.1754235178232193,0.026365991681814194,16,0
0,8,write,8,0.10137585550546646,0.022163866087794304,18,0
1,8,write,8,0.12866424024105072,0.02493552304804325,18,0
0,8,write,9,0.07855583727359772,0.02266157977283001,20,0
1,8,write,9,0.10639695078134537,0.025710778310894966,20,0
0,8,write,10,0.060608796775341034,0.02502533234655857,22,0
1,8,write,10,0.07737565040588379,0.02836759388446808,22,0
0,8,write,11,0.04955315589904785,0.026362663134932518,24,0
1,8,write,11,0.06878261268138885,0.029911702498793602,24,0
0,8,write,12,0.041277218610048294,0.0273426603525877,26,0
1,8,write,12,0.059475187212228775,0.03109278902411461,26,0
0,8,write,13,0.035086676478385925,0.028743941336870193,28,0
1,8,write,13,0.04938963055610657,0.032538216561079025,28,0
0,8,write,14,0.03133997321128845,0.029886333271861076,30,0
1,8,write,14,0.04117865487933159,0.03419828414916992,30,0
0,8,write,15,0.025089960545301437,0.03156287968158722,32,0
1,8,write,15,0.03280112147331238,0.03665497899055481,32,0
0,8,write,16,0.021271098405122757,0.032156772911548615,34,0
1,8,write,16,0.02765093743801117,0.03809838369488716,34,0
0,8,write,17,0.01850314252078533,0.03235943242907524,36,0
1,8,write,17,0.023612918332219124,0.038824357092380524,36,0
0,8,write,18,0.017985234037041664,0.032605282962322235,38,0
1,8,write,18,0.019929219037294388,0.03973223268985748,38,0
0,8,write,19,0.015396751463413239,0.03259629011154175,40,0
1,8,write,19,0.019587919116020203,0.040016405284404755,40,0
0,8,write,20,0.01456435490399599,0.03308892995119095,42,0
1,8,write,20,0.018714919686317444,0.04050441086292267,42,0
0,8,write,21,0.012641003355383873,0.03368614614009857,44,0
1,8,write,21,0.016500886529684067,0.04139085114002228,44,0
0,8,write,22,0.010977583937346935,0.035144221037626266,46,0
1,8,write,22,0.016422875225543976,0.04365193843841553,46,0
0,8,write,23,0.01058915350586176,0.03455030918121338,48,0
1,8,write,23,0.013449255377054214,0.04292881488800049,48,0
0,8,write,24,0.01019322033971548,0.034723419696092606,50,0
1,8,write,24,0.013166619464755058,0.04323243349790573,50,0
0,8,write,25,0.009409578517079353,0.03530105948448181,52,0
1,8,write,25,0.012233059853315353,0.04410269856452942,52,0
0,8,write,26,0.00847234670072794,0.03594063222408295,54,0
1,8,write,26,0.010953179560601711,0.044982101768255234,54,0
0,8,write,27,0.007575361989438534,0.036638639867305756,56,0
1,8,write,27,0.009795128367841244,0.04585397243499756,56,0
0,8,write,28,0.006778883747756481,0.03770972043275833,58,0
1,8,write,28,0.009187350049614906,0.04699612781405449,58,0
0,8,write,29,0.006255010608583689,0.03722742944955826,60,0
1,8,write,29,0.008389235474169254,0.04627826809883118,60,0
0,8,write,30,0.005928598809987307,0.037234775722026825,62,0
1,8,write,30,0.007808835245668888,0.0461762361228466,62,0
0,8,write,31,0.0054503390565514565,0.0375966876745224,64,0
1,8,write,31,0.0072680264711380005,0.04626312851905823,64,0
0,8,write,32,0.005052655469626188,0.03844787925481796,66,0
1,8,write,32,0.006621339824050665,0.046960990875959396,66,0
0,8,write,33,0.004636950790882111,0.03946853429079056,68,0
1,8,write,33,0.006245909258723259,0.04790119454264641,68,0
