k,objective,iteration,variant,shift_rms,state_rms,agreement_rms,write_rms,local_gap_rms,agreement_ratio,write_ratio,local_gap_ratio,conditional_drift_rms,guided_drift_rms,u_resnet_p,u_resnet_top1,u_resnet_prediction,u_convnext_p,u_convnext_top1,u_convnext_prediction,c_resnet_p,c_resnet_top1,c_resnet_prediction,c_convnext_p,c_convnext_top1,c_convnext_prediction,g_resnet_p,g_resnet_top1,g_resnet_prediction,g_convnext_p,g_convnext_top1,g_convnext_prediction,initial_agreement_rms,initial_local_gap_rms,initial_state_rms,conditional_drift_over_initial_gap,guided_drift_over_initial_gap,shift_over_initial_state_rms,reference_radius_rms,shift_over_reference_radius,coarse_relative_mse,coarse_objective_rms_ratio,fine_objective_rms_ratio,n
8,agreement,0,optimized,0.0,0.8817509859800339,0.24532684218138456,0.24532684218138456,0.11758562223985791,1.0,1.0,1.0,0.0,0.0,0.01343857176389629,0.0,422.9375,0.00591711167635367,0.0625,438.9375,0.36749983683290566,0.5,465.5,0.3009701278833745,0.4375,397.375,0.7502424882359264,0.8125,432.9375,0.6158252313543926,0.8125,519.4375,0.24532684218138456,0.11758562223985791,0.8817509859800339,0.0,0.0,0.0,0.0091863767374889,0.0,1.0,1.0,1.0,16
8,agreement,1,optimized,0.0004288189838916878,0.881751649081707,0.2406842363998294,0.24175178864970803,0.11715076677501202,0.9791773483157158,0.9834772311151028,0.9966315254569054,0.007717630673141684,0.008522501222614665,0.0153391795358776,0.0,445.25,0.0060113725464816525,0.0625,443.0625,0.3732144177500345,0.5,465.5,0.29436568865912704,0.4375,401.625,0.7560225052338865,0.8125,432.9375,0.6221599022319424,0.875,520.375,0.24532684218138456,0.11758562223985791,0.8817509859800339,0.037773096027597645,0.040791611592679806,0.0004882019248071317,0.0091863767374889,0.051991019031960906,0.9522978514432907,0.9756460841045175,0.9791773483157158,16
8,agreement,4,optimized,0.013750452606473118,0.8818860650062561,0.1698587299324572,0.23606609599664807,0.10674928594380617,0.6890862435102463,0.9722748808562756,0.9139498323202133,0.15674286684952676,0.2080789371393621,0.0802488539420998,0.125,319.875,0.010326563784929021,0.0625,441.0,0.3259019570183739,0.5,433.375,0.27110473270477087,0.4375,473.25,0.6514063411923416,0.875,426.5,0.5716012449920527,0.8125,466.0625,0.24532684218138456,0.11758562223985791,0.8817509859800339,0.6762479081863761,0.9235613976367769,0.015615719210134004,0.0091863767374889,1.7442527018013012,0.48901460971683264,0.685819957065176,0.6890862435102463,16
8,agreement,16,optimized,0.08146828203462064,0.884917501360178,0.058050962863489985,0.3619067333638668,0.07843718724325299,0.251541284378618,1.5883540697395802,0.6848534289747477,0.3524712258949876,0.4363051215186715,0.07621618441428168,0.0625,384.0,0.05926642359008838,0.125,405.125,0.15615984292216467,0.1875,402.9375,0.11348536015248101,0.1875,393.25,0.2533049976682378,0.3125,404.0625,0.27444767546694493,0.375,401.5,0.24532684218138456,0.11758562223985791,0.8817509859800339,1.5482339073591174,1.8978019773552954,0.09241768102228703,0.0091863767374889,10.093012553472668,0.07028997101588175,0.2528938652868167,0.251541284378618,16
8,agreement,32,optimized,0.12587318220175803,0.884179100394249,0.034792478661984205,0.40214079711586237,0.0677035863045603,0.15186777850612998,1.7757876515388489,0.5993901193141937,0.3981610983610153,0.479374285787344,0.10032713511311186,0.125,358.0625,0.07243199381991872,0.125,396.0625,0.12649248714797068,0.125,436.125,0.09530086928680248,0.1875,353.9375,0.2083251252771703,0.375,439.75,0.16595562539623643,0.25,427.0625,0.24532684218138456,0.11758562223985791,0.8817509859800339,1.7601882061707494,2.098495440653914,0.14286430164548622,0.0091863767374889,15.136055784752413,0.02633996677468531,0.15289643263635289,0.15186777850612998,16
8,agreement,64,cfg_equal,0.18579288152977824,0.905565433204174,0.2284508030861616,0.8392867278307676,0.17248558159917593,1.0259252227842808,3.869627498090267,1.613233033567667,0.7988455127924681,0.718824116513133,0.09474598021824931,0.125,463.9375,0.09024464950016409,0.125,598.875,0.4089088178006932,0.4375,425.5625,0.3820906055480009,0.625,410.9375,0.5444664222304709,0.625,458.4375,0.5037105087540112,0.6875,377.75,0.24532684218138456,0.11758562223985791,0.8817509859800339,3.6951489859548245,3.350512570582265,0.21098412963439006,0.0091863767374889,22.92667739237369,,,1.0259252227842808,16
8,agreement,64,optimized,0.18579288106411695,0.87855064868927,0.02080368174938485,0.44762394577264786,0.059414133545942605,0.09225112060084939,1.9938812628388405,0.5275242943316698,0.44592972844839096,0.5195319894701242,0.09466427017543211,0.1875,426.75,0.109074916519603,0.1875,430.75,0.12968200863999613,0.25,417.875,0.11892167171663459,0.1875,432.5625,0.1331824345196182,0.25,393.375,0.13307772399366513,0.25,399.5625,0.24532684218138456,0.11758562223985791,0.8817509859800339,1.985826434552381,2.2867649258569633,0.2109841290896422,0.0091863767374889,22.92667728855054,0.00876627385878237,0.08874207093731443,0.09225112060084939,16
8,agreement,64,radius4_projected,0.03674550785217434,0.8783621899783611,0.14030763786286116,0.24547600513324142,0.09680546284653246,0.6084257923066616,1.0047224834561348,0.8547780402004719,0.17533314786851406,0.1877301367931068,0.019799676607501482,0.0625,342.5,0.008063753975420695,0.0,540.375,0.181033212388229,0.25,383.1875,0.1882478461593564,0.3125,420.125,0.6089979438220325,0.75,473.4375,0.5759830259776209,0.8125,435.6875,0.24532684218138456,0.11758562223985791,0.8817509859800339,0.6992910153524405,0.7689919234747177,0.04160012832881571,0.0091863767374889,4.000000092330705,,,0.6084257923066616,16
8,agreement,64,radius_projected,0.009186377050355077,0.880734883248806,0.2146345661021769,0.22918807296082377,0.11269257334060967,0.8822009302675724,0.934730913490057,0.9634602479636669,0.04883204447105527,0.057334498153068125,0.01337571731105558,0.0,406.875,0.005918210465097218,0.0625,484.0625,0.36495039327175505,0.5,445.3125,0.2764957425470129,0.4375,458.625,0.7236931451916462,0.8125,432.9375,0.6110783311596606,0.875,494.0,0.24532684218138456,0.11758562223985791,0.8817509859800339,0.1982816051698338,0.23810372190084134,0.010400032179825366,0.0091863767374889,1.000000028727792,,,0.8822009302675724,16
8,frozen_inverse,1,oracle,0.06271188473328948,0.8830844461917877,0.2020901250652969,0.00023446013437933289,0.13622851623222232,0.8450270257890224,0.0010750725314210285,1.129692155867815,0.20209003798663616,0.15596341574564576,0.3679278014956253,0.5,465.5,0.30054061087776063,0.4375,397.375,0.6719499061296119,0.875,458.0,0.5720231851228164,0.8125,457.0625,0.823503825453372,0.875,417.0,0.6890823030844331,0.9375,432.875,0.24532684218138456,0.11758562223985791,0.8817509859800339,0.8450082143026515,0.6875056453221429,0.0710399128145604,0.0091863767374889,7.400317915359816,,,,16
