objective,scalar_loss_autograd_vs_finite_relative_error
agreement,1.0535631190577988e-05
write,2.4818133169901557e-05
local,0.0008524320437572896
agreement,0.0004107981803826988
write,5.5196243920363486e-05
local,0.0001433292927686125
agreement,0.00015038475976325572
write,9.974188287742436e-05
local,0.00323795760050416
agreement,0.0001184789725812152
write,0.00011174350220244378
local,0.000810309371445328
