sample_id,label,index,noise_time,future_time,pullback_raw_cosine,pullback_current_cosine,raw_current_cosine,k4_k8_cosine,norm_ratio,finite_work_relative_error,work_current,work_raw_future,work_pullback,pullback_rms,future_gap_rms
0,0,20,0.9696969985961914,0.7196969985961914,0.3754677964870087,0.13045612389768402,0.19696358039169515,0.8284542302897656,1.0000001192092896,0.12173854057960677,0.013304501703618583,0.0382918948491198,0.10198450041995843,0.6627560257911682,0.18602526187896729
0,0,47,0.9002123475074768,0.6502123475074768,0.5791408739417722,0.33365392916340847,0.5185016596775175,0.9352471980831748,1.0,0.22110686544391,0.021416064549626655,0.03717300752661899,0.06418646378922763,0.31362900137901306,0.18086987733840942
0,0,73,0.7474048137664795,0.4974048137664795,0.9054971873831268,0.7717213127919617,0.8105930573860974,0.9994954913732325,1.0000001192092896,0.00018313898738161897,0.02289621167674108,0.02686520897908004,0.02966901720413729,0.1558692753314972,0.16814613342285156
1,137,20,0.9696969985961914,0.7196969985961914,0.2139748189681326,0.040742880112570136,0.23321305351455918,0.6066397473811495,0.9999998807907104,0.6394808351686208,0.00626601422636816,0.03290806245454319,0.15379408323664914,1.0184566974639893,0.18858006596565247
1,137,47,0.9002123475074768,0.6502123475074768,0.6263824298211194,0.3756249531847049,0.5444691125922159,0.8955465948054272,1.0,0.1699562986254539,0.022426803704364295,0.037398357036995684,0.05970530500082359,0.29610371589660645,0.18236075341701508
1,137,73,0.7474048137664795,0.4974048137664795,0.8785569036839355,0.7513116330074444,0.819077538673059,0.9993078484256142,1.0,0.0011176695842122352,0.024131072775601135,0.028218011091301752,0.03211859269295667,0.16900035738945007,0.17114771902561188
2,274,20,0.9696969985961914,0.7196969985961914,0.4269431089360911,0.19235318859904435,0.1487151913544219,0.41109784961987533,1.0,0.12039501321958342,0.019693135626939046,0.04371047467816379,0.10238009410601753,0.5658141374588013,0.19054998457431793
2,274,47,0.9002123475074768,0.6502123475074768,0.6686333572125337,0.3941411885542274,0.5177580968929407,0.9500644578323718,1.0,0.06013185991414432,0.021049249809808605,0.03570860093941608,0.053405356534449736,0.2612495422363281,0.17985650897026062
2,274,73,0.7474048137664795,0.4974048137664795,0.902045249152641,0.7645560353388605,0.8115853756891622,0.9995110199979521,1.0,2.238378794162984e-05,0.022671243810147762,0.02674818877112401,0.029652822699466203,0.15933237969875336,0.16721907258033752
3,411,20,0.9696969985961914,0.7196969985961914,0.2308775150393093,0.06271772983594884,0.1424442975694189,-0.21827844116693926,1.0,0.7167109661893328,0.011154145481850775,0.041060817298174894,0.17784676650446213,1.493707299232483,0.21472559869289398
