t,x,y,weighted_gap_max,second_order_identity_max,jacobian_finite_difference_error
0.15,-1.1,-0.7,1.1999280105148248e-17,7.28583859910259e-17,2.0806030509579188e-11
0.15,-1.1,0.4,5.980778911291419e-17,7.632783294297951e-17,9.512025715696648e-12
0.15,0.2,-0.7,3.248875859330004e-17,1.2836953722228372e-16,4.870322894978685e-12
0.15,0.2,0.4,1.412264517951997e-17,1.8388068845354155e-16,7.277472895139692e-12
0.15,1.3,-0.7,9.295198203411947e-17,7.979727989493313e-17,1.2421298364873046e-11
0.15,1.3,0.4,2.1720452098998078e-16,2.220446049250313e-16,1.9155705667517342e-11
0.5,-1.1,-0.7,9.023182900961568e-17,4.440892098500626e-16,3.963238764947974e-11
0.5,-1.1,0.4,1.5214860601298726e-16,4.440892098500626e-16,2.788277941867534e-11
0.5,0.2,-0.7,1.0196057157389098e-16,2.220446049250313e-16,3.670075354733626e-11
0.5,0.2,0.4,5.440014411022894e-17,2.220446049250313e-16,2.469702220508907e-11
0.5,1.3,-0.7,5.260766689605368e-17,2.220446049250313e-16,4.6848691592771274e-11
0.5,1.3,0.4,7.907190704954928e-17,2.220446049250313e-16,2.30330476913565e-11
0.9,-1.1,-0.7,4.1999047373282614e-17,2.220446049250313e-16,1.345450417744587e-10
0.9,-1.1,0.4,7.873638500192973e-18,2.220446049250313e-16,7.602929397165781e-11
0.9,0.2,-0.7,4.139385071329288e-17,1.1102230246251565e-16,1.279684691546379e-10
0.9,0.2,0.4,6.212906756531037e-17,5.551115123125783e-17,7.062925244660789e-11
0.9,1.3,-0.7,3.139266612244567e-17,1.5612511283791264e-16,3.405385695653962e-11
0.9,1.3,0.4,3.053747934792576e-17,4.163336342344337e-17,7.89099896536527e-11
