family,gamma,response,actual_rms_mean,actual_rms_std,actual_rms_q05,actual_rms_median,actual_rms_q95,actual_rms_min,actual_rms_max,linear_rms_mean,linear_rms_std,linear_rms_q05,linear_rms_median,linear_rms_q95,linear_rms_min,linear_rms_max,residual_rms_mean,residual_rms_std,residual_rms_q05,residual_rms_median,residual_rms_q95,residual_rms_min,residual_rms_max,relative_residual_mean,relative_residual_std,relative_residual_q05,relative_residual_median,relative_residual_q95,relative_residual_min,relative_residual_max,cosine_mean,cosine_std,cosine_q05,cosine_median,cosine_q95,cosine_min,cosine_max,magnitude_ratio_mean,magnitude_ratio_std,magnitude_ratio_q05,magnitude_ratio_median,magnitude_ratio_q95,magnitude_ratio_min,magnitude_ratio_max
x800,-0.009999999776482582,frozen,0.002231725135970919,0.0013923844781161979,0.0012021914531942456,0.0019168282742612064,0.00400005008559674,0.0010009417310357094,0.012852737680077553,0.002205190764470899,0.0012114337220624522,0.0012027758406475187,0.001921625342220068,0.004016442643478511,0.0010015435982495546,0.009071446023881435,0.00010884456866477876,0.0004772695936408198,1.0112382551596967e-05,3.187296351825353e-05,0.0002267544805363285,4.180687028565444e-06,0.005217165220528841,0.02650320551583718,0.042138374263554844,0.006444739433936775,0.016524200327694416,0.08255806937813745,0.0036342062521725893,0.40591859817504883,0.9990839990787208,0.005037023627018033,0.9975231200456619,0.9998690783977509,0.999979704618454,0.94459068775177,0.9999937415122986,1.0036095101386309,0.03977516449449482,0.9875268578529358,1.0009804964065552,1.0088338375091552,0.9326922297477722,1.4168344736099243
x800,-0.009999999776482582,closed,0.0022222069319468574,0.001367107281192353,0.0011997900786809624,0.0019131532171741128,0.003982813842594623,0.0009998665191233158,0.012546185404062271,0.002205190764470899,0.0012114337220624522,0.0012027758406475187,0.001921625342220068,0.004016442643478511,0.0010015435982495546,0.009071446023881435,0.00011038251060213611,0.0004526319708145061,1.1972150696237805e-05,3.546884181560017e-05,0.00023793786967871708,6.5604012888798025e-06,0.004920165985822678,0.028214288591698278,0.041269008814530536,0.00845441366545856,0.01759103685617447,0.0870808891952036,0.0054190559312701225,0.39216428995132446,0.999069535639137,0.004858122448141743,0.997455695271492,0.999851793050766,0.9999677479267121,0.9466918110847473,0.9999859929084778,1.0006782561540604,0.03759041920188827,0.9822937786579132,0.9995158910751343,1.0084611177444458,0.9232929348945618,1.3830413818359375
x800,0.009999999776482582,frozen,0.0021996826653776225,0.001182844338267198,0.0012031107733491808,0.00191853370051831,0.004058346722740677,0.00100127758923918,0.008543956093490124,0.002205190764470899,0.0012114337220624522,0.0012027758406475187,0.001921625342220068,0.004016442643478511,0.0010015435982495546,0.009071446023881435,8.388239182366419e-05,0.00022275874108756334,1.08096583517181e-05,3.120686233160086e-05,0.00027743365062633525,4.595409791363636e-06,0.001897061592899263,0.02511962771677645,0.030980552822369847,0.007110899779945612,0.01610615709796548,0.07128640264272686,0.0038987151347100735,0.2377159148454666,0.999373285099864,0.0020661499672510854,0.9975593715906144,0.9998781979084015,0.9999762624502182,0.9833658337593079,0.9999930262565613,0.9989934787154198,0.016148365913686177,0.9899086326360702,0.9990637898445129,1.0120218634605407,0.8797244429588318,1.0644017457962036
x800,0.009999999776482582,closed,0.002208076550232363,0.001196672676749919,0.001205516856862232,0.0019261091947555542,0.004073251411318776,0.0010023999493569136,0.008647006936371326,0.002205190764470899,0.0012114337220624522,0.0012027758406475187,0.001921625342220068,0.004016442643478511,0.0010015435982495546,0.009071446023881435,8.862856032365585e-05,0.00022421343493413435,1.3024034115005635e-05,3.4650547604542226e-05,0.00028709573089145106,7.014358288870426e-06,0.001865478465333581,0.026979724960256135,0.030909463445109354,0.009085408318787814,0.017537027597427368,0.07296425960958,0.005425968207418919,0.23074384033679962,0.9993250644765794,0.0021342750299384212,0.997478598356247,0.9998572468757629,0.999959546327591,0.982913613319397,0.999985933303833,1.0019049472175539,0.01676790060695977,0.9917998373508453,1.000689148902893,1.0175817430019378,0.8912172913551331,1.0822176933288574
x800,0.019999999552965164,frozen,0.004390953248730511,0.002321169021538305,0.0024078510003164412,0.0038252646336331964,0.00830154032446443,0.0020030701998621225,0.01626880094408989,0.004410381528941798,0.0024228674441249044,0.0024055516812950374,0.003843250684440136,0.008032885286957022,0.0020030871964991093,0.01814289204776287,0.00028769779339654633,0.0007448404799227761,3.369855730852578e-05,9.779263928066939e-05,0.0010472030495293433,1.7227222997462377e-05,0.005943663883954287,0.042591388348228065,0.05480011482251824,0.012308968510478736,0.025588282383978367,0.13629681542515718,0.007378309965133667,0.3958131670951843,0.9981195204891264,0.00623928787250881,0.9915297240018844,0.9996995627880096,0.9999312132596969,0.9531053304672241,0.9999753832817078,0.9983967579901218,0.028152987198409613,0.9741850316524505,0.9977753460407257,1.0211588740348816,0.8276705145835876,1.150156855583191
x800,0.019999999552965164,closed,0.004424067559739342,0.0023705648392209878,0.0024176182341761887,0.0038536578649654984,0.008367137215100219,0.002007623203098774,0.016568396240472794,0.004410381528941798,0.0024228674441249044,0.0024055516812950374,0.003843250684440136,0.008032885286957022,0.0020030871964991093,0.01814289204776287,0.00031015736530548565,0.0007571264789562954,3.9573288631800096e-05,0.00011700380127876997,0.001163177663693203,2.71235840045847e-05,0.0058957855217158794,0.04680740529875038,0.054987223344866706,0.015620271442458034,0.03001230675727129,0.1425187908112998,0.010843330062925816,0.3827895522117615,0.9979013595730066,0.00661055024260646,0.9907837986946106,0.9995755553245544,0.9998806565999985,0.951244056224823,0.9999433755874634,1.0043012741953135,0.030350517203387738,0.978472375869751,1.0011356472969055,1.0347048878669738,0.8489362597465515,1.1980299949645996
x800,0.05000000074505806,frozen,0.011022708458767738,0.005795349943825386,0.006029580836184323,0.009487317875027657,0.021198585815727696,0.0050099194049835205,0.03736471012234688,0.011025954208889743,0.006057168851699789,0.006013879552483559,0.009608127176761627,0.020082214009016747,0.0050077177584171295,0.04535723105072975,0.00168764336649474,0.004025002621859329,0.00014353340156958438,0.0005619661533273757,0.005833212891593568,8.68595961946994e-05,0.025967679917812347,0.09834136019344442,0.12895651808558756,0.02332551423460245,0.05783592350780964,0.39993924796581193,0.01733100228011608,0.7009268999099731,0.9892978053539991,0.03440934489054668,0.9451368749141693,0.9984665215015411,0.9997434496879578,0.7468048334121704,0.9998692274093628,1.0037335958331823,0.1014530689481209,0.9309185653924942,0.9939216077327728,1.0655855000019072,0.6832935810089111,1.8347609043121338
x800,0.05000000074505806,closed,0.011253503798798192,0.006140481539853805,0.006092644343152642,0.009569196961820126,0.02208569087088107,0.005039301700890064,0.040264010429382324,0.011025954208889743,0.006057168851699789,0.006013879552483559,0.009608127176761627,0.020082214009016747,0.0050077177584171295,0.04535723105072975,0.001896790168757434,0.0043301290865918485,0.0001998592335439753,0.0006558045279234648,0.006404785043559968,0.00014250869571696967,0.029748955741524696,0.11049686158366967,0.13036047138023432,0.0315919142216444,0.06722920015454292,0.41164217144250814,0.027067046612501144,0.7388473153114319,0.9873990756459534,0.03911147516728234,0.9372608810663223,0.9977916479110718,0.9995093524456025,0.7018033266067505,0.9996441006660461,1.0203621326945722,0.11549928954283677,0.944217324256897,1.002223551273346,1.1004869222640992,0.695610761642456,1.9771283864974976
x800,0.10000000149011612,frozen,0.021773973501694854,0.011197270917732224,0.012050587544217705,0.018859071657061577,0.04214531350880861,0.010031365789473057,0.08254671841859818,0.022051908417779487,0.012114337703399577,0.012027759104967117,0.019216254353523254,0.04016442801803349,0.010015435516834259,0.0907144621014595,0.005301924754121501,0.01083177389656775,0.000510384637163952,0.002118850010447204,0.01765006133355197,0.00030398290255106986,0.07919881492853165,0.16967384585586842,0.18509790798051284,0.040538254752755166,0.10535028949379921,0.5486917629837977,0.030303241685032845,1.3085204362869263,0.9767800602130592,0.056181460412412024,0.9046939671039581,0.994926780462265,0.9992399871349334,0.5663289427757263,0.9995414614677429,0.9973823963664472,0.11594146661053897,0.860131511092186,0.9875584542751312,1.1527329325675963,0.4978472590446472,1.6349084377288818
x800,0.10000000149011612,closed,0.022585245547816157,0.012023258147125035,0.01224698959849775,0.01944697927683592,0.04447062741965055,0.010157889686524868,0.08605728298425674,0.022051908417779487,0.012114337703399577,0.012027759104967117,0.019216254353523254,0.04016442801803349,0.010015435516834259,0.0907144621014595,0.006102935057242576,0.011345012650340103,0.0007709369325311855,0.0025519761256873608,0.02128054937347769,0.0005062678828835487,0.08200502395629883,0.1942407528113108,0.18154734819046098,0.06004553344100714,0.1302594467997551,0.576886904239654,0.04950367286801338,1.2564677000045776,0.97144361352548,0.05991662447589359,0.8634804934263229,0.9919962584972382,0.9982062548398971,0.5569148659706116,0.9987760186195374,1.0291154053993523,0.13034075154930133,0.8931216686964035,1.0033442974090576,1.2719605505466458,0.5199841260910034,1.7044380903244019
