family,sampling_progress,kappa,gamma,strong_error_rms,guided_error_l2,relative_equality_residual
constant_ratio,0.0,3.0,0.4999999999999997,0.443471156521669,6.591583993652515e-16,2.1680808978267838e-16
constant_ratio,0.01,3.0,0.5,0.4399233872694956,1.6653345369377348e-16,1.6692531631517227e-16
constant_ratio,0.02,3.0,0.4999999999999999,0.4363756180173223,1.6653345369377348e-16,1.5687746706625534e-16
constant_ratio,0.03,3.0,0.4999999999999999,0.43282784876514896,7.850462293418876e-17,7.632536327376876e-17
constant_ratio,0.04,3.0,0.5,0.4292800795129756,1.6653345369377348e-16,1.6694133155163442e-16
constant_ratio,0.05,3.0,0.5,0.4257323102608022,1.2719202621569003e-16,2.1375577612914354e-16
constant_ratio,0.06,3.0,0.5,0.42218454100862884,1.6653345369377348e-16,2.7632820702081495e-16
constant_ratio,0.07,3.0,0.4999999999999999,0.41863677175645553,1.6653345369377348e-16,3.47152415685392e-16
constant_ratio,0.08,3.0,0.5000000000000001,0.41508900250428216,2.7755575615628914e-16,8.632436375105882e-17
constant_ratio,0.09,3.0,0.5,0.41154123325210884,1.6883057536160649e-16,1.7522205532005254e-16
constant_ratio,0.1,3.0,0.5,0.4079934639999354,1.2719202621569003e-16,1.9638413929590427e-17
constant_ratio,0.11,3.0,0.5,0.40444569474776215,1.2412670766236366e-16,1.8156788792176628e-16
constant_ratio,0.12,3.0,0.4999999999999999,0.4008979254955888,2.9893669801409083e-16,3.997199295403361e-17
constant_ratio,0.13,3.0,0.5,0.39735015624341546,1.2412670766236366e-16,0.0
constant_ratio,0.14,3.0,0.49999999999999983,0.39380238699124204,4.041272810440265e-16,1.9194476616807633e-16
constant_ratio,0.15,3.0,0.4999999999999998,0.3902546177390687,3.040470972244059e-16,1.693035330799962e-16
constant_ratio,0.16,3.0,0.49999999999999994,0.3867068484868954,2.2887833992611187e-16,1.7702686650595784e-16
constant_ratio,0.17,3.0,0.4999999999999999,0.38315907923472203,2.9893669801409083e-16,1.724387836925887e-16
constant_ratio,0.18,3.0,0.5000000000000001,0.37961130998254866,2.2887833992611187e-16,8.702518055513822e-17
constant_ratio,0.19,3.0,0.4999999999999997,0.37606354073037523,5.4672143489065705e-16,3.5138469129810533e-16
constant_ratio,0.2,3.0,0.4999999999999998,0.3725157714782019,3.040470972244059e-16,1.773656060838055e-16
constant_ratio,0.21,3.0,0.5000000000000001,0.3689680022260286,1.6653345369377348e-16,1.750763924022642e-16
