method,endpoint_variance,target_endpoint_variance,endpoint_wasserstein2,max_path_variance_ratio_error
exact_path,1.0000999999742963,1.0001,1.6514957746425396e-22,2.5701218930862524e-11
constant_0.5,1.4140993618041486,1.0001,0.03576225164939076,0.41395796600754786
constant_2,0.5147554690614092,1.0001,0.07985450096652266,0.48529600133845696
constant_endpoint_fitted,1.0000999999765163,1.0001,1.378523155600116e-22,0.10746519334613125
