step,raw_gap,modified_gap
0,0.05,-0.15000000000000002
1,0.05,0.25
2,0.05,-0.15000000000000002
3,0.05,0.25
4,0.05,-0.15000000000000002
5,0.05,0.25
6,0.05,-0.15000000000000002
7,0.05,0.25
8,0.05,-0.15000000000000002
9,0.05,0.25
10,0.05,-0.15000000000000002
11,0.05,0.25
