sigma,noise_variance,target_variance,strong_variance,weak_variance,gamma,edm2_guidance,raw_clean_gap_rms,clean_correction_rms,ode_drift_correction_rms,score_correction_rms,tilted_marginal_variance,target_marginal_variance
30.0,900.0,1.0,2.0,4.0,0.5016648168701443,1.5016648168701443,0.06626129700872825,0.033240961429461896,0.00110803204764873,3.6934401588291e-05,901.0000000000001,901.0
28.738664528980753,825.9108389092964,1.0,2.0,4.0,0.5018139803342988,1.501813980334299,0.06913174169724266,0.034691274468535954,0.0012071289684860774,4.200365564199338e-05,826.9108389092963,826.9108389092964
27.530361296976594,757.9207931420667,1.0,2.0,4.0,0.5019764908453618,1.5019764908453617,0.07212301769539231,0.03620405933191096,0.0013150593608768557,4.7767602709277796e-05,758.9207931420668,758.9207931420667
26.372860589181567,695.5277756564063,1.0,2.0,4.0,0.5021535393884133,1.5021535393884133,0.07523972926892926,0.03778189635501882,0.0014326051672421674,5.432118986098298e-05,696.5277756564064,696.5277756564063
25.264026438068882,638.2710318634435,1.0,2.0,4.0,0.5023464226051783,1.5023464226051781,0.07848658889875683,0.03942745715577379,0.0015606165253359164,6.177228040674922e-05,639.2710318634436,639.2710318634435
24.20181268183211,585.7277370864895,1.0,2.0,4.0,0.5025565520516356,1.5025565520516357,0.08186840965653863,0.041143505678940887,0.0017000175243000132,7.024339650294822e-05,586.7277370864892,586.7277370864895
23.184259188546868,537.5098741217199,1.0,2.0,4.0,0.5027854642451012,1.5027854642451013,0.08539009566930789,0.042932898893026566,0.001851812410475277,7.987369341480105e-05,538.5098741217198,538.5098741217199
22.209488239086255,493.2613678421107,1.0,2.0,4.0,0.5030348315640141,1.503034831564014,0.08905663040146533,0.04479858707365977,0.002017092271168103,9.082119540324403e-05,494.2613678421106,494.2613678421107
21.275701062114813,452.65545568447334,1.0,2.0,4.0,0.5033064740679395,1.5033064740679394,0.09287306245144178,0.046743613598326704,0.002197042224924003,0.00010326532688674732,453.6554556844734,453.65545568447334
20.381174514766602,415.39227460137164,1.0,2.0,4.0,0.5036023723097073,1.5036023723097074,0.09684448852665173,0.04877111416714204,0.0023929491468613014,0.0001174097766116255,416.3922746013715,416.39227460137164
19.524257902882976,381.19664665828833,1.0,2.0,4.0,0.50392468121611,1.50392468121611,0.10097603322421955,0.05088431535298217,0.0026062099571768373,0.0001334857370836103,382.1966466582884,382.19664665828833
18.703369934941865,349.8160469232873,1.0,2.0,4.0,0.5042757451181473,1.5042757451181474,0.10527282520645832,0.053086532371679256,0.0028383404999385883,0.00015175556650012925,350.8160469232872,350.8160469232873
17.916995804057326,321.0187386426078,1.0,2.0,4.0,0.5046581140163547,1.5046581140163546,0.10973996931945242,0.05538116594896749,0.0030909850375935434,0.0001725169259063836,322.01873864260784,322.0187386426078
17.1636843926653,294.5920619310224,1.0,2.0,4.0,0.5050745611712335,1.5050745611712335,0.11438251416071793,0.05777169814538701,0.003365926384085405,0.00019610745030500528,295.5920619310224,295.5920619310224
16.442045594737053,270.3408633394121,1.0,2.0,4.0,0.5055281021131112,1.5055281021131113,0.1192054145583664,0.0602616869832976,0.003665096695911536,0.00022291001899938165,271.3408633394121,271.3408633394121
15.75074775057849,248.08605470235338,1.0,2.0,4.0,0.5060220151697872,1.5060220151697872,0.12421348838025878,0.0628547597014475,0.003990588935635705,0.00025335869755701846,249.08605470235338,249.08605470235338
15.088515189482441,227.66329062324235,1.0,2.0,4.0,0.506559863613926,1.506559863613926,0.12941136704836315,0.06555460444211056,0.004344669016061028,0.00028794543144241994,228.66329062324237,228.66329062324235
14.454125875698901,208.92175483054854,1.0,2.0,4.0,0.5071455195351755,1.5071455195351755,0.13480343909236112,0.06836496015362387,0.004729788625167775,0.000327227579574339,209.92175483054856,209.92175483054854
13.846409153379051,191.72304644277918,1.0,2.0,4.0,0.507783189544201,1.507783189544201,0.14039378603927097,0.07128960446720713,0.0051485987216988854,0.0003718363847743464,192.72304644277915,192.72304644277918
13.264243586332293,175.94015791755737,1.0,2.0,4.0,0.5084774424169944,1.5084774424169944,0.146186109904786,0.07433233928127525,0.005603963678552208,0.0004224864872299714,176.9401579175574,176.94015791755737
12.706554888609631,161.4565371372493,1.0,2.0,4.0,0.5092332387876318,1.509233238787632,0.15218365153005353,0.0774969737591775,0.006098976035482842,0.0004799865965990567,162.45653713724928,162.4565371372493
12.172313942094439,148.16522670490664,1.0,2.0,4.0,0.5100559629957687,1.5100559629957688,0.15838909899827622,0.08078730441759792,0.0066369718035465975,0.0005452514480911098,149.16522670490664,149.16522670490664
11.660534897442906,135.96807409448385,1.0,2.0,4.0,0.51095145719115,1.51095145719115,0.16480448537309514,0.08420709195302052,0.007221546240686325,0.0006193151775798872,136.96807409448385,136.96807409448385
11.170273354869506,124.77500682250765,1.0,2.0,4.0,0.5119260577907722,1.511926057790772,0.17143107503039964,0.08776003442314656,0.00785656999028488,0.0007033462602649675,125.77500682250768,125.77500682250765
10.700624621420255,114.50336728854538,1.0,2.0,4.0,0.5129866343745006,1.5129866343745006,0.17826923791305851,0.09144973636952702,0.008546205441733292,0.0007986641662605098,115.50336728854538,115.50336728854538
10.250722041518275,105.07730237246858,1.0,2.0,4.0,0.5141406310912118,1.5141406310912118,0.1853183111311774,0.09527967343774107,0.009294923133398008,0.0009067578942976881,106.07730237246858,106.07730237246858
10.0,100.0,1.0,2.0,4.0,0.5148514851485149,1.5148514851485149,0.18947729300755828,0.09755266570686169,0.009755266570686169,0.000975526657068617,101.00000000000001,101.0
9.819735397700763,96.42720328085736,1.0,2.0,4.0,0.5153961106291421,1.5153961106291423,0.19257644746698807,0.09925315202326296,0.010107517973091468,0.0010293065509135906,97.42720328085734,97.42720328085736
9.406869378595992,88.48919150596694,1.0,2.0,4.0,0.5167618007801532,1.516761800780153,0.20004045053249125,0.10337326344604333,0.010989124998509563,0.0011682021463499611,89.48919150596696,89.48919150596694
